species,taxonomic_order,interbirth_interval,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation
capra_cylindricornis,Artiodactyla,517.9,7373,50000,NA,Epitheliochorial,Villous
capra_falconeri,Artiodactyla,423.52,6971.5,41000,NA,Epitheliochorial,Villous
capra_ibex,Artiodactyla,517.9,8139.5,77000,NA,Epitheliochorial,Villous
capra_nubiana,Artiodactyla,517.9,8139.5,70523.41,NA,Epitheliochorial,Villous
capreolus_capreolus,Artiodactyla,364.75,6387.5,21666.69,20200,Epitheliochorial,Villous
capricornis_crispus,Artiodactyla,547.13,8760,43030.64,38430,Epitheliochorial,Villous
capromys_pilorides,Rodentia,187.49,5040.04,4683.3,NA,Hemochorial,Labyrinthine
caracal_caracal,Carnivora,364.75,7409.5,14000,NA,Endotheliochorial,Labyrinthine
carollia_perspicillata,Chiroptera,158.89,6205,16.4,16.48770687,Hemochorial,Labyrinthine
castor_canadensis,Rodentia,364.75,8541,19928.33,15010,Hemochorial,Labyrinthine
catagonus_wagneri,Artiodactyla,325.08,5344.21,35433.2,NA,Epitheliochorial,Villous
cavia_fulgida,Rodentia,85.01,2401.99,282.5,NA,Hemochorial,Labyrinthine
cavia_tschudii,Rodentia,73.65,3650,580.94,NA,Hemochorial,Labyrinthine
cebus_albifrons,Primates,546.88,16060,2488.59,2130,Hemochorial,Trabecular
cebus_capucinus,Primates,796.37,20075,2655,2783.5,Hemochorial,Trabecular
cephalophus_dorsalis,Artiodactyla,310.77,6387.5,11600,11600,Epitheliochorial,Villous
cephalophus_jentinki,Artiodactyla,271.42,7771.46,69244.92,NA,Epitheliochorial,Villous
cephalophus_niger,Artiodactyla,231.41,5402,18100,NA,Epitheliochorial,Villous
cephalophus_rufilatus,Artiodactyla,246.4,5548,12500,NA,Epitheliochorial,Villous
cephalophus_silvicultor,Artiodactyla,305.79,8212.5,62006.6,NA,Epitheliochorial,Villous
cephalorhynchus_commersonii,Artiodactyla,702.43,9417,68700,NA,Epitheliochorial,Trabecular
ceratotherium_simum,Perissodactyla,987.45,18250,2230000,NA,Epitheliochorial,Villous
cercocebus_agilis,Primates,445.37,16790,7775,NA,Hemochorial,Trabecular
cercocebus_chrysogaster,Primates,445.37,16790,7775,NA,Hemochorial,Trabecular
cercocebus_torquatus,Primates,445.37,16790,8789,6200,Hemochorial,Trabecular
cercopithecus_cephus,Primates,820.44,13140,3399.94,NA,Hemochorial,Trabecular
cercopithecus_diana,Primates,364.75,13614.5,4550,NA,Hemochorial,Trabecular
cercopithecus_hamlyni,Primates,471.7,10439,4531.25,3361,Hemochorial,Trabecular
cercopithecus_mitis,Primates,540.01,13797,6116.5,3929,Hemochorial,Trabecular
cercopithecus_mona,Primates,608.22,11202.46,4240.09,NA,Hemochorial,Trabecular
cercopithecus_neglectus,Primates,474.18,11242,5701,NA,Hemochorial,Trabecular
cervus_elaphus,Artiodactyla,459.33,11497.5,160166.7,203625,Epitheliochorial,Villous
cervus_nippon,Artiodactyla,362.31,9599.5,52999.99,28640,Epitheliochorial,Villous
chaerephon_plicatus,Chiroptera,272.18,2467,21.83,17.2,Hemochorial,Labyrinthine
chaetodipus_fallax,Rodentia,203.39,3041.67,18.95,NA,Hemochorial,Labyrinthine
chaetophractus_vellerosus,Cingulata,250.17,5919.08,1315.05,850,Hemochorial,Trabecular
chaetophractus_villosus,Cingulata,314.53,9198,4372.8,2507,Hemochorial,Trabecular
cheirogaleus_medius,Primates,364.75,8471.04,294.19,282,Epitheliochorial,Villous
chinchilla_lanigera,Rodentia,123.77,7300,485,800,Hemochorial,Labyrinthine
chlorocebus_aethiops,Primates,434.05,16790,5104.25,2740,Hemochorial,Trabecular
chlorocebus_pygerythrus,Primates,434.05,16790,5104.25,NA,Hemochorial,Trabecular
chlorocebus_sabaeus,Primates,434.05,16790,5104.25,NA,Hemochorial,Trabecular
choloepus_didactylus,Pilosa,705.22,13432,6250,NA,Endotheliochorial,Trabecular
choloepus_hoffmanni,Pilosa,455.81,13505,4250,6300,Endotheliochorial,Trabecular
chrotopterus_auritus,Chiroptera,355.2,5894.62,84.38,94.38153846,Endotheliochorial,Labyrinthine
chrysochloris_asiatica,Afrosoricida,245.54,879.04,36.93,NA,Hemochorial,Labyrinthine
chrysocyon_brachyurus,Carnivora,286.19,6132,22250,24630,Endotheliochorial,Labyrinthine
coendou_mexicanus,Rodentia,220.21,6095.5,2000,NA,Hemochorial,Labyrinthine
coendou_prehensilis,Rodentia,393.64,9709,3900,NA,Hemochorial,Labyrinthine
colobus_angolensis,Primates,441.9,12884.5,8937.5,7770,Hemochorial,Trabecular
colobus_guereza,Primates,441.9,12775,9058.41,NA,Hemochorial,Trabecular
connochaetes_gnou,Artiodactyla,365,7957,132250,NA,Epitheliochorial,Villous
connochaetes_taurinus,Artiodactyla,364.75,9015.5,180500,NA,Epitheliochorial,Villous
crateromys_heaneyi,Rodentia,86.89,3218.08,1000,NA,Hemochorial,Labyrinthine
cricetomys_gambianus,Rodentia,68.77,3066,1510.7,NA,Hemochorial,Labyrinthine
cricetulus_barabensis,Rodentia,39.76,1934.5,22.85,NA,Hemochorial,Labyrinthine
cricetulus_longicaudatus,Rodentia,49.93,60.83,22.1,NA,Hemochorial,Labyrinthine
crocuta_crocuta,Carnivora,444.72,15001.5,63000,NA,Hemochorial,Labyrinthine
crossarchus_obscurus,Carnivora,121.58,4854.5,790,NA,Endotheliochorial,Labyrinthine
cryptoprocta_ferox,Carnivora,399.3,8431.5,9500,6100,Endotheliochorial,Labyrinthine
ctenodactylus_gundi,Rodentia,69.65,2117,288.8,NA,Hemochorial,Labyrinthine
cuniculus_paca,Rodentia,190.87,6132,9000,NA,Hemochorial,Labyrinthine
cyclopes_didactylus,Pilosa,360.86,839.5,251.98,NA,Hemochorial,Trabecular
cynocephalus_volans,Dermoptera,353.59,6387.5,1250,NA,Hemochorial,Labyrinthine
cynomys_ludovicianus,Rodentia,820.69,6570,1125,NA,Hemochorial,Labyrinthine
cynopterus_sphinx,Chiroptera,224.84,3686.5,37.4,47.84,Hemochorial,Labyrinthine
cystophora_cristata,Carnivora,364.75,12775,245448.4,NA,Endotheliochorial,Labyrinthine
dama_dama,Artiodactyla,364.75,9125,63612.31,40766.66667,Epitheliochorial,Villous
damaliscus_lunatus,Artiodactyla,447.98,8614,118798.7,NA,Epitheliochorial,Villous
dasyprocta_leporina,Rodentia,136.2,5803.5,2893.75,3830,Hemochorial,Labyrinthine
dasyprocta_punctata,Rodentia,126.91,5037,2229.56,NA,Hemochorial,Labyrinthine
dasypus_hybridus,Cingulata,265.59,4950.86,1500,NA,Hemochorial,Trabecular
dasypus_novemcinctus,Cingulata,343.33,8151.67,3949.01,4428.5,Hemochorial,Trabecular
daubentonia_madagascariensis,Primates,835.63,8869.5,2610.33,2573,Epitheliochorial,Villous
delphinapterus_leucas,Cetacea,1003.19,14600,1380000,NA,Epitheliochorial,Villous
delphinus_delphis,Cetacea,871.94,10594.12,77818.35,NA,Epitheliochorial,Villous
dendrogale_murina,Scandentia,44.97,4380,49.99,NA,Endotheliochorial,Labyrinthine
desmodus_rotundus,Chiroptera,288.78,10658,33.18,43.37795276,Endotheliochorial,Labyrinthine
dicerorhinus_sumatrensis,Perissodactyla,1276.63,12775,1260000,NA,Epitheliochorial,Villous
diceros_bicornis,Perissodactyla,1053.46,17973.21,995940.5,NA,Epitheliochorial,Villous
dicrostonyx_groenlandicus,Rodentia,25.23,1204.5,58.44,NA,Hemochorial,Labyrinthine
dinomys_branickii,Rodentia,201.8,4745,12500,5300,Hemochorial,Labyrinthine
dipodomys_deserti,Rodentia,96.04,3285,106.75,NA,Hemochorial,Labyrinthine
dipodomys_merriami,Rodentia,53.96,3540.5,37.81,32.6,Endotheliochorial,Labyrinthine
dipodomys_ordii,Rodentia,142.88,3613.5,49.6,NA,Endotheliochorial,Labyrinthine
dipodomys_panamintinus,Rodentia,182.49,1974.04,56.58,NA,Endotheliochorial,Labyrinthine
dolichotis_patagonum,Rodentia,99.74,5256,12500,NA,Hemochorial,Labyrinthine
echinops_telfairi,Afrosoricida,316.61,6935,166.13,99.9,Hemochorial,Labyrinthine
eira_barbara,Carnivora,228.94,8139.5,4134.99,4350,Endotheliochorial,Labyrinthine
elaphodus_cephalophus,Artiodactyla,357.73,8285.5,33500,NA,Epitheliochorial,Villous
elaphurus_davidianus,Artiodactyla,359.5,10037.5,165989.2,130500,Epitheliochorial,Villous
elephantulus_brachyrhynchus,Macroscelidea,74.95,1517.79,45.11,NA,Hemochorial,Labyrinthine
elephantulus_myurus,Macroscelidea,48.97,1517.79,61.99,53.83,Hemochorial,Labyrinthine
elephantulus_rufescens,Macroscelidea,88.24,2883.5,55.5,NA,Hemochorial,Labyrinthine
elephas_maximus,Proboscidea,1162.83,29200,3220000,2663333.333,Endotheliochorial,Labyrinthine
enhydra_lutris,Carnivora,364.75,10950,27410.93,NA,Endotheliochorial,Labyrinthine
epomophorus_wahlbergi,Chiroptera,277.08,3686.5,86.8,NA,Hemochorial,Labyrinthine
equus_grevyi,Perissodactyla,574.61,11384.96,384000,NA,Epitheliochorial,Villous
equus_hemionus,Perissodactyla,502.41,14162,230000,NA,Epitheliochorial,Villous
equus_kiang,Perissodactyla,547.13,14162,262500,NA,Epitheliochorial,Trabecular
equus_zebra,Perissodactyla,661.52,12118,296000,248100,Epitheliochorial,Villous
erethizon_dorsatum,Rodentia,386.6,8541,8009.73,6818.44444,Hemochorial,Labyrinthine
erinaceus_europaeus,Erinaceomorpha,215.14,5110,777.95,667,Hemochorial,Labyrinthine
erythrocebus_patas,Primates,360.75,10329.5,7660.5,NA,Hemochorial,Trabecular
eudorcas_thomsonii,Artiodactyla,193.77,7300,23197.67,NA,Epitheliochorial,Villous
eulemur_albifrons,Primates,450.69,14235,2426.29,2281,Epitheliochorial,Villous
eulemur_collaris,Primates,541.88,13505,2419,2495,Epitheliochorial,Villous
eulemur_coronatus,Primates,363.7,10950,1699.85,NA,Epitheliochorial,Villous
eulemur_mongoz,Primates,364.75,13213,1915.57,1658,Epitheliochorial,Villous
eulemur_rubriventer,Primates,359.23,7497.71,1765.33,2139,Epitheliochorial,Villous
eulemur_rufus,Primates,541.88,13505,2406.81,2456,Epitheliochorial,Villous
eulemur_sanfordi,Primates,541.88,13505,2406.52,2147,Epitheliochorial,Villous
eumetopias_jubatus,Carnivora,364.75,11972,382466.7,NA,Endotheliochorial,Labyrinthine
euphractus_sexcinctus,Cingulata,238.79,8066.5,4850,NA,Hemochorial,Trabecular
felis_chaus,Carnivora,120.92,7300,10000,NA,Endotheliochorial,Labyrinthine
felis_margarita,Carnivora,197.57,5073.5,2750,NA,Endotheliochorial,Labyrinthine
felis_nigripes,Carnivora,227.96,5694,2125,NA,Endotheliochorial,Labyrinthine
felis_silvestris,Carnivora,131.04,10220,5036.54,3150,Endotheliochorial,Labyrinthine
fukomys_damarensis,Rodentia,239.15,5657.5,134.65,NA,Hemochorial,Villous
funambulus_pennantii,Rodentia,151.98,1852.38,125.07,NA,Hemochorial,Labyrinthine
