species,taxonomic_order,litter_mass,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation,relative_litter_mass,relative_litter_mass_female
blarina_brevicauda,Eulipotyphla,5.0997,1003.75,20.7,20.23,Hemochorial,Labyrinthine,0.24636231884057974,0.2520860108749382
erinaceus_europaeus,Erinaceomorpha,65.57879999999999,5110,777.95,667,Hemochorial,Labyrinthine,0.08429693425027313,0.0983190404797601
atelerix_albiventris,Erinaceomorpha,35.92,4161,600,178.94,Hemochorial,Labyrinthine,0.05986666666666667,0.20073767743377668
talpa_europaea,Eulipotyphla,12.927600000000002,2555,110.42,75.64,Endotheliochorial,Labyrinthine,0.11707661655497194,0.1709095716552089
scalopus_aquaticus,Eulipotyphla,20.0625,2263,74.6,87.2,Hemochorial,Labyrinthine,0.2689343163538874,0.23007454128440366
solenodon_paradoxus,Eulipotyphla,167.38139999999999,4416.5,900,NA,Hemochorial,Labyrinthine,0.18597933333333333,NA
tupaia_montana,Scandentia,19.36,577.92,225.53,NA,Endotheliochorial,Labyrinthine,0.08584223828315524,NA
tupaia_glis,Scandentia,27.972,4532.08,159,176.5,Endotheliochorial,Labyrinthine,0.1759245283018868,0.15848158640226628
lepus_americanus,Lagomorpha,231.33440000000002,2920,1565.61,1167.3,Hemochorial,Labyrinthine,0.14775991466584912,0.19817904566092695
sylvilagus_aquaticus,Lagomorpha,170.999,3250.1,2127.01,NA,Hemochorial,Labyrinthine,0.0803940743108871,NA
sylvilagus_audubonii,Lagomorpha,103.08,2853.08,791.29,NA,Hemochorial,Labyrinthine,0.13026829607350024,NA
sylvilagus_floridanus,Lagomorpha,170.75,3577,1178.6,1248.6,Hemochorial,Labyrinthine,0.1448752757508909,0.13675316354316835
oryctolagus_cuniculus,Lagomorpha,204.9364,6570,1900,1827,Hemochorial,Labyrinthine,0.10786126315789474,0.11217099069512862
ochotona_princeps,Lagomorpha,33,2670.58,140.2,168.8,Hemochorial,Labyrinthine,0.23537803138373753,0.19549763033175355
cynomys_ludovicianus,Rodentia,67.5132,6570,1125,NA,Hemochorial,Labyrinthine,0.06001173333333333,NA
marmota_flaviventris,Rodentia,150.0276,7738,3709.73,2572,Hemochorial,Labyrinthine,0.040441649392273835,0.058331104199066876
marmota_monax,Rodentia,122.355,5110,3413,NA,Hemochorial,Labyrinthine,0.035849692352768824,NA
ammospermophilus_leucurus,Rodentia,23.2,4088,99.37,88.8,Hemochorial,Labyrinthine,0.23347086645868972,0.26126126126126126
ammospermophilus_harrisii,Rodentia,23.909399999999998,3869,126,NA,Hemochorial,Labyrinthine,0.18975714285714285,NA
paraxerus_cepapi,Rodentia,25.627499999999998,3491.83,222.85,NA,Hemochorial,Labyrinthine,0.11499887816917208,NA
xerus_inauris,Rodentia,42.400000000000006,4745,557.3,550,Hemochorial,Labyrinthine,0.07608110532926612,0.0770909090909091
glaucomys_volans,Rodentia,11.299299999999999,6935,65.4,79.1,Hemochorial,Labyrinthine,0.1727721712538226,0.14284829329962073
glaucomys_sabrinus,Rodentia,16.919999999999998,5183,148,NA,Hemochorial,Labyrinthine,0.11432432432432431,NA
sciurus_carolinensis,Rodentia,45.51,8760,540.33,413,Hemochorial,Labyrinthine,0.08422630614624395,0.11019370460048426
sciurus_vulgaris,Rodentia,39.1169,5402,328.88,325,Hemochorial,Labyrinthine,0.11893973485769886,0.1203596923076923
tamiasciurus_hudsonicus,Rodentia,28.938,4380,210.8,219.4,Hemochorial,Labyrinthine,0.13727703984819734,0.13189608021877847
callosciurus_prevostii,Rodentia,28.9218,7701.5,400,NA,Hemochorial,Villous,0.07230450000000001,NA
funambulus_pennantii,Rodentia,20.535600000000002,1852.38,125.07,NA,Hemochorial,Labyrinthine,0.16419285200287842,NA
aplodontia_rufa,Rodentia,64.736,3650,706.8,NA,Hemochorial,Labyrinthine,0.09159026598754953,NA
myocastor_coypus,Carnivora,1098.4379999999999,4380,7150,6360,Endotheliochorial,Labyrinthine,0.1536276923076923,0.17271037735849054
capromys_pilorides,Rodentia,398.98,5040.04,4683.3,NA,Hemochorial,Labyrinthine,0.08519206542395319,NA
octodon_degus,Rodentia,75.34889999999999,5110,204.84,NA,Hemochorial,Labyrinthine,0.3678427065026361,NA
chinchilla_lanigera,Rodentia,66.9071,7300,485,800,Hemochorial,Labyrinthine,0.13795278350515464,0.083633875
lagostomus_maximus,Rodentia,392,3942,6392,NA,Hemochorial,Labyrinthine,0.06132665832290363,NA
dinomys_branickii,Rodentia,1515.7770999999998,4745,12500,5300,Hemochorial,Labyrinthine,0.12126216799999999,0.28599567924528296
coendou_prehensilis,Rodentia,410.8,9709,3900,NA,Hemochorial,Labyrinthine,0.10533333333333333,NA
erethizon_dorsatum,Rodentia,490.59,8541,8009.73,6818.44444,Hemochorial,Labyrinthine,0.06124925559288515,0.07195042862298369
kerodon_rupestris,Rodentia,125.3088,4708.5,875.5,NA,Hemochorial,Labyrinthine,0.1431282695602513,NA
hydrochoerus_hydrochaeris,Rodentia,5235,5511.5,51572.46,62000,Hemochorial,Labyrinthine,0.10150766513755598,0.08443548387096775
dolichotis_patagonum,Rodentia,1088.4448,5256,12500,NA,Hemochorial,Labyrinthine,0.087075584,NA
galea_musteloides,Rodentia,98.3357,1277.5,337.88,NA,Hemochorial,Labyrinthine,0.29103735053865276,NA
myoprocta_pratti,Rodentia,148.291,5402,914,NA,Hemochorial,Villous,0.16224398249452954,NA
cuniculus_paca,Rodentia,681.5177,6132,9000,NA,Hemochorial,Labyrinthine,0.07572418888888889,NA
bathyergus_janetta,Rodentia,50.787,547.5,627.5,NA,Hemochorial,Labyrinthine,0.08093545816733068,NA
heterocephalus_glaber,Rodentia,16.647,10329.5,35,NA,Hemochorial,Labyrinthine,0.4756285714285714,NA
hystrix_africaeaustralis,Rodentia,641.7389999999999,8431.5,14936.02,NA,Hemochorial,Labyrinthine,0.04296586373076629,NA
atherurus_africanus,Rodentia,219.40500000000003,8364.58,2875.65,NA,Hemochorial,Labyrinthine,0.07629753273173022,NA
ctenodactylus_gundi,Rodentia,56.791,2117,288.8,NA,Hemochorial,Labyrinthine,0.19664473684210523,NA
peromyscus_polionotus,Rodentia,5.5440000000000005,2007.5,14,NA,Hemochorial,Labyrinthine,0.396,NA
peromyscus_maniculatus,Rodentia,7.9926,3041.67,20.5,19.57,Hemochorial,Labyrinthine,0.3898829268292683,0.4084108329075115
peromyscus_leucopus,Rodentia,7.829999999999999,2920,22.3,17.675,Hemochorial,Labyrinthine,0.3511210762331838,0.44299858557284294
peromyscus_eremicus,Rodentia,6.526,2701,21.75,NA,Hemochorial,Labyrinthine,0.30004597701149427,NA
neotoma_albigula,Rodentia,23.989400000000003,3467.5,190.5,NA,Hemochorial,Labyrinthine,0.12592860892388452,NA
neotoma_floridana,Rodentia,36.9252,3467.5,208.18,NA,Hemochorial,Labyrinthine,0.17737150542799499,NA
neotoma_lepida,Rodentia,27.3312,3832.5,113.4,NA,Hemochorial,Labyrinthine,0.241015873015873,NA
neotoma_fuscipes,Rodentia,35.768,304.17,213.26,NA,Hemochorial,Labyrinthine,0.16772015380286975,NA
microtus_xanthognathus,Rodentia,28.5482,1000.25,92.65,NA,Hemochorial,Labyrinthine,0.30812951969778735,NA
myodes_rutilus,Rodentia,11.34,1085.32,25,NA,Hemochorial,Labyrinthine,0.4536,NA
myodes_glareolus,Rodentia,7.869,1794.58,20.8,NA,Hemochorial,Labyrinthine,0.37831730769230765,NA
ondatra_zibethicus,Rodentia,141.17579999999998,3650,997.96,NA,Hemochorial,Labyrinthine,0.14146438735019437,NA
dicrostonyx_groenlandicus,Rodentia,15.027999999999999,1204.5,58.44,NA,Hemochorial,Labyrinthine,0.2571526351813826,NA
lemmus_lemmus,Rodentia,19.916800000000002,1213.63,68.81,68.6,Hemochorial,Labyrinthine,0.28944630140967886,0.29033236151603503
cricetulus_barabensis,Rodentia,10.66,1934.5,22.85,NA,Hemochorial,Labyrinthine,0.4665207877461707,NA
mesocricetus_auratus,Rodentia,20.421499999999998,3650,105,76,Hemochorial,Labyrinthine,0.19449047619047619,0.268703947368421
phodopus_sungorus,Rodentia,10.6896,1426.54,30.87,NA,Hemochorial,Labyrinthine,0.3462779397473275,NA
phodopus_campbelli,Rodentia,8.1652,1426.54,28.75,NA,Hemochorial,Labyrinthine,0.28400695652173913,NA
cricetomys_gambianus,Rodentia,75.5244,3066,1510.7,NA,Hemochorial,Labyrinthine,0.04999298338518567,NA
acomys_cahirinus,Rodentia,13.560300000000002,2731.42,45.2,32,Hemochorial,Labyrinthine,0.30000663716814163,0.42375937500000005
mastomys_natalensis,Rodentia,17.028,1061.54,41.68,9.3,Hemochorial,Labyrinthine,0.4085412667946257,1.8309677419354835
mus_musculus,Rodentia,6.434200000000001,2190,20.5,16.7,Hemochorial,Labyrinthine,0.31386341463414635,0.3852814371257485
bandicota_indica,Rodentia,59.7924,1533,511,503,Hemochorial,Labyrinthine,0.1170105675146771,0.11887157057654076
rattus_norvegicus,Rodentia,51.388,1825,280,310.51,Hemochorial,Labyrinthine,0.18352857142857143,0.16549547518598434
meriones_shawi,Rodentia,24.490499999999997,1700.29,137.8,NA,Hemochorial,Labyrinthine,0.17772496371552973,NA
meriones_unguiculatus,Rodentia,14.25,2299.5,58.1,65.02,Hemochorial,Labyrinthine,0.2452667814113597,0.2191633343586589
calomys_callosus,Rodentia,11.976,416.83,48.6,NA,Hemochorial,Labyrinthine,0.24641975308641975,NA
jaculus_jaculus,Rodentia,6.48,2664.5,57.4,NA,Hemochorial,Labyrinthine,0.11289198606271778,NA
geomys_bursarius,Rodentia,17.3229,4380,186.85,NA,Hemochorial,Labyrinthine,0.09271019534385871,NA
thomomys_bottae,Rodentia,13.856000000000002,2226.5,103.5,85,Hemochorial,Labyrinthine,0.13387439613526572,0.16301176470588238
perognathus_parvus,Rodentia,7.199999999999999,2117,20.1,NA,Hemochorial,Labyrinthine,0.3582089552238805,NA
dipodomys_merriami,Rodentia,7.566999999999999,3540.5,37.81,32.6,Endotheliochorial,Labyrinthine,0.20013224014810893,0.23211656441717787
dipodomys_panamintinus,Rodentia,15.75,1974.04,56.58,NA,Endotheliochorial,Labyrinthine,0.27836691410392367,NA
dipodomys_deserti,Rodentia,13.4232,3285,106.75,NA,Hemochorial,Labyrinthine,0.12574426229508195,NA
dipodomys_ordii,Rodentia,15.7185,3613.5,49.6,NA,Endotheliochorial,Labyrinthine,0.31690524193548386,NA
castor_canadensis,Rodentia,1486.3086,8541,19928.33,15010,Hemochorial,Labyrinthine,0.07458269709504008,0.09902122584943372
pedetes_capensis,Rodentia,253.49,7315.21,2774.63,NA,Hemochorial,Labyrinthine,0.09135992907162396,NA
cercopithecus_mitis,Primates,402,13797,6116.5,3929,Hemochorial,Trabecular,0.06572386168560451,0.1023161109697124
cercopithecus_cephus,Primates,337.19,13140,3399.94,NA,Hemochorial,Trabecular,0.099175279563757,NA
erythrocebus_patas,Primates,621.67,10329.5,7660.5,NA,Hemochorial,Trabecular,0.08115266627504732,NA
cercopithecus_mona,Primates,280.49,11202.46,4240.09,NA,Hemochorial,Trabecular,0.06615189771915218,NA
cercopithecus_neglectus,Primates,259.95,11242,5701,NA,Hemochorial,Trabecular,0.04559726363795825,NA
cercopithecus_diana,Primates,466.9,13614.5,4550,NA,Hemochorial,Trabecular,0.10261538461538461,NA
miopithecus_talapoin,Primates,179.04,11278.5,1362.5,NA,Hemochorial,Trabecular,0.13140550458715597,NA
allenopithecus_nigroviridis,Primates,240.71,10019.25,4690,NA,Hemochorial,Labyrinthine,0.05132409381663113,NA
macaca_nigra,Primates,457.77,12410,7662.2,NA,Hemochorial,Trabecular,0.05974393777244134,NA
macaca_fuscata,Primates,712.2293999999999,14052.5,8882.5,8671.66667,Hemochorial,Trabecular,0.08018343934703068,0.08213293096977399
macaca_mulatta,Primates,471.47,14600,6614,6526.11111,Hemochorial,Trabecular,0.07128364076201996,0.07224363668549309
macaca_fascicularis,Primates,328.76,14235,4569.32,NA,Hemochorial,Trabecular,0.07194943667766758,NA
macaca_radiata,Primates,367.52,10959.13,5132.25,NA,Hemochorial,Trabecular,0.07160991767743193,NA
macaca_silenus,Primates,416.11,14663.88,6570,NA,Hemochorial,Trabecular,0.06333485540334856,NA
papio_papio,Primates,606.3838,16425,18000,NA,Hemochorial,Trabecular,0.03368798888888889,NA
papio_hamadryas,Primates,890,16425,18000,9900,Hemochorial,Villous,0.049444444444444444,0.0898989898989899
papio_anubis,Primates,956.7831,16425,17728.56,11700,Hemochorial,Trabecular,0.053968461059443064,0.08177633333333333
theropithecus_gelada,Primates,464.92,13140,15964.11,NA,Hemochorial,Trabecular,0.029122826139383905,NA
mandrillus_sphinx,Primates,643.5345,16910.45,23000,NA,Hemochorial,Trabecular,0.027979760869565218,NA
trachypithecus_obscurus,Primates,339.18,12373.5,7163.94,NA,Hemochorial,Villous,0.047345455154565785,NA
trachypithecus_francoisi,Primates,572.7456,9599.5,7604.75,NA,Hemochorial,Villous,0.07531419178802722,NA
nasalis_larvatus,Primates,454.5,9161.5,13441.58,NA,Hemochorial,Trabecular,0.03381298924679985,NA
pygathrix_nemaeus,Primates,191.94,9775.92,9875,NA,Hemochorial,Trabecular,0.019436962025316456,NA
semnopithecus_entellus,Primates,509.8266,10685.38,12679.29,NA,Hemochorial,Trabecular,0.04020939658293169,NA
trachypithecus_vetulus,Primates,359.99,9526.5,7081.8,NA,Hemochorial,Villous,0.05083312152277669,NA
colobus_guereza,Primates,444.92,12775,9058.41,NA,Hemochorial,Trabecular,0.04911678760400556,NA
hylobates_lar,Primates,398.86,20805,6194.31,5340,Hemochorial,Villous,0.06439135270917988,0.07469288389513108
symphalangus_syndactylus,Primates,527.34,15695,10869.5,NA,Hemochorial,Villous,0.048515571093426565,NA
pan_troglodytes,Primates,1884.6216000000002,27010,44983.5,33400,Hemochorial,Villous,0.04189584180866318,0.05642579640718563
pan_paniscus,Primates,1399.53,20075,35119.95,31940,Hemochorial,Villous,0.03984999978644617,0.04381747025673137
gorilla_gorilla,Primates,2116.8489,20221,150000,89113.46154,Hemochorial,Villous,0.014112326,0.023754535660696095
pongo_pygmaeus,Primates,1874.388,21900,58941.64,37797.55556,Hemochorial,Villous,0.031800743922293304,0.04959019101181261
saguinus_midas,Primates,79.56,7665,547.18,NA,Hemochorial,Trabecular,0.14540005117146096,NA
saguinus_geoffroyi,Primates,93.28800000000001,9563,453.77,502,Hemochorial,Trabecular,0.20558432686162598,0.1858326693227092
saguinus_oedipus,Primates,77.89999999999999,9563,445.5,473,Hemochorial,Trabecular,0.1748597081930415,0.1646934460887949
saguinus_imperator,Primates,93.1,8650.5,482.15,NA,Hemochorial,Trabecular,0.19309343565280515,NA
leontopithecus_rosalia,Primates,101.1855,11534,623.51,NA,Hemochorial,Trabecular,0.16228368430337928,NA
callithrix_jacchus,Primates,62.1376,8318.96,255.2,324,Hemochorial,Trabecular,0.24348589341692792,0.1917827160493827
callimico_goeldii,Primates,50.5,8103,556.5,NA,Hemochorial,Trabecular,0.09074573225516622,NA
cebus_albifrons,Primates,231.92,16060,2488.59,2130,Hemochorial,Trabecular,0.09319333437810165,0.10888262910798122
cebus_capucinus,Primates,238.36,20075,2655,2783.5,Hemochorial,Trabecular,0.08977777777777779,0.08563319561702892
aotus_trivirgatus,Primates,102.2794,10986.5,872.98,NA,Hemochorial,Villous,0.11716121789731723,NA
ateles_paniscus,Primates,478.64,16790,7887.5,NA,Hemochorial,Trabecular,0.06068335974643423,NA
ateles_fusciceps,Primates,499.99,17520,7267.5,NA,Hemochorial,Trabecular,0.06879807361541108,NA
ateles_geoffroyi,Primates,425.85,17520,7267.5,7653,Hemochorial,Trabecular,0.05859649122807018,0.05564484515876127
alouatta_palliata,Primates,318.29,9125,5659.14,4855,Hemochorial,Villous,0.05624352816859099,0.06555921730175078
alouatta_seniculus,Primates,352.104,9125,6398.31,4030,Hemochorial,Trabecular,0.0550307815657572,0.08737071960297767
alouatta_caraya,Primates,260.6,11826,5462.5,4330,Hemochorial,Villous,0.0477070938215103,0.06018475750577368
microcebus_murinus,Primates,11.519800000000002,6643,66.9,109,Epitheliochorial,Villous,0.17219431988041856,0.10568623853211011
mirza_coquereli,Primates,22.0932,6351,311.2,302,Epitheliochorial,Villous,0.07099357326478149,0.07315629139072848
cheirogaleus_medius,Primates,32.230000000000004,8471.04,294.19,282,Epitheliochorial,Villous,0.10955504945783338,0.11429078014184399
eulemur_mongoz,Primates,66.0228,13213,1915.57,1658,Epitheliochorial,Villous,0.0344663990352741,0.03982074788902292
eulemur_rubriventer,Primates,84.97,7497.71,1765.33,2139,Epitheliochorial,Villous,0.04813264375499199,0.039724170172978024
eulemur_coronatus,Primates,86.715,10950,1699.85,NA,Epitheliochorial,Villous,0.051013324705121044,NA
hapalemur_griseus,Primates,54.24,8504.5,1202.71,NA,Epitheliochorial,Villous,0.04509815333704717,NA
lemur_catta,Artiodactyla,84.138,13614.5,2555,2678,Epitheliochorial,Villous,0.0329307240704501,0.031418222554144885
propithecus_verreauxi,Primates,104.703,11132.5,3588.26,3696,Epitheliochorial,Villous,0.02917932368334513,0.028328733766233766
propithecus_tattersalli,Primates,101.36880000000001,7467.29,3545,3167,Hemochorial,Villous,0.028594866008462626,0.03200783075465741
propithecus_coquereli,Primates,103.4745,11132.5,3622.7,3757,Epitheliochorial,Villous,0.028562812267093608,0.027541788661165825
propithecus_diadema,Primates,136.3399,4036.29,6414.5,NA,Hemochorial,Villous,0.021254953620703093,NA
daubentonia_madagascariensis,Primates,121.79,8869.5,2610.33,2573,Epitheliochorial,Villous,0.046656936096202396,0.04733385153517295
galago_senegalensis,Primates,17.25,6874.17,192.2,199.25,Epitheliochorial,Villous,0.08975026014568159,0.08657465495608532
galago_moholi,Primates,18.1815,6874.17,180,155,Epitheliochorial,Villous,0.10100833333333334,0.1173
otolemur_garnettii,Primates,62.0046,6874.17,1300,734,Epitheliochorial,Villous,0.04769584615384616,0.084474931880109
nycticebus_coucang,Primates,52.4888,9672.5,953.3,1195,Epitheliochorial,Villous,0.05506010699674814,0.0439236820083682
nycticebus_pygmaeus,Primates,22.2768,9672.5,400,376,Epitheliochorial,Villous,0.055692000000000005,0.0592468085106383
loris_tardigradus,Primates,15.07,7044.5,243.71,224.25,Epitheliochorial,Villous,0.06183578843707685,0.06720178372352285
perodicticus_potto,Primates,38.2748,9782,1011,989,Epitheliochorial,Villous,0.03785835806132542,0.0387005055611729
cynocephalus_volans,Dermoptera,35.79,6387.5,1250,NA,Hemochorial,Labyrinthine,0.028631999999999998,NA
