species,taxonomic_order,litter_mass,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation,relative_litter_mass,relative_litter_mass_female
odobenus_rosmarus,Carnivora,69727.262,14600,846498.1,NA,Endotheliochorial,Labyrinthine,0.08237143355667308,NA
ursus_thibetanus,Carnivora,597.025,14308,99714.19,NA,Endotheliochorial,Labyrinthine,0.0059873624807061055,NA
ursus_americanus,Carnivora,726.1553000000001,12410,132405,97000,Endotheliochorial,Labyrinthine,0.005484349533627885,0.007486137113402063
helarctos_malayanus,Carnivora,357.48900000000003,13103.5,46000,NA,Endotheliochorial,Labyrinthine,0.007771500000000001,NA
ursus_maritimus,Carnivora,1112.9968,16425,371703.8,272500,Endotheliochorial,Labyrinthine,0.002994311061657158,0.004084391926605504
ursus_arctos,Carnivora,1134.9773,18250,240500,111857.14,Endotheliochorial,Labyrinthine,0.004719240332640332,0.010146668330693954
tremarctos_ornatus,Carnivora,480,14329.29,109250,NA,Endotheliochorial,Labyrinthine,0.004393592677345538,NA
ailuropoda_melanoleuca,Carnivora,160.7606,13432,117500,NA,Endotheliochorial,Labyrinthine,0.0013681753191489363,NA
canis_lupus,Carnivora,2053.3038,10767.5,29190.76,31100,Endotheliochorial,Labyrinthine,0.07034088184069207,0.06602263022508038
canis_latrans,Carnivora,1122.0561,7969.17,11050,NA,Endotheliochorial,Labyrinthine,0.10154353846153846,NA
lycaon_pictus,Carnivora,2230.875,6205,24249.99,NA,Endotheliochorial,Labyrinthine,0.09199488329685908,NA
chrysocyon_brachyurus,Carnivora,1116.8700000000001,6132,22250,24630,Endotheliochorial,Labyrinthine,0.05019640449438203,0.04534591961023143
speothos_venaticus,Carnivora,650.475,5146.5,6000,NA,Endotheliochorial,Labyrinthine,0.10841250000000001,NA
vulpes_zerda,Carnivora,66.17439999999999,5949.5,1207.5,NA,Endotheliochorial,Labyrinthine,0.05480281573498964,NA
vulpes_vulpes,Carnivora,475.3177,7774.5,4580.3,3900,Endotheliochorial,Labyrinthine,0.10377435975809444,0.12187633333333334
vulpes_velox,Carnivora,177.33360000000002,7300,2088,NA,Endotheliochorial,Labyrinthine,0.08492988505747127,NA
vulpes_lagopus,Carnivora,561.6604,5949.5,3600,NA,Endotheliochorial,Labyrinthine,0.15601677777777778,NA
otocyon_megalotis,Carnivora,482.8,6527.42,4150,4073.75,Endotheliochorial,Labyrinthine,0.11633734939759037,0.11851488186560295
urocyon_cinereoargenteus,Carnivora,404.35200000000003,5913,4220,NA,Endotheliochorial,Labyrinthine,0.095818009478673,NA
crossarchus_obscurus,Carnivora,39.12,4854.5,790,NA,Endotheliochorial,Labyrinthine,0.049518987341772146,NA
mungos_mungo,Carnivora,64.85600000000001,6351,1331.5,NA,Endotheliochorial,Labyrinthine,0.04870897484040557,NA
suricata_suricatta,Carnivora,117.72999999999999,7519,776,NA,Endotheliochorial,Labyrinthine,0.15171391752577318,NA
cryptoprocta_ferox,Carnivora,299.88,8431.5,9500,6100,Endotheliochorial,Labyrinthine,0.031566315789473685,0.049160655737704916
hyaena_hyaena,Carnivora,1633.075,9125,35070.51,NA,Endotheliochorial,Labyrinthine,0.046565476236302236,NA
crocuta_crocuta,Carnivora,2920,15001.5,63000,NA,Hemochorial,Labyrinthine,0.04634920634920635,NA
genetta_tigrina,Carnivora,213.75,7774.5,1760,NA,Endotheliochorial,Labyrinthine,0.12144886363636363,NA
paradoxurus_hermaphroditus,Carnivora,302.9103,9125,3180,NA,Endotheliochorial,Labyrinthine,0.09525481132075472,NA
arctictis_binturong,Carnivora,793.375,9928,12999.99,NA,Endotheliochorial,Labyrinthine,0.06102889309914854,NA
hemigalus_derbyanus,Carnivora,250,6570,2375,NA,Endotheliochorial,Labyrinthine,0.10526315789473684,NA
felis_silvestris,Carnivora,392.61600000000004,10220,5036.54,3150,Endotheliochorial,Labyrinthine,0.0779535157072117,0.12464000000000001
felis_margarita,Carnivora,287.955,5073.5,2750,NA,Endotheliochorial,Labyrinthine,0.10471090909090909,NA
felis_chaus,Carnivora,406.5,7300,10000,NA,Endotheliochorial,Labyrinthine,0.04065,NA
felis_nigripes,Carnivora,137.51999999999998,5694,2125,NA,Endotheliochorial,Labyrinthine,0.06471529411764705,NA
prionailurus_bengalensis,Carnivora,207.5,6314.5,4150,NA,Endotheliochorial,Labyrinthine,0.05,NA
prionailurus_viverrinus,Carnivora,340,6278,10650,NA,Endotheliochorial,Labyrinthine,0.03192488262910798,NA
lynx_canadensis,Carnivora,650.76,9782,9682.82,NA,Endotheliochorial,Labyrinthine,0.06720769362644353,NA
lynx_lynx,Carnivora,650.25,9782,21150,NA,Endotheliochorial,Labyrinthine,0.03074468085106383,NA
lynx_rufus,Carnivora,758.9999999999999,11801.67,9400,NA,Endotheliochorial,Labyrinthine,0.08074468085106382,NA
puma_concolor,Carnivora,1131.2412,8687,48000,30466.66667,Endotheliochorial,Labyrinthine,0.023567525,0.03713045513816953
acinonyx_jubatus,Carnivora,1342.6464,7482.5,50577.92,NA,Endotheliochorial,Labyrinthine,0.026546097585665843,NA
caracal_caracal,Carnivora,587.58,7409.5,14000,NA,Endotheliochorial,Labyrinthine,0.04197,NA
leptailurus_serval,Carnivora,596.9,8395,11999.96,NA,Endotheliochorial,Labyrinthine,0.04974183247277491,NA
leopardus_pardalis,Carnivora,415,10293,10500,10466.92308,Endotheliochorial,Labyrinthine,0.039523809523809524,0.03964871021102412
leopardus_wiedii,Carnivora,236.13,8775.21,3600,2158.8,Endotheliochorial,Labyrinthine,0.06559166666666666,0.10938021122846024
panthera_leo,Carnivora,3655.5393000000004,10950,149062,143000,Endotheliochorial,Labyrinthine,0.02452361634756008,0.025563211888111892
panthera_onca,Carnivora,1634.6,10353.83,81150,58000,Endotheliochorial,Labyrinthine,0.02014294516327788,0.028182758620689655
panthera_tigris,Carnivora,3375.6949999999997,9599.5,128800,131000,Endotheliochorial,Labyrinthine,0.02620881211180124,0.0257686641221374
neofelis_nebulosa,Carnivora,374.6025,7227,19500,NA,Endotheliochorial,Labyrinthine,0.019210384615384615,NA
nandinia_binotata,Carnivora,112,7741.04,2167.2,NA,Endotheliochorial,Labyrinthine,0.0516795865633075,NA
equus_grevyi,Perissodactyla,39999.99,11384.96,384000,NA,Epitheliochorial,Villous,0.104166640625,NA
equus_zebra,Perissodactyla,29496.68,12118,296000,248100,Epitheliochorial,Villous,0.09965094594594595,0.11889028617492947
diceros_bicornis,Perissodactyla,34999.99,17973.21,995940.5,NA,Epitheliochorial,Villous,0.03514265159414644,NA
ceratotherium_simum,Perissodactyla,48500,18250,2230000,NA,Epitheliochorial,Villous,0.021748878923766816,NA
rhinoceros_unicornis,Perissodactyla,61326.59,17885,1600000,NA,Epitheliochorial,Villous,0.038329118749999995,NA
dicerorhinus_sumatrensis,Perissodactyla,22849.5,12775,1260000,NA,Epitheliochorial,Villous,0.01813452380952381,NA
tapirus_terrestris,Perissodactyla,4507.91,14454,225000,219500,Epitheliochorial,Trabecular,0.020035155555555555,0.020537175398633256
tapirus_pinchaque,Perissodactyla,4720,10402.5,148950,NA,Epitheliochorial,Villous,0.03168848606915072,NA
tapirus_indicus,Perissodactyla,6848.35,13322.5,296250,225000,Epitheliochorial,Villous,0.02311679324894515,0.030437111111111113
capra_ibex,Artiodactyla,3279.3026,8139.5,77000,NA,Epitheliochorial,Villous,0.042588345454545457,NA
hemitragus_jemlahicus,Artiodactyla,2727,7957,35200,45000,Epitheliochorial,Villous,0.0774715909090909,0.0606
oreamnos_americanus,Artiodactyla,4066.6692000000003,7592,77227.7,NA,Epitheliochorial,Villous,0.05265816798894698,NA
ammotragus_lervia,Artiodactyla,5490,7920.5,92500,NA,Epitheliochorial,Villous,0.059351351351351354,NA
ovis_canadensis,Artiodactyla,4239.325500000001,8760,69125,51100,Epitheliochorial,Villous,0.061328397830018096,0.0829613600782779
ovis_dalli,Artiodactyla,3709.9894,8760,70194.13,49066.66667,Epitheliochorial,Villous,0.052853271349042996,0.07561119700573293
capricornis_crispus,Artiodactyla,3499.99,8760,43030.64,38430,Epitheliochorial,Villous,0.08133715882450272,0.09107442102524069
naemorhedus_goral,Artiodactyla,2000,6916.75,28231.59,NA,Epitheliochorial,Villous,0.07084262700046295,NA
ovibos_moschatus,Artiodactyla,10548.5511,10001,312500,NA,Epitheliochorial,Villous,0.033755363520000005,NA
oryx_gazella,Artiodactyla,12055.49,8723.5,37500,NA,Epitheliochorial,Villous,0.32147973333333335,NA
oryx_dammah,Artiodactyla,9706.02,10037.5,177500,NA,Epitheliochorial,Villous,0.05468180281690141,NA
addax_nasomaculatus,Artiodactyla,5633.76,10293,94288.68,NA,Epitheliochorial,Villous,0.05975012058711608,NA
hippotragus_niger,Artiodactyla,16412.18,8121.25,225000,NA,Epitheliochorial,Villous,0.07294302222222222,NA
hippotragus_equinus,Artiodactyla,16412.18,9453.5,233500,NA,Epitheliochorial,Villous,0.07028770877944325,NA
damaliscus_lunatus,Artiodactyla,11000,8614,118798.7,NA,Epitheliochorial,Villous,0.09259360582228594,NA
alcelaphus_buselaphus,Artiodactyla,12500,5828.85,159938.9,NA,Epitheliochorial,Villous,0.07815484538158009,NA
connochaetes_taurinus,Artiodactyla,18044.36,9015.5,180500,NA,Epitheliochorial,Villous,0.09996875346260388,NA
connochaetes_gnou,Artiodactyla,10941.45,7957,132250,NA,Epitheliochorial,Villous,0.08273308128544424,NA
gazella_dorcas,Artiodactyla,1919.3162,8650.5,47386.47,14100,Epitheliochorial,Villous,0.0405034643855092,0.13612171631205675
gazella_spekei,Artiodactyla,1250,5405.04,20000,NA,Epitheliochorial,Villous,0.0625,NA
gazella_leptoceros,Artiodactyla,4615.3,5329,24645.75,NA,Epitheliochorial,Villous,0.18726555288437155,NA
