species,taxonomic_order,gestation_length,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation
pteronura_brasiliensis,Carnivora,68.79,6314.5,24000,NA,Endotheliochorial,Labyrinthine
poecilogale_albinucha,Carnivora,32.25,2278.21,282.83,NA,Endotheliochorial,Labyrinthine
mustela_putorius,Carnivora,41.49,5110,809,NA,Endotheliochorial,Labyrinthine
neovison_vison,Carnivora,36.22,4161,899.75,710,Endotheliochorial,Labyrinthine
martes_zibellina,Carnivora,30.4,8030,1066.7,NA,Endotheliochorial,Labyrinthine
martes_americana,Carnivora,28,6935,892,960,Endotheliochorial,Labyrinthine
gulo_gulo,Carnivora,51.44,7117.5,12792.49,NA,Endotheliochorial,Labyrinthine
eira_barbara,Carnivora,66.66,8139.5,4134.99,4350,Endotheliochorial,Labyrinthine
taxidea_taxus,Carnivora,43.8,9490,8000,6385,Endotheliochorial,Labyrinthine
nasua_narica,Carnivora,77.92,9636,3750,3700,Endotheliochorial,Labyrinthine
nasua_nasua,Carnivora,74.03,8650.5,4000,4244.322222,Endotheliochorial,Labyrinthine
procyon_lotor,Carnivora,63.91,7665,5075,6320,Endotheliochorial,Labyrinthine
bassariscus_sumichrasti,Carnivora,64.72,8760,906,NA,Endotheliochorial,Labyrinthine
bassariscus_astutus,Carnivora,54.23,6935,1010.37,NA,Endotheliochorial,Labyrinthine
potos_flavus,Carnivora,115.9,14016,2420.91,NA,Endotheliochorial,Labyrinthine
ailurus_fulgens,Carnivora,123.44,6935,4747.54,NA,Endotheliochorial,Labyrinthine
phoca_vitulina,Carnivora,253.57,17374,94283.33,NA,Endotheliochorial,Labyrinthine
phoca_largha,Carnivora,270.77,17374,93097.92,NA,Endotheliochorial,Labyrinthine
pusa_hispida,Carnivora,251,16790,88070,NA,Endotheliochorial,Labyrinthine
halichoerus_grypus,Carnivora,291.23,17035.46,197570,NA,Endotheliochorial,Labyrinthine
cystophora_cristata,Carnivora,334.58,12775,245448.4,NA,Endotheliochorial,Labyrinthine
hydrurga_leptonyx,Carnivora,289.14,9490,375671.1,NA,Endotheliochorial,Labyrinthine
leptonychotes_weddellii,Carnivora,312.01,9125,410833.3,NA,Endotheliochorial,Labyrinthine
lobodon_carcinophaga,Carnivora,269.81,14235,238333.3,NA,Endotheliochorial,Labyrinthine
mirounga_angustirostris,Carnivora,290.63,7406.46,914528.7,334720,Endotheliochorial,Labyrinthine
arctocephalus_townsendi,Carnivora,246.38,11169,101063.7,NA,Endotheliochorial,Labyrinthine
arctocephalus_pusillus,Carnivora,357.83,11716.5,127551,NA,Endotheliochorial,Labyrinthine
zalophus_californianus,Carnivora,334.84,13030.5,158597.4,95666.66667,Endotheliochorial,Labyrinthine
eumetopias_jubatus,Carnivora,308.05,11972,382466.7,NA,Endotheliochorial,Labyrinthine
callorhinus_ursinus,Carnivora,254.75,12775,55464.82,42187.5,Endotheliochorial,Labyrinthine
odobenus_rosmarus,Carnivora,353.7,14600,846498.1,NA,Endotheliochorial,Labyrinthine
ursus_thibetanus,Carnivora,213.05,14308,99714.19,NA,Endotheliochorial,Labyrinthine
ursus_americanus,Carnivora,91.01,12410,132405,97000,Endotheliochorial,Labyrinthine
helarctos_malayanus,Carnivora,98.34,13103.5,46000,NA,Endotheliochorial,Labyrinthine
ursus_maritimus,Carnivora,147.42,16425,371703.8,272500,Endotheliochorial,Labyrinthine
ursus_arctos,Carnivora,103,18250,240500,111857.14,Endotheliochorial,Labyrinthine
melursus_ursinus,Carnivora,198,14600,99999.99,NA,Hemochorial,Labyrinthine
tremarctos_ornatus,Carnivora,225.55,14329.29,109250,NA,Endotheliochorial,Labyrinthine
ailuropoda_melanoleuca,Carnivora,131.18,13432,117500,NA,Endotheliochorial,Labyrinthine
canis_lupus,Carnivora,62.2,10767.5,29190.76,31100,Endotheliochorial,Labyrinthine
canis_latrans,Carnivora,62.39,7969.17,11050,NA,Endotheliochorial,Labyrinthine
canis_rufus,Carnivora,67.81,5847.27,23500,NA,Endotheliochorial,Labyrinthine
lycaon_pictus,Carnivora,72,6205,24249.99,NA,Endotheliochorial,Labyrinthine
chrysocyon_brachyurus,Carnivora,64,6132,22250,24630,Endotheliochorial,Labyrinthine
speothos_venaticus,Carnivora,67.89,5146.5,6000,NA,Endotheliochorial,Labyrinthine
vulpes_zerda,Carnivora,51,5949.5,1207.5,NA,Endotheliochorial,Labyrinthine
vulpes_vulpes,Carnivora,52.35,7774.5,4580.3,3900,Endotheliochorial,Labyrinthine
vulpes_velox,Carnivora,53.7,7300,2088,NA,Endotheliochorial,Labyrinthine
vulpes_lagopus,Carnivora,52.5,5949.5,3600,NA,Endotheliochorial,Labyrinthine
vulpes_macrotis,Carnivora,53.7,7300,2088,NA,Endotheliochorial,Labyrinthine
otocyon_megalotis,Carnivora,68,6527.42,4150,4073.75,Endotheliochorial,Labyrinthine
urocyon_cinereoargenteus,Carnivora,61.48,5913,4220,NA,Endotheliochorial,Labyrinthine
crossarchus_obscurus,Carnivora,68.48,4854.5,790,NA,Endotheliochorial,Labyrinthine
helogale_hirtula,Carnivora,57.18,3522.25,484.63,NA,Endotheliochorial,Labyrinthine
mungos_mungo,Carnivora,60.91,6351,1331.5,NA,Endotheliochorial,Labyrinthine
suricata_suricatta,Carnivora,77,7519,776,NA,Endotheliochorial,Labyrinthine
cryptoprocta_ferox,Carnivora,91.31,8431.5,9500,6100,Endotheliochorial,Labyrinthine
hyaena_hyaena,Carnivora,90.5,9125,35070.51,NA,Endotheliochorial,Labyrinthine
crocuta_crocuta,Carnivora,110,15001.5,63000,NA,Hemochorial,Labyrinthine
genetta_tigrina,Carnivora,70.61,7774.5,1760,NA,Endotheliochorial,Labyrinthine
viverricula_indica,Carnivora,71.39,4675.04,2959.44,NA,Endotheliochorial,Labyrinthine
paradoxurus_hermaphroditus,Carnivora,60,9125,3180,NA,Endotheliochorial,Labyrinthine
arctictis_binturong,Carnivora,92,9928,12999.99,NA,Endotheliochorial,Labyrinthine
hemigalus_derbyanus,Carnivora,69.99,6570,2375,NA,Endotheliochorial,Labyrinthine
felis_silvestris,Carnivora,64.72,10220,5036.54,3150,Endotheliochorial,Labyrinthine
felis_margarita,Carnivora,66.96,5073.5,2750,NA,Endotheliochorial,Labyrinthine
felis_chaus,Carnivora,62.39,7300,10000,NA,Endotheliochorial,Labyrinthine
felis_nigripes,Carnivora,66.96,5694,2125,NA,Endotheliochorial,Labyrinthine
prionailurus_bengalensis,Carnivora,66.05,6314.5,4150,NA,Endotheliochorial,Labyrinthine
