taxonomic_order;species;common_name;gestation_length;neonate_body_size;litter_size;interbirth_interval;longevity;invasiveness;interdigitation;body_mass_g;litter_mass;female_body_mass_g
Artiodactyla;giraffa_camelopardalis;northern_giraffe;456.13;55244.9;1.12;613.75;14417.5;Epitheliochorial;Villous;8.00E+05;61874.288;
Rodentia;glaucomys_sabrinus;northern_flying_squirrel;40;5.64;3;271.39;5183;Hemochorial;Labyrinthine;148;16.92;
Rodentia;glaucomys_volans;southern_flying_squirrel;40;3.61;3.13;125.29;6935;Hemochorial;Labyrinthine;65.4;11.2993;79.1
Chiroptera;glossophaga_soricina;Pallas's_long-tongued_bat;107.26;-999;1;243.99;4015;Endotheliochorial;Labyrinthine;10.25;-999;10.56574924
Primates;gorilla_gorilla;western_gorilla;257;2095.89;1.01;1412.93;20221;Hemochorial;Villous;150000;2116.8489;89113.46154
Carnivora;gulo_gulo;wolverine;51.44;86.02;2.84;729.63;7117.5;Endotheliochorial;Labyrinthine;12792.49;244.2968;
Carnivora;halichoerus_grypus;grey_seal;291.23;13995.35;1;364.75;17035.46;Endotheliochorial;Labyrinthine;197570;13995.35;
Primates;hapalemur_griseus;eastern_lesser_bamboo_lemur;141.24;45.2;1.2;332.56;8504.5;Epitheliochorial;Villous;1202.71;54.24;
Carnivora;helarctos_malayanus;sun_bear;98.34;324.99;1.1;588.72;13103.5;Endotheliochorial;Labyrinthine;46000;357.489;
Carnivora;helogale_hirtula;Ethiopian_dwarf_mongoose;57.18;;3.37;191.18;3522.25;Endotheliochorial;Labyrinthine;484.63;;
Afrosoricida;hemicentetes_semispinosus;lowland_streaked_tenrec;53.78;7.39;5.17;184.01;1000.71;Hemochorial;Labyrinthine;133;38.2063;107.6
Carnivora;hemigalus_derbyanus;banded_palm_civet;69.99;125;2;241.93;6570;Endotheliochorial;Labyrinthine;2375;250;
Artiodactyla;hemitragus_jemlahicus;Himalayan_tahr;183;2700;1.01;364.75;7957;Epitheliochorial;Villous;35200;2727;45000
Rodentia;heterocephalus_glaber;naked_mole-rat;70;1.86;8.95;81.04;10329.5;Hemochorial;Labyrinthine;35;16.647;
Hyracoidea;heterohyrax_brucei;yellow-spotted_rock_hyrax;228.21;225;1.89;364.75;5110;Hemochorial;Labyrinthine;2000;425.25;
Artiodactyla;hippopotamus_amphibius;hippopotamus;234.69;40199.99;1;629.34;22338;Epitheliochorial;Villous;2640000;40199.99;1349750
Artiodactyla;hippotragus_equinus;roan_antelope;283.83;16412.18;1;323.78;9453.5;Epitheliochorial;Villous;233500;16412.18;
Artiodactyla;hippotragus_niger;sable_antelope;271;16412.18;1;364.75;8121.25;Epitheliochorial;Villous;225000;16412.18;
Carnivora;hyaena_hyaena;striped_hyena;90.5;653.23;2.5;236.96;9125;Endotheliochorial;Labyrinthine;35070.51;1633.075;
Carnivora;hydrictis_maculicollis;spotted-necked_otter;60.88;-999;2;364.75;8358.5;Endotheliochorial;Labyrinthine;4000;-1998;
Rodentia;hydrochoerus_hydrochaeris;capybara;150.73;1500;3.49;244.83;5511.5;Hemochorial;Labyrinthine;51572.46;5235;62000
Artiodactyla;hydropotes_inermis;water_deer;190;1016.19;3;241.89;5079.58;Epitheliochorial;Villous;12760.04;3048.57;12220
Carnivora;hydrurga_leptonyx;leopard_seal;289.14;29999.99;0.98;364.75;9490;Endotheliochorial;Labyrinthine;375671.1;29399.9902;
Primates;hylobates_agilis;agile_gibbon;216.24;-999;1;1094.25;20805;Hemochorial;Villous;5829.08;-999;
Primates;hylobates_lar;lar_gibbon;216.24;398.86;1;1038.62;20805;Hemochorial;Villous;6194.31;398.86;5340
Primates;hylobates_pileatus;pileated_gibbon;216.24;-999;1;1038.62;20805;Hemochorial;Villous;5656.81;-999;
Rodentia;hystrix_africaeaustralis;Cape_porcupine;93.49;305.59;2.1;376.74;8431.5;Hemochorial;Labyrinthine;14936.02;641.739;
Rodentia;hystrix_cristata;crested_porcupine;71.05;-999;2.3;262.06;10411.63;Hemochorial;Labyrinthine;19166.67;-2297.7;13800
Rodentia;ictidomys_tridecemlineatus;thirteen-lined_ground_squirrel;27.75;;8.09;318.76;2883.5;Hemochorial;Labyrinthine;182;;
Primates;indri_indri;indri;142.06;-999;1.01;911.88;9231.94;Epitheliochorial;Villous;8241.74;-1008.99;
Artiodactyla;inia_geoffrensis;Amazon_river_dolphin;299.19;6799.99;1;644.2;11424.5;Epitheliochorial;Trabecular;98500;6799.99;
Rodentia;jaculus_jaculus;lesser_jerboa;38;2;3.24;91.06;2664.5;Hemochorial;Labyrinthine;57.4;6.48;
Rodentia;kerodon_rupestris;rock_cavy;75.89;82.44;1.52;86.09;4708.5;Hemochorial;Labyrinthine;875.5;125.3088;
Artiodactyla;kobus_ellipsiprymnus;Ellipsen_waterbuck;270;12000;1.05;364.75;11080.79;Epitheliochorial;Villous;175333;12600;
Artiodactyla;kobus_leche;lechwe;229.4;5100;1;369.27;9271;Epitheliochorial;Villous;91722.52;5100;
Artiodactyla;kobus_megaceros;Nile_lechwe;235;-999;1;352.76;7701.5;Epitheliochorial;Villous;87902.96;-999;
Rodentia;lagostomus_maximus;plains_viscacha;155.73;196;2;144.25;3942;Hemochorial;Labyrinthine;6392;392;
Artiodactyla;lama_guanicoe;guanaco;337.55;;1;547.38;22435.33;Epitheliochorial;Villous;112500;;
Rodentia;lemmus_lemmus;Norway_lemming;20.11;3.89;5.12;23.48;1213.63;Hemochorial;Labyrinthine;68.81;19.9168;68.6
Artiodactyla;lemur_catta;ring-tailed_lemur;134.84;75.8;1.11;416.42;13614.5;Epitheliochorial;Villous;2555;84.138;2678
Primates;leontopithecus_chrysomelas;golden-headed_lion_tamarin;132.4;-999;1.95;185.62;11534;Hemochorial;Trabecular;582.66;-1948.05;
Primates;leontopithecus_rosalia;golden_liontamarin;132.4;51.89;1.95;185.62;11534;Hemochorial;Trabecular;623.51;101.1855;
Carnivora;leopardus_geoffroyi;Geoffroy's_cat;74.78;;2.02;239.84;8471.04;Endotheliochorial;Labyrinthine;4000;;
Carnivora;leopardus_pardalis;ocelot;80.35;250;1.66;406.17;10293;Endotheliochorial;Labyrinthine;10500;415;10466.92308
Carnivora;leopardus_wiedii;margay;81.26;157.42;1.5;239.38;8775.21;Endotheliochorial;Labyrinthine;3600;236.13;2158.8
Carnivora;leptailurus_serval;serval;71.83;254;2.35;179.13;8395;Endotheliochorial;Labyrinthine;11999.96;596.9;
Carnivora;leptonychotes_weddellii;Weddell_seal;312.01;27395.84;1;364.75;9125;Endotheliochorial;Labyrinthine;410833.3;27395.84;
Chiroptera;leptonycteris_nivalis;greater_long-nosed_bat;121.66;7.8;1;330.98;3650;Endotheliochorial;Labyrinthine;22.63;7.8;
Chiroptera;leptonycteris_yerbabuenae;lesser_long-nosed_bat;121.83;7.1;1;333.1;3686.5;Endotheliochorial;Labyrinthine;24.26;7.1;
Lagomorpha;lepus_americanus;snowshoe_hare;36.85;67.84;3.41;36.98;2920;Hemochorial;Labyrinthine;1565.61;231.3344;1167.3
Afrosoricida;limnogale_mergulus;web-footed_tenrec;68.48;-999;2.87;331.19;2210.79;Hemochorial;Labyrinthine;77.7;-2867.13;
Artiodactyla;lissodelphis_borealis;northern_right_whale_dolphin;365.28;;1;730;15330;Epitheliochorial;Trabecular;113000;;
Artiodactyla;litocranius_walleri;gerenuk;204.15;-999;1;240.61;6314.5;Epitheliochorial;Villous;41333.33;-999;
Carnivora;lobodon_carcinophaga;crabeater_seal;269.81;20000;1;638.31;14235;Endotheliochorial;Labyrinthine;238333.3;20000;
Carnivora;lontra_canadensis;North_American_river_otter;61.18;135.94;2.67;364.75;9855;Endotheliochorial;Labyrinthine;8087.42;362.9598;
Primates;lophocebus_aterrimus;black_crested_mangabey;181.7;-999;1;676.61;13389.42;Hemochorial;Villous;6768.75;-999;
Primates;loris_tardigradus;red_slender_loris;167.61;11;1.37;235.09;7044.5;Epitheliochorial;Villous;243.71;15.07;224.25
Proboscidea;loxodonta_africana;African_bush_elephant;669.68;105000;1;1735.31;29200;Endotheliochorial;Labyrinthine;4565000;105000;2727333.333
Carnivora;lycaon_pictus;African_wild_dog;72;297.45;7.5;358.69;6205;Endotheliochorial;Labyrinthine;24249.99;2230.875;
Carnivora;lynx_canadensis;Canada_lynx;63;204;3.19;364.75;9782;Endotheliochorial;Labyrinthine;9682.82;650.76;
Carnivora;lynx_lynx;Eurasian_lynx;66.5;289;2.25;364.75;9782;Endotheliochorial;Labyrinthine;21150;650.25;
Carnivora;lynx_rufus;bobcat;66;300;2.53;364.75;11801.67;Endotheliochorial;Labyrinthine;9400;759;
Primates;macaca_fascicularis;crab-eating_macaque;165;328.76;1;414.44;14235;Hemochorial;Trabecular;4569.32;328.76;
Primates;macaca_fuscata;Japanese_macaque;174;501.57;1.42;499.99;14052.5;Hemochorial;Trabecular;8882.5;712.2294;8671.66667
Primates;macaca_mulatta;rhesus_macaque;165;471.47;1;414.47;14600;Hemochorial;Trabecular;6614;471.47;6526.11111
Primates;macaca_nigra;Celebes_crested_macaque;175.96;457.77;1;539.73;12410;Hemochorial;Trabecular;7662.2;457.77;
Primates;macaca_radiata;bonnet_macaque;161.56;367.52;1;364.75;10959.13;Hemochorial;Trabecular;5132.25;367.52;
Primates;macaca_silenus;lion-tailed_macaque;176;416.11;1;506.35;14663.88;Hemochorial;Trabecular;6570;416.11;
Macroscelidea;macroscelides_proboscideus;round-eared_elephant_shrew;65;-999;1.6;78.18;3175.5;Hemochorial;Labyrinthine;39.5;-1598.4;43.3
Artiodactyla;madoqua_guentheri;Gnther's_dik-dik;177.75;684;1;211.87;6387.5;Epitheliochorial;Villous;4550;684;
Artiodactyla;madoqua_kirkii;Kirk's_dik-dik;172;625.82;1;213.1;6314.5;Epitheliochorial;Villous;4833.4;625.82;
Primates;mandrillus_sphinx;mandrill;173.99;612.89;1.05;526.46;16910.45;Hemochorial;Trabecular;23000;643.5345;
Rodentia;marmota_flaviventris;yellow-bellied_marmot;30.2;33.79;4.44;456.81;7738;Hemochorial;Labyrinthine;3709.73;150.0276;2572
Rodentia;marmota_monax;groundhog;32.35;27.19;4.5;591.94;5110;Hemochorial;Labyrinthine;3413;122.355;
Carnivora;martes_americana;American_pine_marten;28;31.3;2.73;364.75;6935;Endotheliochorial;Labyrinthine;892;85.449;960
Carnivora;martes_zibellina;sable;30.4;31.22;3.13;229.12;8030;Endotheliochorial;Labyrinthine;1066.7;97.7186;
Rodentia;mastomys_natalensis;Natal_multimammate_mouse;23.54;1.98;8.6;31.85;1061.54;Hemochorial;Labyrinthine;41.68;17.028;9.3
Artiodactyla;mazama_americana;red_brocket;225;-999;1.22;327.31;6241.5;Epitheliochorial;Villous;23000;-1218.78;
Artiodactyla;megaptera_novaeangliae;humpback_whale;348.84;1299999.99;1;693.03;34675;Epitheliochorial;Trabecular;3.00E+07;1299999.99;
Carnivora;melursus_ursinus;sloth_bear;198;-999;1.54;1094.25;14600;Hemochorial;Labyrinthine;99999.99;-1538.46;
Rodentia;meriones_shawi;Shaw's_jird;25.49;4.35;5.63;31.23;1700.29;Hemochorial;Labyrinthine;137.8;24.4905;
Rodentia;meriones_unguiculatus;Mongolian_gerbil;25.09;2.85;5;45.97;2299.5;Hemochorial;Labyrinthine;58.1;14.25;65.02
Rodentia;mesocricetus_auratus;golden_hamster;16;2.35;8.69;49.67;3650;Hemochorial;Labyrinthine;105;20.4215;76
Primates;microcebus_murinus;gray_mouse_lemur;60.34;4.78;2.41;218.85;6643;Epitheliochorial;Villous;66.9;11.5198;109
Rodentia;microdipodops_megacephalus;dark_kangaroo_mouse;25.95;-999;3.9;111.27;1977.08;Endotheliochorial;Labyrinthine;13.41;-3896.1;
Rodentia;microtus_xanthognathus;taiga_vole;23.44;3.49;8.18;34.87;1000.25;Hemochorial;Labyrinthine;92.65;28.5482;
Primates;miopithecus_talapoin;Angolan_talapoin;164.38;179.04;1;730;11278.5;Hemochorial;Trabecular;1362.5;179.04;
Carnivora;mirounga_angustirostris;northern_elephant_seal;290.63;34381.77;1;364.75;7406.46;Endotheliochorial;Labyrinthine;914528.7;34381.77;334720
Primates;mirza_coquereli;Coquerel's_giant_mouse_lemur;89;12.92;1.71;364.75;6351;Epitheliochorial;Villous;311.2;22.0932;302
Chiroptera;mormoops_megalophylla;ghost-faced_bat;103.24;0.91;1;352.59;2728.03;Hemochorial;Labyrinthine;16.05;0.91;
Carnivora;mungos_mungo;banded_mongoose;60.91;24.2;2.68;364.75;6351;Endotheliochorial;Labyrinthine;1331.5;64.856;
Artiodactyla;muntiacus_muntjak;Indian_muntjac;210;1371.39;1.17;240.84;6862;Epitheliochorial;Villous;17611.59;1604.5263;15000
Artiodactyla;muntiacus_reevesi;Reeves's_muntjac;208.79;1050;1;214.98;8468;Epitheliochorial;Villous;13499.94;1050;8900
Rodentia;mus_musculus;house_mouse;19.6;1.06;6.07;29.98;2190;Hemochorial;Labyrinthine;20.5;6.4342;16.7
Carnivora;mustela_putorius;European_polecat;41.49;9.5;7.68;196.12;5110;Endotheliochorial;Labyrinthine;809;72.96;
Rodentia;myocastor_coypus;coypu;131.86;205.7;5.34;130.66;4380;Hemochorial;Labyrinthine;7150;1098.438;6360
Rodentia;myodes_glareolus;bank_vole;20;1.83;4.3;21.36;1794.58;Hemochorial;Labyrinthine;20.8;7.869;
Rodentia;myodes_rutilus;northern_red-backed_vole;23.71;1.8;6.3;20.49;1085.32;Hemochorial;Labyrinthine;25;11.34;
Rodentia;myoprocta_pratti;green_acouchi;99.33;79.3;1.87;126.6;5402;Hemochorial;Villous;914;148.291;
Chiroptera;myotis_lucifugus;little_brown_bat;57.4;2.18;1;364.75;12410;Hemochorial;Labyrinthine;7.15;2.18;6.49
Pilosa;myrmecophaga_tridactyla;giant_anteater;184;1500;1;476.09;11506.63;Hemochorial;Trabecular;29531.83;1500;32770
Chiroptera;myzopoda_aurita;Madagascar_sucker-footed_bat;104.53;;1.03;360.48;5044.91;Endotheliochorial;Labyrinthine;9.1;;
Artiodactyla;naemorhedus_goral;Himalayan_goral;215;2000;1;364.75;6916.75;Epitheliochorial;Villous;28231.59;2000;
Carnivora;nandinia_binotata;African_palm_civet;64.83;56;2;182.13;7741.04;Endotheliochorial;Labyrinthine;2167.2;112;
Artiodactyla;nanger_dama;dama_gazelle;208;-999;1;182.38;7044.5;Epitheliochorial;Villous;73000;-999;
Artiodactyla;nanger_granti;Grant's_gazelle;196;5215.17;1;230.05;7190.5;Epitheliochorial;Villous;61232.23;5215.17;
Primates;nasalis_larvatus;proboscis_monkey;167.16;450;1.01;543.38;9161.5;Hemochorial;Trabecular;13441.58;454.5;
Carnivora;nasua_narica;white-nosed_coati;77.92;140;4.17;364.75;9636;Endotheliochorial;Labyrinthine;3750;583.8;3700
Carnivora;nasua_nasua;South_American_coati;74.03;144.91;3.81;364.75;8650.5;Endotheliochorial;Labyrinthine;4000;552.1071;4244.322222
Chiroptera;natalus_tumidirostris;Trinidadian_funnel-eared_bat;121.11;;1.02;359.45;4590.07;Endotheliochorial;Labyrinthine;5.85;;
Carnivora;neofelis_nebulosa;clouded_leopard;93.13;166.49;2.25;254.61;7227;Endotheliochorial;Labyrinthine;19500;374.6025;
Rodentia;neotoma_albigula;white-throated_woodrat;36.22;11.21;2.14;48.97;3467.5;Hemochorial;Labyrinthine;190.5;23.9894;
Rodentia;neotoma_floridana;eastern_woodrat;35.53;14.04;2.63;65.96;3467.5;Hemochorial;Labyrinthine;208.18;36.9252;
Rodentia;neotoma_fuscipes;dusky-footed_woodrat;32.13;13.15;2.72;129.87;304.17;Hemochorial;Labyrinthine;213.26;35.768;
Rodentia;neotoma_lepida;desert_woodrat;33;9.36;2.92;59.96;3832.5;Hemochorial;Labyrinthine;113.4;27.3312;
Artiodactyla;neotragus_pygmaeus;royal_antelope;188;-999;1;264.82;5803.5;Epitheliochorial;Villous;4200;-999;
Carnivora;neovison_vison;American_mink;36.22;;4.76;364.75;4161;Endotheliochorial;Labyrinthine;899.75;;710
Primates;nomascus_gabriellae;olden-cheeked_crested_gibbon;207.59;;1;889.37;16826.5;Hemochorial;Villous;6621.09;;
Primates;nycticebus_coucang;Sunda_slow_loris;189.55;50.47;1.04;428.21;9672.5;Epitheliochorial;Villous;953.3;52.4888;1195
Primates;nycticebus_pygmaeus;pygmy_slow_loris;188;19.89;1.12;447.69;9672.5;Epitheliochorial;Villous;400;22.2768;376
Lagomorpha;ochotona_princeps;American_pika;30.44;11;3;30.18;2670.58;Hemochorial;Labyrinthine;140.2;33;168.8
Rodentia;octodon_degus;common_degu;90.09;14.19;5.31;112.24;5110;Hemochorial;Labyrinthine;204.84;75.3489;
Carnivora;odobenus_rosmarus;walrus;353.7;59090.9;1.18;820.69;14600;Endotheliochorial;Labyrinthine;846498.1;69727.262;
Artiodactyla;odocoileus_hemionus;mule_deer;207;3007.49;1.62;364.75;8030;Epitheliochorial;Villous;57000;4872.1338;
Artiodactyla;odocoileus_virginianus;white-tailed_deer;201.39;2949.99;1.71;303.87;8395;Epitheliochorial;Villous;65320;5044.4829;52060
Artiodactyla;okapia_johnstoni;okapi;452.58;18325.61;1;592.64;12227.5;Epitheliochorial;Villous;230001.1;18325.61;
Rodentia;ondatra_zibethicus;muskrat;27.78;21.99;6.42;29.98;3650;Hemochorial;Labyrinthine;997.96;141.1758;
Cetacea;orcinus_orca;killer_whale;454.72;158745.07;1;1459.5;36500;Epitheliochorial;Villous;4300000;158745.07;5443200
Artiodactyla;oreamnos_americanus;mountain_goat;182.62;3080.81;1.32;364.75;7592;Epitheliochorial;Villous;77227.7;4066.6692;
Artiodactyla;oreotragus_oreotragus;klipspringer;206.66;1130;1;364.75;9453.5;Epitheliochorial;Villous;13000;1130;
Tubulidentata;orycteropus_afer;aardvark;222.05;1899.68;1.03;364.75;10877;Endotheliochorial;Labyrinthine;56175.2;1956.6704;
Lagomorpha;oryctolagus_cuniculus;European_rabbit;30.6;39.11;5.24;28.98;6570;Hemochorial;Labyrinthine;1900;204.9364;1827
Artiodactyla;oryx_dammah;scimitar_oryx;247;9706.02;1;221.63;10037.5;Epitheliochorial;Villous;177500;9706.02;
Artiodactyla;oryx_gazella;South_African_oryx;168;12055.49;1;221.63;8723.5;Epitheliochorial;Villous;37500;12055.49;
Artiodactyla;oryx_leucoryx;Arabian_oryx;243;-999;1;221.63;8723.5;Epitheliochorial;Villous;121350;-999;
Carnivora;otocolobus_manul;Pallas's_cat;72.13;;4.14;199.02;5803.5;Endotheliochorial;Labyrinthine;3500;;
Carnivora;otocyon_megalotis;bat-eared_fox;68;120.7;4;182.13;6527.42;Endotheliochorial;Labyrinthine;4150;482.8;4073.75
Primates;otolemur_garnettii;northern_greater_galago;128.74;49.21;1.26;221.85;6874.17;Epitheliochorial;Villous;1300;62.0046;734
Rodentia;otospermophilus_beecheyi;California_ground_squirrel;28.5;;6.71;396.15;1974.04;Hemochorial;Labyrinthine;575.3;;
Artiodactyla;ovibos_moschatus;muskox;258;10444.11;1.01;577.36;10001;Epitheliochorial;Villous;312500;10548.5511;
Artiodactyla;ovis_canadensis;bighorn_sheep;180;4115.85;1.03;364.75;8760;Epitheliochorial;Villous;69125;4239.3255;51100
Artiodactyla;ovis_dalli;Dall's_sheep;175.25;3499.99;1.06;364.75;8760;Epitheliochorial;Villous;70194.13;3709.9894;49066.66667
Artiodactyla;ovis_vignei;urial;158.89;;1.22;364.75;8322;Epitheliochorial;Villous;110000;;
Primates;pan_paniscus;bonobo;235.32;1399.53;1;1769.04;20075;Hemochorial;Villous;35119.95;1399.53;31940
Primates;pan_troglodytes;chimpanzee;229;1745.02;1.08;1331.59;27010;Hemochorial;Villous;44983.5;1884.6216;33400
Carnivora;panthera_leo;lion;109;1291.71;2.83;689.03;10950;Endotheliochorial;Labyrinthine;149062;3655.5393;143000
Carnivora;panthera_onca;jaguar;100.75;817.3;2;364.75;10353.83;Endotheliochorial;Labyrinthine;81150;1634.6;58000
Carnivora;panthera_tigris;tiger;105.19;1313.5;2.57;785.09;9599.5;Endotheliochorial;Labyrinthine;128800;3375.695;131000
Carnivora;panthera_uncia;snow_leopard;97.92;;2.12;364.75;7738;Endotheliochorial;Labyrinthine;47812.5;;
Primates;papio_anubis;olive_baboon;178.96;947.31;1.01;638.31;16425;Hemochorial;Trabecular;17728.56;956.7831;11700
Primates;papio_hamadryas;hamadryas_baboon;179.28;890;1;587.76;16425;Hemochorial;Villous;18000;890;9900
Primates;papio_papio;Guinea_baboon;179.28;600.38;1.01;587.76;16425;Hemochorial;Trabecular;18000;606.3838;
Carnivora;paradoxurus_hermaphroditus;Asian_palm_civet;60;92.07;3.29;182.38;9125;Endotheliochorial;Labyrinthine;3180;302.9103;
Rodentia;paraxerus_cepapi;Smith's_bush_squirrel;56.87;12.75;2.01;60.46;3491.83;Hemochorial;Labyrinthine;222.85;25.6275;
Artiodactyla;pecari_tajacu;collared_peccary;143.36;618.53;1.82;154.89;11497.5;Epitheliochorial;Villous;20500;1125.7246;17956.25
Rodentia;pedetes_capensis;South_African_springhare;78.02;253.49;1;100.93;7315.21;Hemochorial;Labyrinthine;2774.63;253.49;
Primates;perodicticus_potto;potto;193;37.16;1.03;275.84;9782;Epitheliochorial;Villous;1011;38.2748;989
Rodentia;perognathus_parvus;Great_Basin_pocket_mouse;24;1.5;4.8;279.83;2117;Hemochorial;Labyrinthine;20.1;7.2;
Rodentia;peromyscus_eremicus;cactus_mouse;26;2.51;2.6;38.72;2701;Hemochorial;Labyrinthine;21.75;6.526;
Rodentia;peromyscus_leucopus;white-footed_mouse;25.26;1.8;4.35;26.28;2920;Hemochorial;Labyrinthine;22.3;7.83;17.675
Rodentia;peromyscus_maniculatus;deer_mouse;26;1.73;4.62;26.78;3041.67;Hemochorial;Labyrinthine;20.5;7.9926;19.57
Rodentia;peromyscus_polionotus;oldfield_mouse;24;1.54;3.6;24.61;2007.5;Hemochorial;Labyrinthine;14;5.544;
Macroscelidea;petrodromus_tetradactylus;four-toed_elephant_shrew;76.67;30.95;1.17;184.8;2609.75;Hemochorial;Labyrinthine;208;36.2115;
Rodentia;petromus_typicus;dassie_rat;86.11;-999;1.69;231.65;2579.33;Hemochorial;Labyrinthine;212;-1688.31;
Artiodactyla;phacochoerus_aethiopicus;desert_warthog;166.86;691.95;3.37;364.75;6862;Epitheliochorial;Villous;73303.76;2331.8715;
Artiodactyla;phacochoerus_africanus;common_warthog;168.25;-999;3;425.71;7628.5;Epitheliochorial;Trabecular;91249.99;-2997;
Artiodactyla;philantomba_monticola;blue_duiker;195.7;709.41;1;264.82;5803.5;Epitheliochorial;Villous;4896.05;709.41;
Carnivora;phoca_largha;spotted_seal;270.77;7100;1;364.75;17374;Endotheliochorial;Labyrinthine;93097.92;7100;
Carnivora;phoca_vitulina;harbor_seal;253.57;10213.75;1;364.75;17374;Endotheliochorial;Labyrinthine;94283.33;10213.75;
Cetacea;phocoena_phocoena;harbour_porpoise;307.01;8892.16;1;364.75;7446;Epitheliochorial;Trabecular;52730.93;8892.16;62000
Rodentia;phodopus_campbelli;Campbell's_dwarf_hamster;20;1.49;5.48;31.98;1426.54;Hemochorial;Labyrinthine;28.75;8.1652;
Rodentia;phodopus_sungorus;winter_white_dwarf_hamster;19.89;2.04;5.24;31.98;1426.54;Hemochorial;Labyrinthine;30.87;10.6896;
Chiroptera;phyllostomus_discolor;pale_spear-nosed_bat;105;7.29;1;227.52;3285;Endotheliochorial;Labyrinthine;40.05;7.29;37.04081633
Primates;pithecia_pithecia;white-faced_saki;159.57;-999;1;383.25;13206.92;Hemochorial;Villous;1480;-999;
Artiodactyla;platanista_gangetica;South_Asian_river_dolphin;313.88;-999;1;730;10220;Epitheliochorial;Trabecular;85250;-999;
Carnivora;poecilogale_albinucha;African_striped_weasel;32.25;4;2.22;243.16;2278.21;Endotheliochorial;Labyrinthine;282.83;8.88;
Primates;pongo_abelii;Sumatran_orangutan;259.42;;1.14;1709.58;21900;Hemochorial;Villous;53408.29;;
Primates;pongo_pygmaeus;Bornean_orangutan;259.42;1644.2;1.14;1709.58;21900;Hemochorial;Villous;58941.64;1874.388;37797.55556
Artiodactyla;potamochoerus_porcus;red_river_hog;120;750;3;364.75;8227.71;Epitheliochorial;Villous;71000;2250;
Afrosoricida;potamogale_velox;giant_otter_shrew;74.57;-999;2.07;246.6;3004.09;Hemochorial;Labyrinthine;716.35;-2067.93;
Carnivora;potos_flavus;kinkajou;115.9;171.84;1;364.75;14016;Endotheliochorial;Labyrinthine;2420.91;171.84;
Carnivora;prionailurus_bengalensis;leopard_cat;66.05;83;2.5;164.17;6314.5;Endotheliochorial;Labyrinthine;4150;207.5;
Carnivora;prionailurus_viverrinus;fishing_cat;71.43;170;2;213.16;6278;Endotheliochorial;Labyrinthine;10650;340;
Hyracoidea;procavia_capensis;rock_hyrax;226.45;203.49;2.44;364.75;5405.04;Hemochorial;Labyrinthine;2750;496.5156;3600
Carnivora;procyon_lotor;raccoon;63.91;82.46;3.39;364.75;7665;Endotheliochorial;Labyrinthine;5075;279.5394;6320
Primates;propithecus_coquereli;Coquerel'ssifaka;145.53;102.45;1.01;364.75;11132.5;Epitheliochorial;Villous;3622.7;103.4745;3757
Primates;propithecus_diadema;diademed_sifaka;166.28;134.99;1.01;744.69;4036.29;Hemochorial;Villous;6414.5;136.3399;
Primates;propithecus_tattersalli;golden-crowned_sifaka;147.93;97.47;1.04;510.19;7467.29;Hemochorial;Villous;3545;101.3688;3167
Primates;propithecus_verreauxi;Verreaux's_sifaka;148;102.65;1.02;450.69;11132.5;Epitheliochorial;Villous;3588.26;104.703;3696
Artiodactyla;pseudois_nayaur;blue_sheep;159.74;-999;1.5;282.33;8760;Epitheliochorial;Villous;50917.6;-1498.5;
Chiroptera;pteronotus_davyi;Davy's_(lesser)_naked-backed_bat;60;1.15;1;352.19;2682.75;Hemochorial;Labyrinthine;9.4;1.15;
Chiroptera;pteronotus_parnellii;Parnell's_mustached_bat;107.97;-999;1;360.04;5135.41;Hemochorial;Labyrinthine;19.4;-999;
Carnivora;pteronura_brasiliensis;giant_otter;68.79;204.25;1.94;364.75;6314.5;Endotheliochorial;Labyrinthine;24000;396.245;
Chiroptera;pteropus_giganteus;Indian_flying_fox;155.8;90.32;1;364.75;14907.21;Hemochorial;Labyrinthine;824.85;90.32;900
Chiroptera;pteropus_hypomelanus;small_flying_fox;156.43;-999;1;354.15;7409.5;Hemochorial;Labyrinthine;442.81;-999;
Chiroptera;pteropus_poliocephalus;grey-headed_flying_fox;187.72;70;1;360.97;8614;Hemochorial;Labyrinthine;675;70;675
Chiroptera;pteropus_rodricensis;Rodrigues_flying_fox;198;45;1;372.33;10950;Hemochorial;Labyrinthine;303.09;45;
Artiodactyla;pudu_puda;pudus;205.75;780;1.03;233.16;7665;Epitheliochorial;Villous;9642.62;803.4;
Carnivora;puma_concolor;cougar;92.3;409.87;2.76;681.49;8687;Endotheliochorial;Labyrinthine;48000;1131.2412;30466.66667
Carnivora;pusa_hispida;ringed_seal;251;4500;1;364.75;16790;Endotheliochorial;Labyrinthine;88070;4500;
Primates;pygathrix_nemaeus;red-shanked_douc;182.88;191.94;1;397.58;9775.92;Hemochorial;Trabecular;9875;191.94;
Artiodactyla;rangifer_tarandus;reindeer;222.5;5490.62;1.1;364.75;7920.5;Epitheliochorial;Villous;101250;6039.682;86260
Artiodactyla;raphicerus_campestris;steenbok;198.75;916.51;1;216.85;5110;Epitheliochorial;Villous;11333.33;916.51;
Rodentia;rattus_norvegicus;brown_rat;21.61;5.8;8.86;54.74;1825;Hemochorial;Labyrinthine;280;51.388;310.51
Rodentia;ratufa_affinis;cream-coloured_giant_squirrel;55.79;;1.63;241.18;3522.25;Hemochorial;Labyrinthine;1155.82;;
