"species","taxonomic_order","litter_mass","longevity","body_mass_g","female_body_mass_g","invasiveness","interdigitation","relative_litter_mass","relative_litter_mass_female","litter_size","neonate_body_size"
"canis_lupus","Carnivora",2053.3038,10767.5,29190.76,31100,"Endotheliochorial","Labyrinthine",0.0703408818406921,0.0660226302250804,4.98,412.31
"capra_ibex","Artiodactyla",3279.3026,8139.5,77000,,"Epitheliochorial","Villous",0.0425883454545455,,1.18,2779.07
"capreolus_capreolus","Artiodactyla",2163.3045,6387.5,21666.69,20200,"Epitheliochorial","Villous",0.0998447155518448,0.107094282178218,1.79,1208.55
"capricornis_crispus","Artiodactyla",3499.99,8760,43030.64,38430,"Epitheliochorial","Villous",0.0813371588245027,0.0910744210252407,1,3499.99
"capromys_pilorides","Rodentia",398.98,5040.04,4683.3,,"Hemochorial","Labyrinthine",0.0851920654239532,,2,199.49
"caracal_caracal","Carnivora",587.58,7409.5,14000,,"Endotheliochorial","Labyrinthine",0.04197,,3,195.86
"carollia_perspicillata","Chiroptera",4.89,6205,16.4,16.48770687,"Hemochorial","Labyrinthine",0.298170731707317,0.296584603217173,1,4.89
"castor_canadensis","Rodentia",1486.3086,8541,19928.33,15010,"Hemochorial","Labyrinthine",0.0745826970950401,0.0990212258494337,3.58,415.17
"catagonus_wagneri","Artiodactyla",1470.49,5344.21,35433.2,,"Epitheliochorial","Villous",0.0415003443098563,,2.45,600.2
"cebus_albifrons","Primates",231.92,16060,2488.59,2130,"Hemochorial","Trabecular",0.0931933343781016,0.108882629107981,1,231.92
"cebus_capucinus","Primates",238.36,20075,2655,2783.5,"Hemochorial","Trabecular",0.0897777777777778,0.0856331956170289,1,238.36
"cephalophus_dorsalis","Artiodactyla",1611.37,6387.5,11600,11600,"Epitheliochorial","Villous",0.138911206896552,0.138911206896552,1,1611.37
"cephalophus_jentinki","Artiodactyla",4581.46,7771.46,69244.92,,"Epitheliochorial","Villous",0.0661631207025728,,1,4581.46
"cephalophus_niger","Artiodactyla",1940,5402,18100,,"Epitheliochorial","Villous",0.107182320441989,,1,1940
"cephalophus_rufilatus","Artiodactyla",975.1,5548,12500,,"Epitheliochorial","Villous",0.078008,,1,975.1
"cephalophus_silvicultor","Artiodactyla",4400.72,8212.5,62006.6,,"Epitheliochorial","Villous",0.0709717997761529,,1,4400.72
"cephalorhynchus_commersonii","Artiodactyla",5834.74,9417,68700,,"Epitheliochorial","Trabecular",0.0849307132459971,,1,5834.74
"ceratotherium_simum","Perissodactyla",48500,18250,2230000,,"Epitheliochorial","Villous",0.0217488789237668,,1,48500
"cercopithecus_cephus","Primates",337.19,13140,3399.94,,"Hemochorial","Trabecular",0.099175279563757,,1,337.19
"cercopithecus_diana","Primates",466.9,13614.5,4550,,"Hemochorial","Trabecular",0.102615384615385,,1,466.9
"cercopithecus_mitis","Primates",402,13797,6116.5,3929,"Hemochorial","Trabecular",0.0657238616856045,0.102316110969712,1,402
"cercopithecus_mona","Primates",280.49,11202.46,4240.09,,"Hemochorial","Trabecular",0.0661518977191522,,1,280.49
"cercopithecus_neglectus","Primates",259.95,11242,5701,,"Hemochorial","Trabecular",0.0455972636379582,,1,259.95
"cervus_elaphus","Artiodactyla",8586.0528,11497.5,160166.7,203625,"Epitheliochorial","Villous",0.0536069782295571,0.0421660051565377,1.04,8255.82
"cervus_nippon","Artiodactyla",4277.11,9599.5,52999.99,28640,"Epitheliochorial","Villous",0.0807002039056988,0.149340432960894,1,4277.11
"chaerephon_plicatus","Chiroptera",4.455,2467,21.83,17.2,"Hemochorial","Labyrinthine",0.204076958314246,0.259011627906977,0.99,4.5
