"species","taxonomic_order","litter_mass","longevity","body_mass_g","female_body_mass_g","invasiveness","interdigitation","relative_litter_mass","relative_litter_mass_female","litter_size","neonate_body_size"
"meriones_shawi","Rodentia",24.4905,1700.29,137.8,,"Hemochorial","Labyrinthine",0.17772496371553,,5.63,4.35
"meriones_unguiculatus","Rodentia",14.25,2299.5,58.1,65.02,"Hemochorial","Labyrinthine",0.24526678141136,0.219163334358659,5,2.85
"mesocricetus_auratus","Rodentia",20.4215,3650,105,76,"Hemochorial","Labyrinthine",0.194490476190476,0.268703947368421,8.69,2.35
"microcebus_murinus","Primates",11.5198,6643,66.9,109,"Epitheliochorial","Villous",0.172194319880419,0.10568623853211,2.41,4.78
"microtus_xanthognathus","Rodentia",28.5482,1000.25,92.65,,"Hemochorial","Labyrinthine",0.308129519697787,,8.18,3.49
"miopithecus_talapoin","Primates",179.04,11278.5,1362.5,,"Hemochorial","Trabecular",0.131405504587156,,1,179.04
"mirounga_angustirostris","Carnivora",34381.77,7406.46,914528.7,334720,"Endotheliochorial","Labyrinthine",0.0375950694603679,0.102718003107075,1,34381.77
"mirza_coquereli","Primates",22.0932,6351,311.2,302,"Epitheliochorial","Villous",0.0709935732647815,0.0731562913907285,1.71,12.92
"mormoops_megalophylla","Chiroptera",0.91,2728.03,16.05,,"Hemochorial","Labyrinthine",0.0566978193146417,,1,0.91
"mungos_mungo","Carnivora",64.856,6351,1331.5,,"Endotheliochorial","Labyrinthine",0.0487089748404056,,2.68,24.2
"muntiacus_muntjak","Artiodactyla",1604.5263,6862,17611.59,15000,"Epitheliochorial","Villous",0.091106271495078,0.10696842,1.17,1371.39
"muntiacus_reevesi","Artiodactyla",1050,8468,13499.94,8900,"Epitheliochorial","Villous",0.0777781234583265,0.117977528089888,1,1050
"mus_musculus","Rodentia",6.4342,2190,20.5,16.7,"Hemochorial","Labyrinthine",0.313863414634146,0.385281437125749,6.07,1.06
"mustela_putorius","Carnivora",72.96,5110,809,,"Endotheliochorial","Labyrinthine",0.0901854140914709,,7.68,9.5
"myocastor_coypus","Carnivora",1098.438,4380,7150,6360,"Hemochorial","Labyrinthine",0.153627692307692,0.172710377358491,5.34,205.7
"myodes_glareolus","Rodentia",7.869,1794.58,20.8,,"Hemochorial","Labyrinthine",0.378317307692308,,4.3,1.83
"myodes_rutilus","Rodentia",11.34,1085.32,25,,"Hemochorial","Labyrinthine",0.4536,,6.3,1.8
"myoprocta_pratti","Rodentia",148.291,5402,914,,"Hemochorial","Villous",0.16224398249453,,1.87,79.3
"myotis_lucifugus","Chiroptera",2.18,12410,7.15,6.49,"Hemochorial","Labyrinthine",0.304895104895105,0.335901386748844,1,2.18
"myrmecophaga_tridactyla","Pilosa",1500,11506.63,29531.83,32770,"Hemochorial","Trabecular",0.0507926532151919,0.045773573390296,1,1500
"naemorhedus_goral","Artiodactyla",2000,6916.75,28231.59,,"Epitheliochorial","Villous",0.070842627000463,,1,2000
"nandinia_binotata","Carnivora",112,7741.04,2167.2,,"Endotheliochorial","Labyrinthine",0.0516795865633075,,2,56
"nanger_granti","Artiodactyla",5215.17,7190.5,61232.23,,"Epitheliochorial","Villous",0.0851703424814024,,1,5215.17
"nasalis_larvatus","Primates",454.5,9161.5,13441.58,,"Hemochorial","Trabecular",0.0338129892467999,,1.01,450
"nasua_narica","Carnivora",583.8,9636,3750,3700,"Endotheliochorial","Labyrinthine",0.15568,0.157783783783784,4.17,140
"nasua_nasua","Carnivora",552.1071,8650.5,4000,4244.322222,"Endotheliochorial","Labyrinthine",0.138026775,0.130081334809645,3.81,144.91
"neofelis_nebulosa","Carnivora",374.6025,7227,19500,,"Endotheliochorial","Labyrinthine",0.0192103846153846,,2.25,166.49
"neotoma_albigula","Rodentia",23.9894,3467.5,190.5,,"Hemochorial","Labyrinthine",0.125928608923885,,2.14,11.21
"neotoma_floridana","Rodentia",36.9252,3467.5,208.18,,"Hemochorial","Labyrinthine",0.177371505427995,,2.63,14.04
"neotoma_fuscipes","Rodentia",35.768,304.17,213.26,,"Hemochorial","Labyrinthine",0.16772015380287,,2.72,13.15
"neotoma_lepida","Rodentia",27.3312,3832.5,113.4,,"Hemochorial","Labyrinthine",0.241015873015873,,2.92,9.36
"nycticebus_coucang","Primates",52.4888,9672.5,953.3,1195,"Epitheliochorial","Villous",0.0550601069967481,0.0439236820083682,1.04,50.47
"nycticebus_pygmaeus","Primates",22.2768,9672.5,400,376,"Epitheliochorial","Villous",0.055692,0.0592468085106383,1.12,19.89
"ochotona_princeps","Lagomorpha",33,2670.58,140.2,168.8,"Hemochorial","Labyrinthine",0.235378031383738,0.195497630331754,3,11
"octodon_degus","Rodentia",75.3489,5110,204.84,,"Hemochorial","Labyrinthine",0.367842706502636,,5.31,14.19
"odobenus_rosmarus","Carnivora",69727.262,14600,846498.1,,"Endotheliochorial","Labyrinthine",0.0823714335566731,,1.18,59090.9
"odocoileus_hemionus","Artiodactyla",4872.1338,8030,57000,,"Epitheliochorial","Villous",0.0854760315789474,,1.62,3007.49
"odocoileus_virginianus","Artiodactyla",5044.4829,8395,65320,52060,"Epitheliochorial","Villous",0.0772272336191059,0.0968974817518248,1.71,2949.99
"okapia_johnstoni","Artiodactyla",18325.61,12227.5,230001.1,,"Epitheliochorial","Villous",0.0796761841573801,,1,18325.61
"ondatra_zibethicus","Rodentia",141.1758,3650,997.96,,"Hemochorial","Labyrinthine",0.141464387350194,,6.42,21.99
"orcinus_orca","Cetacea",158745.07,36500,4300000,5443200,"Epitheliochorial","Villous",0.0369174581395349,0.0291639237948266,1,158745.07
"oreamnos_americanus","Artiodactyla",4066.6692,7592,77227.7,,"Epitheliochorial","Villous",0.052658167988947,,1.32,3080.81
"oreotragus_oreotragus","Artiodactyla",1130,9453.5,13000,,"Epitheliochorial","Villous",0.0869230769230769,,1,1130
"orycteropus_afer","Tubulidentata",1956.6704,10877,56175.2,,"Endotheliochorial","Labyrinthine",0.0348315698030448,,1.03,1899.68
"oryctolagus_cuniculus","Lagomorpha",204.9364,6570,1900,1827,"Hemochorial","Labyrinthine",0.107861263157895,0.112170990695129,5.24,39.11
"oryx_dammah","Artiodactyla",9706.02,10037.5,177500,,"Epitheliochorial","Villous",0.0546818028169014,,1,9706.02
"oryx_gazella","Artiodactyla",12055.49,8723.5,37500,,"Epitheliochorial","Villous",0.321479733333333,,1,12055.49
"otocyon_megalotis","Carnivora",482.8,6527.42,4150,4073.75,"Endotheliochorial","Labyrinthine",0.11633734939759,0.118514881865603,4,120.7
"otolemur_garnettii","Primates",62.0046,6874.17,1300,734,"Epitheliochorial","Villous",0.0476958461538462,0.084474931880109,1.26,49.21
"ovibos_moschatus","Artiodactyla",10548.5511,10001,312500,,"Epitheliochorial","Villous",0.03375536352,,1.01,10444.11
"ovis_canadensis","Artiodactyla",4239.3255,8760,69125,51100,"Epitheliochorial","Villous",0.0613283978300181,0.0829613600782779,1.03,4115.85
"ovis_dalli","Artiodactyla",3709.9894,8760,70194.13,49066.66667,"Epitheliochorial","Villous",0.052853271349043,0.0756111970057329,1.06,3499.99
"pan_paniscus","Primates",1399.53,20075,35119.95,31940,"Hemochorial","Villous",0.0398499997864462,0.0438174702567314,1,1399.53
"pan_troglodytes","Primates",1884.6216,27010,44983.5,33400,"Hemochorial","Villous",0.0418958418086632,0.0564257964071856,1.08,1745.02
"panthera_leo","Carnivora",3655.5393,10950,149062,143000,"Endotheliochorial","Labyrinthine",0.0245236163475601,0.0255632118881119,2.83,1291.71
"panthera_onca","Carnivora",1634.6,10353.83,81150,58000,"Endotheliochorial","Labyrinthine",0.0201429451632779,0.0281827586206897,2,817.3
"panthera_tigris","Carnivora",3375.695,9599.5,128800,131000,"Endotheliochorial","Labyrinthine",0.0262088121118012,0.0257686641221374,2.57,1313.5
"papio_anubis","Primates",956.7831,16425,17728.56,11700,"Hemochorial","Trabecular",0.0539684610594431,0.0817763333333333,1.01,947.31
"papio_hamadryas","Primates",890,16425,18000,9900,"Hemochorial","Villous",0.0494444444444444,0.0898989898989899,1,890
"papio_papio","Primates",606.3838,16425,18000,,"Hemochorial","Trabecular",0.0336879888888889,,1.01,600.38
"paradoxurus_hermaphroditus","Carnivora",302.9103,9125,3180,,"Endotheliochorial","Labyrinthine",0.0952548113207547,,3.29,92.07
"paraxerus_cepapi","Rodentia",25.6275,3491.83,222.85,,"Hemochorial","Labyrinthine",0.114998878169172,,2.01,12.75
"pecari_tajacu","Artiodactyla",1125.7246,11497.5,20500,17956.25,"Epitheliochorial","Villous",0.0549133951219512,0.0626926334841629,1.82,618.53
"pedetes_capensis","Rodentia",253.49,7315.21,2774.63,,"Hemochorial","Labyrinthine",0.091359929071624,,1,253.49
"perodicticus_potto","Primates",38.2748,9782,1011,989,"Epitheliochorial","Villous",0.0378583580613254,0.0387005055611729,1.03,37.16
"perognathus_parvus","Rodentia",7.2,2117,20.1,,"Hemochorial","Labyrinthine",0.358208955223881,,4.8,1.5
"peromyscus_eremicus","Rodentia",6.526,2701,21.75,,"Hemochorial","Labyrinthine",0.300045977011494,,2.6,2.51
"peromyscus_leucopus","Rodentia",7.83,2920,22.3,17.675,"Hemochorial","Labyrinthine",0.351121076233184,0.442998585572843,4.35,1.8
"peromyscus_maniculatus","Rodentia",7.9926,3041.67,20.5,19.57,"Hemochorial","Labyrinthine",0.389882926829268,0.408410832907512,4.62,1.73
"peromyscus_polionotus","Rodentia",5.544,2007.5,14,,"Hemochorial","Labyrinthine",0.396,,3.6,1.54
"petrodromus_tetradactylus","Macroscelidea",36.2115,2609.75,208,,"Hemochorial","Labyrinthine",0.17409375,,1.17,30.95
"phacochoerus_aethiopicus","Artiodactyla",2331.8715,6862,73303.76,,"Epitheliochorial","Villous",0.0318110762667563,,3.37,691.95
"philantomba_monticola","Artiodactyla",709.41,5803.5,4896.05,,"Epitheliochorial","Villous",0.144894353611585,,1,709.41
"phoca_largha","Carnivora",7100,17374,93097.92,,"Endotheliochorial","Labyrinthine",0.0762637876334939,,1,7100
"phoca_vitulina","Carnivora",10213.75,17374,94283.33,,"Endotheliochorial","Labyrinthine",0.108330390960947,,1,10213.75
"phocoena_phocoena","Cetacea",8892.16,7446,52730.93,62000,"Epitheliochorial","Trabecular",0.168632717078952,0.143421935483871,1,8892.16
"phodopus_campbelli","Rodentia",8.1652,1426.54,28.75,,"Hemochorial","Labyrinthine",0.284006956521739,,5.48,1.49
"phodopus_sungorus","Rodentia",10.6896,1426.54,30.87,,"Hemochorial","Labyrinthine",0.346277939747328,,5.24,2.04
"phyllostomus_discolor","Chiroptera",7.29,3285,40.05,37.04081633,"Endotheliochorial","Labyrinthine",0.182022471910112,0.196809917336938,1,7.29
"poecilogale_albinucha","Carnivora",8.88,2278.21,282.83,,"Endotheliochorial","Labyrinthine",0.03139695223279,,2.22,4
"pongo_pygmaeus","Primates",1874.388,21900,58941.64,37797.55556,"Hemochorial","Villous",0.0318007439222933,0.0495901910118126,1.14,1644.2
"potamochoerus_porcus","Artiodactyla",2250,8227.71,71000,,"Epitheliochorial","Villous",0.0316901408450704,,3,750
"potos_flavus","Carnivora",171.84,14016,2420.91,,"Endotheliochorial","Labyrinthine",0.0709815730448468,,1,171.84
"prionailurus_bengalensis","Carnivora",207.5,6314.5,4150,,"Endotheliochorial","Labyrinthine",0.05,,2.5,83
"prionailurus_viverrinus","Carnivora",340,6278,10650,,"Endotheliochorial","Labyrinthine",0.031924882629108,,2,170
"procavia_capensis","Hyracoidea",496.5156,5405.04,2750,3600,"Hemochorial","Labyrinthine",0.180551127272727,0.137921,2.44,203.49
"procyon_lotor","Carnivora",279.5394,7665,5075,6320,"Endotheliochorial","Labyrinthine",0.0550816551724138,0.044230917721519,3.39,82.46
"propithecus_coquereli","Primates",103.4745,11132.5,3622.7,3757,"Epitheliochorial","Villous",0.0285628122670936,0.0275417886611658,1.01,102.45
"propithecus_diadema","Primates",136.3399,4036.29,6414.5,,"Hemochorial","Villous",0.0212549536207031,,1.01,134.99
"propithecus_tattersalli","Primates",101.3688,7467.29,3545,3167,"Hemochorial","Villous",0.0285948660084626,0.0320078307546574,1.04,97.47
"propithecus_verreauxi","Primates",104.703,11132.5,3588.26,3696,"Epitheliochorial","Villous",0.0291793236833451,0.0283287337662338,1.02,102.65
"pteronotus_davyi","Chiroptera",1.15,2682.75,9.4,,"Hemochorial","Labyrinthine",0.122340425531915,,1,1.15
"pteronura_brasiliensis","Carnivora",396.245,6314.5,24000,,"Endotheliochorial","Labyrinthine",0.0165102083333333,,1.94,204.25
"pteropus_giganteus","Chiroptera",90.32,14907.21,824.85,900,"Hemochorial","Labyrinthine",0.109498696732739,0.100355555555556,1,90.32
"pteropus_poliocephalus","Chiroptera",70,8614,675,675,"Hemochorial","Labyrinthine",0.103703703703704,0.103703703703704,1,70
"pteropus_rodricensis","Chiroptera",45,10950,303.09,,"Hemochorial","Labyrinthine",0.148470751262001,,1,45
"pudu_puda","Artiodactyla",803.4,7665,9642.62,,"Epitheliochorial","Villous",0.0833176045514601,,1.03,780
"puma_concolor","Carnivora",1131.2412,8687,48000,30466.66667,"Endotheliochorial","Labyrinthine",0.023567525,0.0371304551381695,2.76,409.87
"pusa_hispida","Carnivora",4500,16790,88070,,"Endotheliochorial","Labyrinthine",0.0510957193141819,,1,4500
"pygathrix_nemaeus","Primates",191.94,9775.92,9875,,"Hemochorial","Trabecular",0.0194369620253165,,1,191.94
"rangifer_tarandus","Artiodactyla",6039.682,7920.5,101250,86260,"Epitheliochorial","Villous",0.0596511802469136,0.0700171806167401,1.1,5490.62
"raphicerus_campestris","Artiodactyla",916.51,5110,11333.33,,"Epitheliochorial","Villous",0.0808685531966333,,1,916.51
"rattus_norvegicus","Rodentia",51.388,1825,280,310.51,"Hemochorial","Labyrinthine",0.183528571428571,0.165495475185984,8.86,5.8
"rhinoceros_unicornis","Perissodactyla",61326.59,17885,1600000,,"Epitheliochorial","Villous",0.03832911875,,1,61326.59
"rhinolophus_rouxii","Chiroptera",2.8314,1825,12.25,,"Endotheliochorial","Labyrinthine",0.231134693877551,,0.99,2.86
"rhinopoma_hardwickii","Chiroptera",2.5,4935.28,12,,"Endotheliochorial","Labyrinthine",0.208333333333333,,1,2.5
"rousettus_aegyptiacus","Chiroptera",19.8952,8358.5,134,,"Hemochorial","Labyrinthine",0.148471641791045,,1.04,19.13
"rousettus_leschenaultii","Chiroptera",12.12,5110,96.57,,"Hemochorial","Labyrinthine",0.125504815159988,,1.01,12
"rucervus_eldii","Artiodactyla",4721.7298,7482.5,95471.61,,"Epitheliochorial","Villous",0.0494568992813675,,1.01,4674.98
"saccopteryx_bilineata","Chiroptera",3.49,2190,7.9,8,"Endotheliochorial","Labyrinthine",0.441772151898734,0.43625,1,3.49
"saguinus_geoffroyi","Primates",93.288,9563,453.77,502,"Hemochorial","Trabecular",0.205584326861626,0.185832669322709,1.95,47.84
"saguinus_imperator","Primates",93.1,8650.5,482.15,,"Hemochorial","Trabecular",0.193093435652805,,2,46.55
"saguinus_midas","Primates",79.56,7665,547.18,,"Hemochorial","Trabecular",0.145400051171461,,2,39.78
"saguinus_oedipus","Primates",77.9,9563,445.5,473,"Hemochorial","Trabecular",0.174859708193042,0.164693446088795,1.9,41
"saiga_tatarica","Artiodactyla",5255.8068,4380,37992,,"Epitheliochorial","Villous",0.138339829437776,,1.58,3326.46
"scalopus_aquaticus","Eulipotyphla",20.0625,2263,74.6,87.2,"Hemochorial","Labyrinthine",0.268934316353887,0.230074541284404,3.75,5.35
"sciurus_carolinensis","Rodentia",45.51,8760,540.33,413,"Hemochorial","Labyrinthine",0.0842263061462439,0.110193704600484,3,15.17
"sciurus_vulgaris","Rodentia",39.1169,5402,328.88,325,"Hemochorial","Labyrinthine",0.118939734857699,0.120359692307692,4.43,8.83
"semnopithecus_entellus","Primates",509.8266,10685.38,12679.29,,"Hemochorial","Trabecular",0.0402093965829317,,1.02,499.83
"setifer_setosus","Afrosoricida",75.088,5146.5,304.11,218.8,"Hemochorial","Labyrinthine",0.246910657327941,0.343180987202925,3.04,24.7
"solenodon_paradoxus","Eulipotyphla",167.3814,4416.5,900,,"Hemochorial","Labyrinthine",0.185979333333333,,1.86,89.99
"sorex_araneus","Eulipotyphla",2.7552,1168,8.2,7.45,"Hemochorial","Labyrinthine",0.336,0.369825503355705,6.56,0.42
"sorex_minutus","Eulipotyphla",1.3002,730,4.2,3.01,"Hemochorial","Labyrinthine",0.309571428571429,0.431960132890366,5.91,0.22
"speothos_venaticus","Carnivora",650.475,5146.5,6000,,"Endotheliochorial","Labyrinthine",0.1084125,,4.13,157.5
"stenella_coeruleoalba","Cetacea",16950,20987.5,122950,60500,"Epitheliochorial","Villous",0.137860919072794,0.280165289256198,1.5,11300
"suncus_murinus","Eulipotyphla",7.442,1183.21,45.87,59.73,"Hemochorial","Labyrinthine",0.162241116197951,0.124594006361962,3.05,2.44
"suricata_suricatta","Carnivora",117.73,7519,776,,"Endotheliochorial","Labyrinthine",0.151713917525773,,3.86,30.5
"sus_scrofa","Artiodactyla",4499.2789,9855,135000,50600,"Epitheliochorial","Villous",0.0333279918518519,0.0889185553359684,5.57,807.77
"sylvilagus_aquaticus","Lagomorpha",170.999,3250.1,2127.01,,"Hemochorial","Labyrinthine",0.0803940743108871,,3.07,55.7
"sylvilagus_audubonii","Lagomorpha",103.08,2853.08,791.29,,"Hemochorial","Labyrinthine",0.1302682960735,,3,34.36
"sylvilagus_floridanus","Lagomorpha",170.75,3577,1178.6,1248.6,"Hemochorial","Labyrinthine",0.144875275750891,0.136753163543168,5,34.15
"symphalangus_syndactylus","Primates",527.34,15695,10869.5,,"Hemochorial","Villous",0.0485155710934266,,1.02,517
"syncerus_caffer","Artiodactyla",43030.5588,10877,646333,,"Epitheliochorial","Villous",0.0665764533143132,,1.08,39843.11
"tadarida_brasiliensis","Chiroptera",3.3814,5475,12.5,,"Endotheliochorial","Labyrinthine",0.270512,,1.06,3.19
"talpa_europaea","Eulipotyphla",12.9276,2555,110.42,75.64,"Endotheliochorial","Labyrinthine",0.117076616554972,0.170909571655209,3.99,3.24
"tamiasciurus_hudsonicus","Rodentia",28.938,4380,210.8,219.4,"Hemochorial","Labyrinthine",0.137277039848197,0.131896080218778,4.2,6.89
"taphozous_melanopogon","Chiroptera",5.8,7300,25.99,,"Endotheliochorial","Labyrinthine",0.223162754905733,,1,5.8
"tapirus_indicus","Perissodactyla",6848.35,13322.5,296250,225000,"Epitheliochorial","Villous",0.0231167932489451,0.0304371111111111,1,6848.35
"tapirus_pinchaque","Perissodactyla",4720,10402.5,148950,,"Epitheliochorial","Villous",0.0316884860691507,,1,4720
"tapirus_terrestris","Perissodactyla",4507.91,14454,225000,219500,"Epitheliochorial","Trabecular",0.0200351555555556,0.0205371753986333,1,4507.91
"taxidea_taxus","Carnivora",280.47,9490,8000,6385,"Endotheliochorial","Labyrinthine",0.03505875,0.0439263899765074,3,93.49
"tenrec_ecaudatus","Afrosoricida",409.4136,3175.5,885.8,658.3,"Hemochorial","Labyrinthine",0.462196432603296,0.621925565851436,16.89,24.24
"theropithecus_gelada","Primates",464.92,13140,15964.11,,"Hemochorial","Trabecular",0.0291228261393839,,1,464.92
"thomomys_bottae","Rodentia",13.856,2226.5,103.5,85,"Hemochorial","Labyrinthine",0.133874396135266,0.163011764705882,4.33,3.2
"thyroptera_tricolor","Chiroptera",1.0682,5421.74,4.52,,"Hemochorial","Labyrinthine",0.236327433628319,,0.98,1.09
"trachypithecus_francoisi","Primates",572.7456,9599.5,7604.75,,"Hemochorial","Trabecular",0.0753141917880272,,1.26,454.56
"trachypithecus_obscurus","Primates",339.18,12373.5,7163.94,,"Hemochorial","Trabecular",0.0473454551545658,,1,339.18
"trachypithecus_vetulus","Primates",359.99,9526.5,7081.8,,"Hemochorial","Villous",0.0508331215227767,,1,359.99
"tragelaphus_angasii","Artiodactyla",5541.58,6752.5,100666.7,,"Epitheliochorial","Villous",0.0550487897189438,,1,5541.58
"tragelaphus_eurycerus","Artiodactyla",19944.92,7993.5,270998.4,,"Epitheliochorial","Villous",0.073597925301404,,1,19944.92
"tragelaphus_imberbis","Artiodactyla",5891.21,7227,82500,,"Epitheliochorial","Villous",0.0714086060606061,,1,5891.21
"tragelaphus_scriptus","Artiodactyla",3027.79,5584.5,43250.39,,"Epitheliochorial","Villous",0.0700060739336686,,1,3027.79
"tragelaphus_spekii","Artiodactyla",4000,8249,87500,,"Epitheliochorial","Villous",0.0457142857142857,,1,4000
"tragelaphus_strepsiceros","Artiodactyla",15366.57,8577.5,206056.4,166300,"Epitheliochorial","Villous",0.0745745824929485,0.0924027059530968,1,15366.57
"tragulus_napu","Artiodactyla",372.99,6095.5,3850,,"Epitheliochorial","Villous",0.0968805194805195,,1,372.99
"tremarctos_ornatus","Carnivora",480,14329.29,109250,,"Endotheliochorial","Labyrinthine",0.00439359267734554,,1.5,320
"trichechus_manatus","Sirenia",29636.99,20440,387500,,"Endotheliochorial","Labyrinthine",0.0764825548387097,,1,29636.99
"tupaia_glis","Scandentia",27.972,4532.08,159,176.5,"Endotheliochorial","Labyrinthine",0.175924528301887,0.158481586402266,2.22,12.6
"tupaia_montana","Scandentia",19.36,577.92,225.53,,"Endotheliochorial","Labyrinthine",0.0858422382831552,,1.76,11
"tursiops_truncatus","Cetacea",24369.6,19345,230000,145833,"Epitheliochorial","Villous",0.105954782608696,0.167106210528481,1,24369.6
"urocyon_cinereoargenteus","Carnivora",404.352,5913,4220,,"Endotheliochorial","Labyrinthine",0.095818009478673,,3.9,103.68
"ursus_americanus","Carnivora",726.1553,12410,132405,97000,"Endotheliochorial","Labyrinthine",0.00548434953362789,0.00748613711340206,2.47,293.99
"ursus_arctos","Carnivora",1134.9773,18250,240500,111857.14,"Endotheliochorial","Labyrinthine",0.00471924033264033,0.010146668330694,2.27,499.99
"ursus_maritimus","Carnivora",1112.9968,16425,371703.8,272500,"Endotheliochorial","Labyrinthine",0.00299431106165716,0.0040843919266055,1.66,670.48
"ursus_thibetanus","Carnivora",597.025,14308,99714.19,,"Endotheliochorial","Labyrinthine",0.00598736248070611,,1.67,357.5
"vicugna_vicugna","Artiodactyla",6082.92,22435.33,50000,37500,"Epitheliochorial","Trabecular",0.1216584,0.1622112,1,6082.92
"vulpes_lagopus","Carnivora",561.6604,5949.5,3600,,"Endotheliochorial","Labyrinthine",0.156016777777778,,8.12,69.17
"vulpes_velox","Carnivora",177.3336,7300,2088,,"Endotheliochorial","Labyrinthine",0.0849298850574713,,4.44,39.94
"vulpes_vulpes","Carnivora",475.3177,7774.5,4580.3,3900,"Endotheliochorial","Labyrinthine",0.103774359758094,0.121876333333333,4.73,100.49
"vulpes_zerda","Carnivora",66.1744,5949.5,1207.5,,"Endotheliochorial","Labyrinthine",0.0548028157349896,,2.36,28.04
"xerus_inauris","Rodentia",42.4,4745,557.3,550,"Hemochorial","Labyrinthine",0.0760811053292661,0.0770909090909091,2.12,20
"zalophus_californianus","Carnivora",6982.679,13030.5,158597.4,95666.66667,"Endotheliochorial","Labyrinthine",0.0440277015890551,0.072989675955645,1.1,6347.89
