species,taxonomic_order,interbirth_interval,longevity,body_mass_g,female_body_mass_g,invasiveness,interdigitation
nasua_nasua,Carnivora,364.75,8650.5,4000,4244.322222,Endotheliochorial,Labyrinthine
procyon_lotor,Carnivora,364.75,7665,5075,6320,Endotheliochorial,Labyrinthine
bassariscus_sumichrasti,Carnivora,251.2,8760,906,NA,Endotheliochorial,Labyrinthine
bassariscus_astutus,Carnivora,364.75,6935,1010.37,NA,Endotheliochorial,Labyrinthine
potos_flavus,Carnivora,364.75,14016,2420.91,NA,Endotheliochorial,Labyrinthine
ailurus_fulgens,Carnivora,364.75,6935,4747.54,NA,Endotheliochorial,Labyrinthine
phoca_vitulina,Carnivora,364.75,17374,94283.33,NA,Endotheliochorial,Labyrinthine
phoca_largha,Carnivora,364.75,17374,93097.92,NA,Endotheliochorial,Labyrinthine
pusa_hispida,Carnivora,364.75,16790,88070,NA,Endotheliochorial,Labyrinthine
halichoerus_grypus,Carnivora,364.75,17035.46,197570,NA,Endotheliochorial,Labyrinthine
cystophora_cristata,Carnivora,364.75,12775,245448.4,NA,Endotheliochorial,Labyrinthine
hydrurga_leptonyx,Carnivora,364.75,9490,375671.1,NA,Endotheliochorial,Labyrinthine
leptonychotes_weddellii,Carnivora,364.75,9125,410833.3,NA,Endotheliochorial,Labyrinthine
lobodon_carcinophaga,Carnivora,638.31,14235,238333.3,NA,Endotheliochorial,Labyrinthine
mirounga_angustirostris,Carnivora,364.75,7406.46,914528.7,334720,Endotheliochorial,Labyrinthine
arctocephalus_townsendi,Carnivora,364.75,11169,101063.7,NA,Endotheliochorial,Labyrinthine
arctocephalus_pusillus,Carnivora,364.75,11716.5,127551,NA,Endotheliochorial,Labyrinthine
zalophus_californianus,Carnivora,729.5,13030.5,158597.4,95666.66667,Endotheliochorial,Labyrinthine
eumetopias_jubatus,Carnivora,364.75,11972,382466.7,NA,Endotheliochorial,Labyrinthine
callorhinus_ursinus,Carnivora,364.75,12775,55464.82,42187.5,Endotheliochorial,Labyrinthine
odobenus_rosmarus,Carnivora,820.69,14600,846498.1,NA,Endotheliochorial,Labyrinthine
ursus_thibetanus,Carnivora,364.75,14308,99714.19,NA,Endotheliochorial,Labyrinthine
ursus_americanus,Carnivora,775.09,12410,132405,97000,Endotheliochorial,Labyrinthine
helarctos_malayanus,Carnivora,588.72,13103.5,46000,NA,Endotheliochorial,Labyrinthine
ursus_maritimus,Carnivora,790.29,16425,371703.8,272500,Endotheliochorial,Labyrinthine
ursus_arctos,Carnivora,881.65,18250,240500,111857.14,Endotheliochorial,Labyrinthine
melursus_ursinus,Carnivora,1094.25,14600,99999.99,NA,Hemochorial,Labyrinthine
tremarctos_ornatus,Carnivora,365,14329.29,109250,NA,Endotheliochorial,Labyrinthine
ailuropoda_melanoleuca,Carnivora,592.97,13432,117500,NA,Endotheliochorial,Labyrinthine
canis_lupus,Carnivora,364.75,10767.5,29190.76,31100,Endotheliochorial,Labyrinthine
canis_latrans,Carnivora,364.75,7969.17,11050,NA,Endotheliochorial,Labyrinthine
canis_rufus,Carnivora,288.23,5847.27,23500,NA,Endotheliochorial,Labyrinthine
lycaon_pictus,Carnivora,358.69,6205,24249.99,NA,Endotheliochorial,Labyrinthine
chrysocyon_brachyurus,Carnivora,286.19,6132,22250,24630,Endotheliochorial,Labyrinthine
speothos_venaticus,Carnivora,248.3,5146.5,6000,NA,Endotheliochorial,Labyrinthine
vulpes_zerda,Carnivora,364.75,5949.5,1207.5,NA,Endotheliochorial,Labyrinthine
vulpes_vulpes,Carnivora,364.75,7774.5,4580.3,3900,Endotheliochorial,Labyrinthine
vulpes_velox,Carnivora,364.75,7300,2088,NA,Endotheliochorial,Labyrinthine
vulpes_lagopus,Carnivora,364.75,5949.5,3600,NA,Endotheliochorial,Labyrinthine
vulpes_macrotis,Carnivora,364.75,7300,2088,NA,Endotheliochorial,Labyrinthine
otocyon_megalotis,Carnivora,182.13,6527.42,4150,4073.75,Endotheliochorial,Labyrinthine
urocyon_cinereoargenteus,Carnivora,364.75,5913,4220,NA,Endotheliochorial,Labyrinthine
crossarchus_obscurus,Carnivora,121.58,4854.5,790,NA,Endotheliochorial,Labyrinthine
helogale_hirtula,Carnivora,191.18,3522.25,484.63,NA,Endotheliochorial,Labyrinthine
mungos_mungo,Carnivora,364.75,6351,1331.5,NA,Endotheliochorial,Labyrinthine
suricata_suricatta,Carnivora,364.75,7519,776,NA,Endotheliochorial,Labyrinthine
cryptoprocta_ferox,Carnivora,399.3,8431.5,9500,6100,Endotheliochorial,Labyrinthine
hyaena_hyaena,Carnivora,236.96,9125,35070.51,NA,Endotheliochorial,Labyrinthine
crocuta_crocuta,Carnivora,444.72,15001.5,63000,NA,Hemochorial,Labyrinthine
genetta_tigrina,Carnivora,303.95,7774.5,1760,NA,Endotheliochorial,Labyrinthine
viverricula_indica,Carnivora,227.64,4675.04,2959.44,NA,Endotheliochorial,Labyrinthine
paradoxurus_hermaphroditus,Carnivora,182.38,9125,3180,NA,Endotheliochorial,Labyrinthine
arctictis_binturong,Carnivora,332.57,9928,12999.99,NA,Endotheliochorial,Labyrinthine
hemigalus_derbyanus,Carnivora,241.93,6570,2375,NA,Endotheliochorial,Labyrinthine
felis_silvestris,Carnivora,131.04,10220,5036.54,3150,Endotheliochorial,Labyrinthine
felis_margarita,Carnivora,197.57,5073.5,2750,NA,Endotheliochorial,Labyrinthine
felis_chaus,Carnivora,120.92,7300,10000,NA,Endotheliochorial,Labyrinthine
felis_nigripes,Carnivora,227.96,5694,2125,NA,Endotheliochorial,Labyrinthine
prionailurus_bengalensis,Carnivora,164.17,6314.5,4150,NA,Endotheliochorial,Labyrinthine
prionailurus_viverrinus,Carnivora,213.16,6278,10650,NA,Endotheliochorial,Labyrinthine
otocolobus_manul,Carnivora,199.02,5803.5,3500,NA,Endotheliochorial,Labyrinthine
lynx_canadensis,Carnivora,364.75,9782,9682.82,NA,Endotheliochorial,Labyrinthine
lynx_lynx,Carnivora,364.75,9782,21150,NA,Endotheliochorial,Labyrinthine
lynx_rufus,Carnivora,364.75,11801.67,9400,NA,Endotheliochorial,Labyrinthine
puma_concolor,Carnivora,681.49,8687,48000,30466.66667,Endotheliochorial,Labyrinthine
acinonyx_jubatus,Carnivora,541.88,7482.5,50577.92,NA,Endotheliochorial,Labyrinthine
caracal_caracal,Carnivora,364.75,7409.5,14000,NA,Endotheliochorial,Labyrinthine
leptailurus_serval,Carnivora,179.13,8395,11999.96,NA,Endotheliochorial,Labyrinthine
leopardus_pardalis,Carnivora,406.17,10293,10500,10466.92308,Endotheliochorial,Labyrinthine
leopardus_wiedii,Carnivora,239.38,8775.21,3600,2158.8,Endotheliochorial,Labyrinthine
leopardus_geoffroyi,Carnivora,239.84,8471.04,4000,NA,Endotheliochorial,Labyrinthine
panthera_leo,Carnivora,689.03,10950,149062,143000,Endotheliochorial,Labyrinthine
panthera_uncia,Carnivora,364.75,7738,47812.5,NA,Endotheliochorial,Labyrinthine
panthera_onca,Carnivora,364.75,10353.83,81150,58000,Endotheliochorial,Labyrinthine
panthera_tigris,Carnivora,785.09,9599.5,128800,131000,Endotheliochorial,Labyrinthine
neofelis_nebulosa,Carnivora,254.61,7227,19500,NA,Endotheliochorial,Labyrinthine
nandinia_binotata,Carnivora,182.13,7741.04,2167.2,NA,Endotheliochorial,Labyrinthine
equus_grevyi,Perissodactyla,574.61,11384.96,384000,NA,Epitheliochorial,Villous
equus_zebra,Perissodactyla,661.52,12118,296000,248100,Epitheliochorial,Villous
equus_hemionus,Perissodactyla,502.41,14162,230000,NA,Epitheliochorial,Villous
equus_kiang,Perissodactyla,547.13,14162,262500,NA,Epitheliochorial,Trabecular
diceros_bicornis,Perissodactyla,1053.46,17973.21,995940.5,NA,Epitheliochorial,Villous
ceratotherium_simum,Perissodactyla,987.45,18250,2230000,NA,Epitheliochorial,Villous
rhinoceros_unicornis,Perissodactyla,879.12,17885,1600000,NA,Epitheliochorial,Villous
dicerorhinus_sumatrensis,Perissodactyla,1276.63,12775,1260000,NA,Epitheliochorial,Villous
tapirus_terrestris,Perissodactyla,64.96,14454,225000,219500,Epitheliochorial,Trabecular
tapirus_pinchaque,Perissodactyla,550.57,10402.5,148950,NA,Epitheliochorial,Villous
tapirus_bairdii,Perissodactyla,526.93,10804,300000,NA,Epitheliochorial,Villous
tapirus_indicus,Perissodactyla,693.03,13322.5,296250,225000,Epitheliochorial,Villous
capra_falconeri,Artiodactyla,423.52,6971.5,41000,NA,Epitheliochorial,Villous
capra_cylindricornis,Artiodactyla,517.9,7373,50000,NA,Epitheliochorial,Villous
capra_ibex,Artiodactyla,517.9,8139.5,77000,NA,Epitheliochorial,Villous
capra_nubiana,Artiodactyla,517.9,8139.5,70523.41,NA,Epitheliochorial,Villous
hemitragus_jemlahicus,Artiodactyla,364.75,7957,35200,45000,Epitheliochorial,Villous
pseudois_nayaur,Artiodactyla,282.33,8760,50917.6,NA,Epitheliochorial,Villous
budorcas_taxicolor,Artiodactyla,364.75,7993.5,294515.3,NA,Epitheliochorial,Villous
oreamnos_americanus,Artiodactyla,364.75,7592,77227.7,NA,Epitheliochorial,Villous
ammotragus_lervia,Artiodactyla,220.8,7920.5,92500,NA,Epitheliochorial,Villous
ovis_vignei,Artiodactyla,364.75,8322,110000,NA,Epitheliochorial,Villous
ovis_canadensis,Artiodactyla,364.75,8760,69125,51100,Epitheliochorial,Villous
ovis_dalli,Artiodactyla,364.75,8760,70194.13,49066.66667,Epitheliochorial,Villous
capricornis_crispus,Artiodactyla,547.13,8760,43030.64,38430,Epitheliochorial,Villous
naemorhedus_goral,Artiodactyla,364.75,6916.75,28231.59,NA,Epitheliochorial,Villous
ovibos_moschatus,Artiodactyla,577.36,10001,312500,NA,Epitheliochorial,Villous
oryx_leucoryx,Artiodactyla,221.63,8723.5,121350,NA,Epitheliochorial,Villous
oryx_gazella,Artiodactyla,221.63,8723.5,37500,NA,Epitheliochorial,Villous
oryx_dammah,Artiodactyla,221.63,10037.5,177500,NA,Epitheliochorial,Villous
addax_nasomaculatus,Artiodactyla,357.26,10293,94288.68,NA,Epitheliochorial,Villous
hippotragus_niger,Artiodactyla,364.75,8121.25,225000,NA,Epitheliochorial,Villous
hippotragus_equinus,Artiodactyla,323.78,9453.5,233500,NA,Epitheliochorial,Villous
damaliscus_lunatus,Artiodactyla,447.98,8614,118798.7,NA,Epitheliochorial,Villous
alcelaphus_buselaphus,Artiodactyla,358.26,5828.85,159938.9,NA,Epitheliochorial,Villous
connochaetes_taurinus,Artiodactyla,364.75,9015.5,180500,NA,Epitheliochorial,Villous
connochaetes_gnou,Artiodactyla,365,7957,132250,NA,Epitheliochorial,Villous
gazella_dorcas,Artiodactyla,351.26,8650.5,47386.47,14100,Epitheliochorial,Villous
gazella_spekei,Artiodactyla,206.36,5405.04,20000,NA,Epitheliochorial,Villous
gazella_cuvieri,Artiodactyla,273.81,6533.5,20348.83,NA,Epitheliochorial,Villous
gazella_leptoceros,Artiodactyla,220.78,5329,24645.75,NA,Epitheliochorial,Villous
gazella_marica,Artiodactyla,349.57,7300,20200,NA,Epitheliochorial,Villous
gazella_subgutturosa,Artiodactyla,353.49,7300,37740.68,NA,Epitheliochorial,Villous
nanger_dama,Artiodactyla,182.38,7044.5,73000,NA,Epitheliochorial,Villous
nanger_granti,Artiodactyla,230.05,7190.5,61232.23,NA,Epitheliochorial,Villous
eudorcas_thomsonii,Artiodactyla,193.77,7300,23197.67,NA,Epitheliochorial,Villous
