"species","gestation_length","longevity","invasiveness","interdigitation","taxonomic_order"
"oryx_gazella",168,8723.5,"Epitheliochorial","Villous","Artiodactyla"
"oryx_leucoryx",243,8723.5,"Epitheliochorial","Villous","Artiodactyla"
"otocolobus_manul",72.13,5803.5,"Endotheliochorial","Labyrinthine","Carnivora"
"otocyon_megalotis",68,6527.42,"Endotheliochorial","Labyrinthine","Carnivora"
"otolemur_garnettii",128.74,6874.17,"Epitheliochorial","Villous","Primates"
"otospermophilus_beecheyi",28.5,1974.04,"Hemochorial","Labyrinthine","Rodentia"
"ovibos_moschatus",258,10001,"Epitheliochorial","Villous","Artiodactyla"
"ovis_canadensis",180,8760,"Epitheliochorial","Villous","Artiodactyla"
"ovis_dalli",175.25,8760,"Epitheliochorial","Villous","Artiodactyla"
"ovis_vignei",158.89,8322,"Epitheliochorial","Villous","Artiodactyla"
"pan_paniscus",235.32,20075,"Hemochorial","Villous","Primates"
"pan_troglodytes",229,27010,"Hemochorial","Villous","Primates"
"panthera_leo",109,10950,"Endotheliochorial","Labyrinthine","Carnivora"
"panthera_onca",100.75,10353.83,"Endotheliochorial","Labyrinthine","Carnivora"
"panthera_tigris",105.19,9599.5,"Endotheliochorial","Labyrinthine","Carnivora"
"panthera_uncia",97.92,7738,"Endotheliochorial","Labyrinthine","Carnivora"
"papio_anubis",178.96,16425,"Hemochorial","Trabecular","Primates"
"papio_hamadryas",179.28,16425,"Hemochorial","Villous","Primates"
"papio_papio",179.28,16425,"Hemochorial","Trabecular","Primates"
"paradoxurus_hermaphroditus",60,9125,"Endotheliochorial","Labyrinthine","Carnivora"
"paraxerus_cepapi",56.87,3491.83,"Hemochorial","Labyrinthine","Rodentia"
"pecari_tajacu",143.36,11497.5,"Epitheliochorial","Villous","Artiodactyla"
"pedetes_capensis",78.02,7315.21,"Hemochorial","Labyrinthine","Rodentia"
"perodicticus_potto",193,9782,"Epitheliochorial","Villous","Primates"
"perognathus_parvus",24,2117,"Hemochorial","Labyrinthine","Rodentia"
"peromyscus_eremicus",26,2701,"Hemochorial","Labyrinthine","Rodentia"
"peromyscus_leucopus",25.26,2920,"Hemochorial","Labyrinthine","Rodentia"
"peromyscus_maniculatus",26,3041.67,"Hemochorial","Labyrinthine","Rodentia"
"peromyscus_polionotus",24,2007.5,"Hemochorial","Labyrinthine","Rodentia"
"petrodromus_tetradactylus",76.67,2609.75,"Hemochorial","Labyrinthine","Macroscelidea"
"petromus_typicus",86.11,2579.33,"Hemochorial","Labyrinthine","Rodentia"
"phacochoerus_aethiopicus",166.86,6862,"Epitheliochorial","Villous","Artiodactyla"
"phacochoerus_africanus",168.25,7628.5,"Epitheliochorial","Villous","Artiodactyla"
"philantomba_monticola",195.7,5803.5,"Epitheliochorial","Villous","Artiodactyla"
"phoca_largha",270.77,17374,"Endotheliochorial","Labyrinthine","Carnivora"
"phoca_vitulina",253.57,17374,"Endotheliochorial","Labyrinthine","Carnivora"
"phocoena_phocoena",307.01,7446,"Epitheliochorial","Villous","Artiodactyla"
"phodopus_campbelli",20,1426.54,"Hemochorial","Labyrinthine","Rodentia"
"phodopus_sungorus",19.89,1426.54,"Hemochorial","Labyrinthine","Rodentia"
"phyllostomus_discolor",105,3285,"Endotheliochorial","Labyrinthine","Chiroptera"
"pithecia_pithecia",159.57,13206.92,"Hemochorial","Villous","Primates"
"platanista_gangetica",313.88,10220,"Epitheliochorial","Villous","Artiodactyla"
"poecilogale_albinucha",32.25,2278.21,"Endotheliochorial","Labyrinthine","Carnivora"
"pongo_abelii",259.42,21900,"Hemochorial","Villous","Primates"
"pongo_pygmaeus",259.42,21900,"Hemochorial","Villous","Primates"
"potamochoerus_porcus",120,8227.71,"Epitheliochorial","Villous","Artiodactyla"
"potamogale_velox",74.57,3004.09,"Hemochorial","Labyrinthine","Afrosoricida"
"potos_flavus",115.9,14016,"Endotheliochorial","Labyrinthine","Carnivora"
"prionailurus_bengalensis",66.05,6314.5,"Endotheliochorial","Labyrinthine","Carnivora"
"prionailurus_viverrinus",71.43,6278,"Endotheliochorial","Labyrinthine","Carnivora"
"procavia_capensis",226.45,5405.04,"Hemochorial","Villous","Hyracoidea"
"procyon_lotor",63.91,7665,"Endotheliochorial","Labyrinthine","Carnivora"
"propithecus_coquereli",145.53,11132.5,"Epitheliochorial","Villous","Primates"
"propithecus_diadema",166.28,4036.29,"Hemochorial","Villous","Primates"
"propithecus_tattersalli",147.93,7467.29,"Hemochorial","Villous","Primates"
"propithecus_verreauxi",148,11132.5,"Epitheliochorial","Villous","Primates"
"pseudois_nayaur",159.74,8760,"Epitheliochorial","Villous","Artiodactyla"
"pteronotus_davyi",60,2682.75,"Hemochorial","Labyrinthine","Chiroptera"
"pteronotus_parnellii",107.97,5135.41,"Hemochorial","Labyrinthine","Chiroptera"
"pteronura_brasiliensis",68.79,6314.5,"Endotheliochorial","Labyrinthine","Carnivora"
"pteropus_giganteus",155.8,14907.21,"Hemochorial","Labyrinthine","Chiroptera"
"pteropus_hypomelanus",156.43,7409.5,"Hemochorial","Labyrinthine","Chiroptera"
"pteropus_poliocephalus",187.72,8614,"Hemochorial","Labyrinthine","Chiroptera"
"pteropus_rodricensis",198,10950,"Hemochorial","Labyrinthine","Chiroptera"
"pudu_puda",205.75,7665,"Epitheliochorial","Villous","Artiodactyla"
"puma_concolor",92.3,8687,"Endotheliochorial","Labyrinthine","Carnivora"
"pusa_hispida",251,16790,"Endotheliochorial","Labyrinthine","Carnivora"
"pygathrix_nemaeus",182.88,9775.92,"Hemochorial","Trabecular","Primates"
"rangifer_tarandus",222.5,7920.5,"Epitheliochorial","Villous","Artiodactyla"
"raphicerus_campestris",198.75,5110,"Epitheliochorial","Villous","Artiodactyla"
"rattus_norvegicus",21.61,1825,"Hemochorial","Labyrinthine","Rodentia"
"ratufa_affinis",55.79,3522.25,"Hemochorial","Labyrinthine","Rodentia"
"rhinoceros_unicornis",479,17885,"Epitheliochorial","Villous","Perissodactyla"
"rhinolophus_rouxii",123.54,1825,"Endotheliochorial","Labyrinthine","Chiroptera"
"rhinopoma_hardwickii",98.28,4935.28,"Endotheliochorial","Labyrinthine","Chiroptera"
"rhynchocyon_petersi",64.48,1639.46,"Hemochorial","Labyrinthine","Macroscelidea"
"rousettus_aegyptiacus",116,8358.5,"Hemochorial","Labyrinthine","Chiroptera"
"rousettus_leschenaultii",118.33,5110,"Hemochorial","Labyrinthine","Chiroptera"
"rucervus_duvaucelii",249.94,8942.5,"Epitheliochorial","Villous","Artiodactyla"
"rucervus_eldii",240.19,7482.5,"Epitheliochorial","Villous","Artiodactyla"
"saccopteryx_bilineata",111.48,2190,"Endotheliochorial","Labyrinthine","Chiroptera"
"saguinus_bicolor",160,6935,"Hemochorial","Trabecular","Primates"
"saguinus_geoffroyi",172.12,9563,"Hemochorial","Trabecular","Primates"
"saguinus_imperator",145,8650.5,"Hemochorial","Trabecular","Primates"
"saguinus_midas",132.62,7665,"Hemochorial","Trabecular","Primates"
"saguinus_oedipus",177.87,9563,"Hemochorial","Trabecular","Primates"
"saiga_tatarica",149.42,4380,"Epitheliochorial","Villous","Artiodactyla"
"saimiri_boliviensis",162.55,11059.5,"Hemochorial","Trabecular","Primates"
"scalopus_aquaticus",41.54,2263,"Hemochorial","Labyrinthine","Eulipotyphla"
"sciurus_carolinensis",44,8760,"Hemochorial","Labyrinthine","Rodentia"
"sciurus_niger",44.34,5840,"Hemochorial","Labyrinthine","Rodentia"
"sciurus_vulgaris",38,5402,"Hemochorial","Labyrinthine","Rodentia"
"sekeetamys_calurus",29.8,2664.5,"Hemochorial","Labyrinthine","Rodentia"
"semnopithecus_entellus",192,10685.38,"Hemochorial","Trabecular","Primates"
"setifer_setosus",57.52,5146.5,"Hemochorial","Labyrinthine","Afrosoricida"
"solenodon_paradoxus",64.8,4416.5,"Hemochorial","Labyrinthine","Eulipotyphla"
"sorex_araneus",21,1168,"Hemochorial","Labyrinthine","Eulipotyphla"
"sorex_fumeus",18.87,517.08,"Hemochorial","Labyrinthine","Eulipotyphla"
"sorex_minutus",23.62,730,"Hemochorial","Labyrinthine","Eulipotyphla"
"sotalia_fluviatilis",330.25,12775,"Epitheliochorial","Villous","Artiodactyla"
"speothos_venaticus",67.89,5146.5,"Endotheliochorial","Labyrinthine","Carnivora"
"spermophilus_citellus",27.41,2445.5,"Hemochorial","Labyrinthine","Rodentia"
"stenella_coeruleoalba",368.28,20987.5,"Epitheliochorial","Villous","Artiodactyla"
"suncus_murinus",30,1183.21,"Hemochorial","Labyrinthine","Eulipotyphla"
"suricata_suricatta",77,7519,"Endotheliochorial","Labyrinthine","Carnivora"
"sus_cebifrons",121.7,6205,"Epitheliochorial","Villous","Artiodactyla"
"sus_scrofa",115.2,9855,"Epitheliochorial","Villous","Artiodactyla"
"sylvilagus_aquaticus",37.8,3250.1,"Hemochorial","Labyrinthine","Lagomorpha"
"sylvilagus_audubonii",28.61,2853.08,"Hemochorial","Labyrinthine","Lagomorpha"
"sylvilagus_floridanus",28.7,3577,"Epitheliochorial","Labyrinthine","Lagomorpha"
"sylvilagus_transitionalis",28,3577,"Hemochorial","Labyrinthine","Lagomorpha"
"symphalangus_syndactylus",231,15695,"Hemochorial","Villous","Primates"
"syncerus_caffer",333.36,10877,"Epitheliochorial","Villous","Artiodactyla"
"tadarida_brasiliensis",84,5475,"Endotheliochorial","Labyrinthine","Chiroptera"
"talpa_europaea",31.34,2555,"Endotheliochorial","Labyrinthine","Eulipotyphla"
"tamandua_tetradactyla",160,7135.75,"Hemochorial","Trabecular","Pilosa"
"tamias_striatus",31.25,3467.5,"Hemochorial","Labyrinthine","Rodentia"
"tamiasciurus_hudsonicus",37,4380,"Hemochorial","Labyrinthine","Rodentia"
"taphozous_melanopogon",121.76,7300,"Endotheliochorial","Labyrinthine","Chiroptera"
"tapirus_bairdii",400.84,10804,"Epitheliochorial","Villous","Perissodactyla"
"tapirus_indicus",392,13322.5,"Epitheliochorial","Villous","Perissodactyla"
"tapirus_pinchaque",393.99,10402.5,"Epitheliochorial","Villous","Perissodactyla"
"tapirus_terrestris",396.86,14454,"Epitheliochorial","Trabecular","Perissodactyla"
"tasmacetus_shepherdi",370.68,20382.01,"Epitheliochorial","Villous","Artiodactyla"
"taxidea_taxus",43.8,9490,"Endotheliochorial","Labyrinthine","Carnivora"
"tenrec_ecaudatus",60.24,3175.5,"Hemochorial","Labyrinthine","Afrosoricida"
"theropithecus_gelada",172.42,13140,"Hemochorial","Trabecular","Primates"
"thomomys_bottae",23.87,2226.5,"Hemochorial","Labyrinthine","Rodentia"
"thyroptera_tricolor",154.24,5421.74,"Hemochorial","Labyrinthine","Chiroptera"
"tolypeutes_tricinctus",99.97,2427.25,"Endotheliochorial","Trabecular","Cingulata"
"trachypithecus_auratus",169.87,11351.5,"Hemochorial","Villous","Primates"
"trachypithecus_cristatus",149.75,12373.5,"Hemochorial","Villous","Primates"
"trachypithecus_delacouri",165.24,9599.5,"Hemochorial","Villous","Primates"
"trachypithecus_francoisi",168.2,9599.5,"Hemochorial","Villous","Primates"
"trachypithecus_germaini",149.75,12373.5,"Hemochorial","Villous","Primates"
"trachypithecus_obscurus",146.63,12373.5,"Hemochorial","Villous","Primates"
"trachypithecus_vetulus",211,9526.5,"Hemochorial","Villous","Primates"
"tragelaphus_angasii",224,6752.5,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_eurycerus",288,7993.5,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_imberbis",235,7227,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_oryx",271,9526.5,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_scriptus",187.79,5584.5,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_spekii",242,8249,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_strepsiceros",225.54,8577.5,"Epitheliochorial","Villous","Artiodactyla"
"tragulus_javanicus",144,5110,"Epitheliochorial","Villous","Artiodactyla"
"tragulus_napu",153.62,6095.5,"Epitheliochorial","Villous","Artiodactyla"
"tremarctos_ornatus",225.55,14329.29,"Endotheliochorial","Labyrinthine","Carnivora"
"trichechus_manatus",334.58,20440,"Endotheliochorial","Labyrinthine","Sirenia"
"tupaia_belangeri",46,4532.08,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_glis",46,4532.08,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_gracilis",47.69,1274.46,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_javanica",46.35,2438.96,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_longipes",46,4532.08,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_minor",50,4453,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_montana",49.61,577.92,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_palawanensis",47.95,2570.93,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_picta",48.19,2310.43,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_tana",54.62,5110,"Hemochorial","Labyrinthine","Scandentia"
"tursiops_truncatus",365,19345,"Epitheliochorial","Villous","Artiodactyla"
"urocitellus_columbianus",24.2,1548.21,"Hemochorial","Labyrinthine","Rodentia"
"urocitellus_richardsonii",22.8,2190,"Hemochorial","Labyrinthine","Rodentia"
"urocyon_cinereoargenteus",61.48,5913,"Endotheliochorial","Labyrinthine","Carnivora"
"ursus_americanus",91.01,12410,"Endotheliochorial","Labyrinthine","Carnivora"
"ursus_arctos",103,18250,"Endotheliochorial","Labyrinthine","Carnivora"
"ursus_maritimus",147.42,16425,"Endotheliochorial","Labyrinthine","Carnivora"
"ursus_thibetanus",213.05,14308,"Endotheliochorial","Labyrinthine","Carnivora"
"varecia_rubra",100.33,13206.92,"Epitheliochorial","Villous","Primates"
"vicugna_vicugna",345.45,22435.33,"Epitheliochorial","Villous","Artiodactyla"
"viverricula_indica",71.39,4675.04,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_lagopus",52.5,5949.5,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_macrotis",53.7,7300,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_velox",53.7,7300,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_vulpes",52.35,7774.5,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_zerda",51,5949.5,"Endotheliochorial","Labyrinthine","Carnivora"
"xerus_inauris",47.29,4745,"Hemochorial","Labyrinthine","Rodentia"
"zalophus_californianus",334.84,13030.5,"Endotheliochorial","Labyrinthine","Carnivora"
