"species","neonate_body_size","body_mass_g","longevity","invasiveness","interdigitation","neonate_over_adult","taxonomic_order"
"pan_troglodytes",1745.02,44983.5,27010,"Hemochorial","Villous",0.0387924461191326,"Primates"
"panthera_leo",1291.71,149062,10950,"Endotheliochorial","Labyrinthine",0.00866558881539225,"Carnivora"
"panthera_onca",817.3,81150,10353.83,"Endotheliochorial","Labyrinthine",0.0100714725816389,"Carnivora"
"panthera_tigris",1313.5,128800,9599.5,"Endotheliochorial","Labyrinthine",0.0101979813664596,"Carnivora"
"papio_anubis",947.31,17728.56,16425,"Hemochorial","Trabecular",0.0534341198608347,"Primates"
"papio_hamadryas",890,18000,16425,"Hemochorial","Villous",0.0494444444444444,"Primates"
"papio_papio",600.38,18000,16425,"Hemochorial","Trabecular",0.0333544444444444,"Primates"
"paradoxurus_hermaphroditus",92.07,3180,9125,"Endotheliochorial","Labyrinthine",0.0289528301886792,"Carnivora"
"paraxerus_cepapi",12.75,222.85,3491.83,"Hemochorial","Labyrinthine",0.0572133722234687,"Rodentia"
"pecari_tajacu",618.53,20500,11497.5,"Epitheliochorial","Villous",0.0301721951219512,"Artiodactyla"
"pedetes_capensis",253.49,2774.63,7315.21,"Hemochorial","Labyrinthine",0.091359929071624,"Rodentia"
"perodicticus_potto",37.16,1011,9782,"Epitheliochorial","Villous",0.03675568743818,"Primates"
"perognathus_parvus",1.5,20.1,2117,"Hemochorial","Labyrinthine",0.0746268656716418,"Rodentia"
"peromyscus_eremicus",2.51,21.75,2701,"Hemochorial","Labyrinthine",0.115402298850575,"Rodentia"
"peromyscus_leucopus",1.8,22.3,2920,"Hemochorial","Labyrinthine",0.0807174887892377,"Rodentia"
"peromyscus_maniculatus",1.73,20.5,3041.67,"Hemochorial","Labyrinthine",0.084390243902439,"Rodentia"
"peromyscus_polionotus",1.54,14,2007.5,"Hemochorial","Labyrinthine",0.11,"Rodentia"
"petrodromus_tetradactylus",30.95,208,2609.75,"Hemochorial","Labyrinthine",0.148798076923077,"Macroscelidea"
"phacochoerus_aethiopicus",691.95,73303.76,6862,"Epitheliochorial","Villous",0.00943948850645588,"Artiodactyla"
"philantomba_monticola",709.41,4896.05,5803.5,"Epitheliochorial","Villous",0.144894353611585,"Artiodactyla"
"phoca_largha",7100,93097.92,17374,"Endotheliochorial","Labyrinthine",0.0762637876334939,"Carnivora"
"phoca_vitulina",10213.75,94283.33,17374,"Endotheliochorial","Labyrinthine",0.108330390960947,"Carnivora"
"phocoena_phocoena",8892.16,52730.93,7446,"Epitheliochorial","Villous",0.168632717078952,"Artiodactyla"
"phodopus_campbelli",1.49,28.75,1426.54,"Hemochorial","Labyrinthine",0.0518260869565217,"Rodentia"
"phodopus_sungorus",2.04,30.87,1426.54,"Hemochorial","Labyrinthine",0.0660835762876579,"Rodentia"
"phyllostomus_discolor",7.29,40.05,3285,"Endotheliochorial","Labyrinthine",0.182022471910112,"Chiroptera"
"poecilogale_albinucha",4,282.83,2278.21,"Endotheliochorial","Labyrinthine",0.0141427712760315,"Carnivora"
"pongo_pygmaeus",1644.2,58941.64,21900,"Hemochorial","Villous",0.0278953894055204,"Primates"
"potamochoerus_porcus",750,71000,8227.71,"Epitheliochorial","Villous",0.0105633802816901,"Artiodactyla"
"potos_flavus",171.84,2420.91,14016,"Endotheliochorial","Labyrinthine",0.0709815730448468,"Carnivora"
"prionailurus_bengalensis",83,4150,6314.5,"Endotheliochorial","Labyrinthine",0.02,"Carnivora"
"prionailurus_viverrinus",170,10650,6278,"Endotheliochorial","Labyrinthine",0.015962441314554,"Carnivora"
"procavia_capensis",203.49,2750,5405.04,"Hemochorial","Villous",0.0739963636363636,"Hyracoidea"
"procyon_lotor",82.46,5075,7665,"Endotheliochorial","Labyrinthine",0.016248275862069,"Carnivora"
"propithecus_coquereli",102.45,3622.7,11132.5,"Epitheliochorial","Villous",0.0282800121456372,"Primates"
"propithecus_diadema",134.99,6414.5,4036.29,"Hemochorial","Villous",0.0210445085353496,"Primates"
"propithecus_tattersalli",97.47,3545,7467.29,"Hemochorial","Villous",0.0274950634696756,"Primates"
"propithecus_verreauxi",102.65,3588.26,11132.5,"Epitheliochorial","Villous",0.0286071800817109,"Primates"
"pteronotus_davyi",1.15,9.4,2682.75,"Hemochorial","Labyrinthine",0.122340425531915,"Chiroptera"
"pteronura_brasiliensis",204.25,24000,6314.5,"Endotheliochorial","Labyrinthine",0.00851041666666667,"Carnivora"
"pteropus_giganteus",90.32,824.85,14907.21,"Hemochorial","Labyrinthine",0.109498696732739,"Chiroptera"
"pteropus_poliocephalus",70,675,8614,"Hemochorial","Labyrinthine",0.103703703703704,"Chiroptera"
"pteropus_rodricensis",45,303.09,10950,"Hemochorial","Labyrinthine",0.148470751262001,"Chiroptera"
"pudu_puda",780,9642.62,7665,"Epitheliochorial","Villous",0.080890878205301,"Artiodactyla"
"puma_concolor",409.87,48000,8687,"Endotheliochorial","Labyrinthine",0.00853895833333333,"Carnivora"
"pusa_hispida",4500,88070,16790,"Endotheliochorial","Labyrinthine",0.0510957193141819,"Carnivora"
"pygathrix_nemaeus",191.94,9875,9775.92,"Hemochorial","Trabecular",0.0194369620253165,"Primates"
"rangifer_tarandus",5490.62,101250,7920.5,"Epitheliochorial","Villous",0.0542283456790123,"Artiodactyla"
"raphicerus_campestris",916.51,11333.33,5110,"Epitheliochorial","Villous",0.0808685531966333,"Artiodactyla"
"rattus_norvegicus",5.8,280,1825,"Hemochorial","Labyrinthine",0.0207142857142857,"Rodentia"
"rhinoceros_unicornis",61326.59,1600000,17885,"Epitheliochorial","Villous",0.03832911875,"Perissodactyla"
"rhinolophus_rouxii",2.86,12.25,1825,"Endotheliochorial","Labyrinthine",0.233469387755102,"Chiroptera"
"rhinopoma_hardwickii",2.5,12,4935.28,"Endotheliochorial","Labyrinthine",0.208333333333333,"Chiroptera"
"rousettus_aegyptiacus",19.13,134,8358.5,"Hemochorial","Labyrinthine",0.142761194029851,"Chiroptera"
"rousettus_leschenaultii",12,96.57,5110,"Hemochorial","Labyrinthine",0.12426219322771,"Chiroptera"
"rucervus_eldii",4674.98,95471.61,7482.5,"Epitheliochorial","Villous",0.048967227011255,"Artiodactyla"
"saccopteryx_bilineata",3.49,7.9,2190,"Endotheliochorial","Labyrinthine",0.441772151898734,"Chiroptera"
"saguinus_geoffroyi",47.84,453.77,9563,"Hemochorial","Trabecular",0.105427859929039,"Primates"
