"species","interbirth_interval","longevity","invasiveness","interdigitation","taxonomic_order"
"orycteropus_afer",364.75,10877,"Endotheliochorial","Labyrinthine","Tubulidentata"
"oryctolagus_cuniculus",28.98,6570,"Hemochorial","Labyrinthine","Lagomorpha"
"oryx_dammah",221.63,10037.5,"Epitheliochorial","Villous","Artiodactyla"
"oryx_gazella",221.63,8723.5,"Epitheliochorial","Villous","Artiodactyla"
"oryx_leucoryx",221.63,8723.5,"Epitheliochorial","Villous","Artiodactyla"
"otocolobus_manul",199.02,5803.5,"Endotheliochorial","Labyrinthine","Carnivora"
"otocyon_megalotis",182.13,6527.42,"Endotheliochorial","Labyrinthine","Carnivora"
"otolemur_garnettii",221.85,6874.17,"Epitheliochorial","Villous","Primates"
"otospermophilus_beecheyi",396.15,1974.04,"Hemochorial","Labyrinthine","Rodentia"
"ovibos_moschatus",577.36,10001,"Epitheliochorial","Villous","Artiodactyla"
"ovis_canadensis",364.75,8760,"Epitheliochorial","Villous","Artiodactyla"
"ovis_dalli",364.75,8760,"Epitheliochorial","Villous","Artiodactyla"
"ovis_vignei",364.75,8322,"Epitheliochorial","Villous","Artiodactyla"
"pan_paniscus",1769.04,20075,"Hemochorial","Villous","Primates"
"pan_troglodytes",1331.59,27010,"Hemochorial","Villous","Primates"
"panthera_leo",689.03,10950,"Endotheliochorial","Labyrinthine","Carnivora"
"panthera_onca",364.75,10353.83,"Endotheliochorial","Labyrinthine","Carnivora"
"panthera_tigris",785.09,9599.5,"Endotheliochorial","Labyrinthine","Carnivora"
"panthera_uncia",364.75,7738,"Endotheliochorial","Labyrinthine","Carnivora"
"papio_anubis",638.31,16425,"Hemochorial","Trabecular","Primates"
"papio_hamadryas",587.76,16425,"Hemochorial","Villous","Primates"
"papio_papio",587.76,16425,"Hemochorial","Trabecular","Primates"
"paradoxurus_hermaphroditus",182.38,9125,"Endotheliochorial","Labyrinthine","Carnivora"
"paraxerus_cepapi",60.46,3491.83,"Hemochorial","Labyrinthine","Rodentia"
"pecari_tajacu",154.89,11497.5,"Epitheliochorial","Villous","Artiodactyla"
"pedetes_capensis",100.93,7315.21,"Hemochorial","Labyrinthine","Rodentia"
"perodicticus_potto",275.84,9782,"Epitheliochorial","Villous","Primates"
"perognathus_parvus",279.83,2117,"Hemochorial","Labyrinthine","Rodentia"
"peromyscus_eremicus",38.72,2701,"Hemochorial","Labyrinthine","Rodentia"
"peromyscus_leucopus",26.28,2920,"Hemochorial","Labyrinthine","Rodentia"
"peromyscus_maniculatus",26.78,3041.67,"Hemochorial","Labyrinthine","Rodentia"
"peromyscus_polionotus",24.61,2007.5,"Hemochorial","Labyrinthine","Rodentia"
"petrodromus_tetradactylus",184.8,2609.75,"Hemochorial","Labyrinthine","Macroscelidea"
"petromus_typicus",231.65,2579.33,"Hemochorial","Labyrinthine","Rodentia"
"phacochoerus_aethiopicus",364.75,6862,"Epitheliochorial","Villous","Artiodactyla"
"phacochoerus_africanus",425.71,7628.5,"Epitheliochorial","Villous","Artiodactyla"
"philantomba_monticola",264.82,5803.5,"Epitheliochorial","Villous","Artiodactyla"
"phoca_largha",364.75,17374,"Endotheliochorial","Labyrinthine","Carnivora"
"phoca_vitulina",364.75,17374,"Endotheliochorial","Labyrinthine","Carnivora"
"phocoena_phocoena",364.75,7446,"Epitheliochorial","Villous","Artiodactyla"
"phodopus_campbelli",31.98,1426.54,"Hemochorial","Labyrinthine","Rodentia"
"phodopus_sungorus",31.98,1426.54,"Hemochorial","Labyrinthine","Rodentia"
"phyllostomus_discolor",227.52,3285,"Endotheliochorial","Labyrinthine","Chiroptera"
"pithecia_pithecia",383.25,13206.92,"Hemochorial","Villous","Primates"
"platanista_gangetica",730,10220,"Epitheliochorial","Villous","Artiodactyla"
"poecilogale_albinucha",243.16,2278.21,"Endotheliochorial","Labyrinthine","Carnivora"
"pongo_abelii",1709.58,21900,"Hemochorial","Villous","Primates"
"pongo_pygmaeus",1709.58,21900,"Hemochorial","Villous","Primates"
"potamochoerus_porcus",364.75,8227.71,"Epitheliochorial","Villous","Artiodactyla"
"potamogale_velox",246.6,3004.09,"Hemochorial","Labyrinthine","Afrosoricida"
"potos_flavus",364.75,14016,"Endotheliochorial","Labyrinthine","Carnivora"
"prionailurus_bengalensis",164.17,6314.5,"Endotheliochorial","Labyrinthine","Carnivora"
"prionailurus_viverrinus",213.16,6278,"Endotheliochorial","Labyrinthine","Carnivora"
"procavia_capensis",364.75,5405.04,"Hemochorial","Villous","Hyracoidea"
"procyon_lotor",364.75,7665,"Endotheliochorial","Labyrinthine","Carnivora"
"propithecus_coquereli",364.75,11132.5,"Epitheliochorial","Villous","Primates"
"propithecus_diadema",744.69,4036.29,"Hemochorial","Villous","Primates"
"propithecus_tattersalli",510.19,7467.29,"Hemochorial","Villous","Primates"
"propithecus_verreauxi",450.69,11132.5,"Epitheliochorial","Villous","Primates"
"pseudois_nayaur",282.33,8760,"Epitheliochorial","Villous","Artiodactyla"
"pteronotus_davyi",352.19,2682.75,"Hemochorial","Labyrinthine","Chiroptera"
"pteronotus_parnellii",360.04,5135.41,"Hemochorial","Labyrinthine","Chiroptera"
"pteronura_brasiliensis",364.75,6314.5,"Endotheliochorial","Labyrinthine","Carnivora"
"pteropus_giganteus",364.75,14907.21,"Hemochorial","Labyrinthine","Chiroptera"
"pteropus_hypomelanus",354.15,7409.5,"Hemochorial","Labyrinthine","Chiroptera"
"pteropus_poliocephalus",360.97,8614,"Hemochorial","Labyrinthine","Chiroptera"
"pteropus_rodricensis",372.33,10950,"Hemochorial","Labyrinthine","Chiroptera"
"pudu_puda",233.16,7665,"Epitheliochorial","Villous","Artiodactyla"
"puma_concolor",681.49,8687,"Endotheliochorial","Labyrinthine","Carnivora"
"pusa_hispida",364.75,16790,"Endotheliochorial","Labyrinthine","Carnivora"
"pygathrix_nemaeus",397.58,9775.92,"Hemochorial","Trabecular","Primates"
"rangifer_tarandus",364.75,7920.5,"Epitheliochorial","Villous","Artiodactyla"
"raphicerus_campestris",216.85,5110,"Epitheliochorial","Villous","Artiodactyla"
"rattus_norvegicus",54.74,1825,"Hemochorial","Labyrinthine","Rodentia"
"ratufa_affinis",241.18,3522.25,"Hemochorial","Labyrinthine","Rodentia"
"rhinoceros_unicornis",879.12,17885,"Epitheliochorial","Villous","Perissodactyla"
"rhinolophus_rouxii",349.2,1825,"Endotheliochorial","Labyrinthine","Chiroptera"
"rhinopoma_hardwickii",364.75,4935.28,"Endotheliochorial","Labyrinthine","Chiroptera"
"rhynchocyon_petersi",157.4,1639.46,"Hemochorial","Labyrinthine","Macroscelidea"
"rousettus_aegyptiacus",260.28,8358.5,"Hemochorial","Labyrinthine","Chiroptera"
"rousettus_leschenaultii",234.78,5110,"Hemochorial","Labyrinthine","Chiroptera"
"rucervus_duvaucelii",365,8942.5,"Epitheliochorial","Villous","Artiodactyla"
"rucervus_eldii",377.09,7482.5,"Epitheliochorial","Villous","Artiodactyla"
"saccopteryx_bilineata",349.68,2190,"Endotheliochorial","Labyrinthine","Chiroptera"
"saguinus_bicolor",216.74,6935,"Hemochorial","Trabecular","Primates"
"saguinus_geoffroyi",240.74,9563,"Hemochorial","Trabecular","Primates"
"saguinus_imperator",208.04,8650.5,"Hemochorial","Trabecular","Primates"
"saguinus_midas",206.69,7665,"Hemochorial","Trabecular","Primates"
"saguinus_oedipus",238.37,9563,"Hemochorial","Trabecular","Primates"
"saiga_tatarica",364.75,4380,"Epitheliochorial","Villous","Artiodactyla"
"saimiri_boliviensis",373.87,11059.5,"Hemochorial","Trabecular","Primates"
"scalopus_aquaticus",264.98,2263,"Hemochorial","Labyrinthine","Eulipotyphla"
"sciurus_carolinensis",180.1,8760,"Hemochorial","Labyrinthine","Rodentia"
"sciurus_niger",191.54,5840,"Hemochorial","Labyrinthine","Rodentia"
"sciurus_vulgaris",91.06,5402,"Hemochorial","Labyrinthine","Rodentia"
"sekeetamys_calurus",46.55,2664.5,"Hemochorial","Labyrinthine","Rodentia"
"semnopithecus_entellus",510.63,10685.38,"Hemochorial","Trabecular","Primates"
"setifer_setosus",289.24,5146.5,"Hemochorial","Labyrinthine","Afrosoricida"
"solenodon_paradoxus",235.67,4416.5,"Hemochorial","Labyrinthine","Eulipotyphla"
"sorex_araneus",42.25,1168,"Hemochorial","Labyrinthine","Eulipotyphla"
"sorex_fumeus",55.34,517.08,"Hemochorial","Labyrinthine","Eulipotyphla"
"sorex_minutus",97.19,730,"Hemochorial","Labyrinthine","Eulipotyphla"
"sotalia_fluviatilis",730,12775,"Epitheliochorial","Villous","Artiodactyla"
"speothos_venaticus",248.3,5146.5,"Endotheliochorial","Labyrinthine","Carnivora"
"spermophilus_citellus",300.75,2445.5,"Hemochorial","Labyrinthine","Rodentia"
"stenella_coeruleoalba",1264.38,20987.5,"Epitheliochorial","Villous","Artiodactyla"
"suncus_murinus",55.96,1183.21,"Hemochorial","Labyrinthine","Eulipotyphla"
"suricata_suricatta",364.75,7519,"Endotheliochorial","Labyrinthine","Carnivora"
"sus_cebifrons",328.56,6205,"Epitheliochorial","Villous","Artiodactyla"
"sus_scrofa",229.84,9855,"Epitheliochorial","Villous","Artiodactyla"
"sylvilagus_aquaticus",37.75,3250.1,"Hemochorial","Labyrinthine","Lagomorpha"
"sylvilagus_audubonii",37.71,2853.08,"Hemochorial","Labyrinthine","Lagomorpha"
"sylvilagus_floridanus",30.2,3577,"Epitheliochorial","Labyrinthine","Lagomorpha"
"sylvilagus_transitionalis",30.2,3577,"Hemochorial","Labyrinthine","Lagomorpha"
"symphalangus_syndactylus",804.82,15695,"Hemochorial","Villous","Primates"
"syncerus_caffer",636.44,10877,"Epitheliochorial","Villous","Artiodactyla"
"tadarida_brasiliensis",364.75,5475,"Endotheliochorial","Labyrinthine","Chiroptera"
"talpa_europaea",280.64,2555,"Endotheliochorial","Labyrinthine","Eulipotyphla"
"tamandua_tetradactyla",301.77,7135.75,"Hemochorial","Trabecular","Pilosa"
"tamias_striatus",151.37,3467.5,"Hemochorial","Labyrinthine","Rodentia"
"tamiasciurus_hudsonicus",139.73,4380,"Hemochorial","Labyrinthine","Rodentia"
"taphozous_melanopogon",329.33,7300,"Endotheliochorial","Labyrinthine","Chiroptera"
"tapirus_bairdii",526.93,10804,"Epitheliochorial","Villous","Perissodactyla"
"tapirus_indicus",693.03,13322.5,"Epitheliochorial","Villous","Perissodactyla"
"tapirus_pinchaque",550.57,10402.5,"Epitheliochorial","Villous","Perissodactyla"
"tapirus_terrestris",64.96,14454,"Epitheliochorial","Trabecular","Perissodactyla"
"tasmacetus_shepherdi",1070.31,20382.01,"Epitheliochorial","Villous","Artiodactyla"
"taxidea_taxus",364.75,9490,"Endotheliochorial","Labyrinthine","Carnivora"
"tenrec_ecaudatus",216.56,3175.5,"Hemochorial","Labyrinthine","Afrosoricida"
"theropithecus_gelada",752.73,13140,"Hemochorial","Trabecular","Primates"
"thomomys_bottae",244.04,2226.5,"Hemochorial","Labyrinthine","Rodentia"
"thyroptera_tricolor",287.13,5421.74,"Hemochorial","Labyrinthine","Chiroptera"
"tolypeutes_tricinctus",330.57,2427.25,"Endotheliochorial","Trabecular","Cingulata"
"trachypithecus_auratus",520.37,11351.5,"Hemochorial","Villous","Primates"
"trachypithecus_cristatus",618.96,12373.5,"Hemochorial","Villous","Primates"
"trachypithecus_delacouri",623.03,9599.5,"Hemochorial","Villous","Primates"
"trachypithecus_francoisi",541.77,9599.5,"Hemochorial","Villous","Primates"
"trachypithecus_germaini",611.78,12373.5,"Hemochorial","Villous","Primates"
"trachypithecus_obscurus",616.82,12373.5,"Hemochorial","Villous","Primates"
"trachypithecus_vetulus",783.29,9526.5,"Hemochorial","Villous","Primates"
"tragelaphus_angasii",295.8,6752.5,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_eurycerus",549.27,7993.5,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_imberbis",258.36,7227,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_oryx",338.27,9526.5,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_scriptus",235.56,5584.5,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_spekii",352.67,8249,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_strepsiceros",364.75,8577.5,"Epitheliochorial","Villous","Artiodactyla"
"tragulus_javanicus",188.18,5110,"Epitheliochorial","Villous","Artiodactyla"
"tragulus_napu",151.94,6095.5,"Epitheliochorial","Villous","Artiodactyla"
"tremarctos_ornatus",365,14329.29,"Endotheliochorial","Labyrinthine","Carnivora"
"trichechus_manatus",1094.63,20440,"Endotheliochorial","Labyrinthine","Sirenia"
"tupaia_belangeri",45.12,4532.08,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_glis",45.12,4532.08,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_gracilis",138.53,1274.46,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_javanica",143.86,2438.96,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_longipes",45.12,4532.08,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_minor",49.97,4453,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_montana",122.47,577.92,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_palawanensis",148.83,2570.93,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_picta",151.06,2310.43,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_tana",365,5110,"Hemochorial","Labyrinthine","Scandentia"
"tursiops_truncatus",1095,19345,"Epitheliochorial","Villous","Artiodactyla"
"urocitellus_columbianus",402.38,1548.21,"Hemochorial","Labyrinthine","Rodentia"
"urocitellus_richardsonii",362.36,2190,"Hemochorial","Labyrinthine","Rodentia"
"urocyon_cinereoargenteus",364.75,5913,"Endotheliochorial","Labyrinthine","Carnivora"
"ursus_americanus",775.09,12410,"Endotheliochorial","Labyrinthine","Carnivora"
"ursus_arctos",881.65,18250,"Endotheliochorial","Labyrinthine","Carnivora"
"ursus_maritimus",790.29,16425,"Endotheliochorial","Labyrinthine","Carnivora"
"ursus_thibetanus",364.75,14308,"Endotheliochorial","Labyrinthine","Carnivora"
"varecia_rubra",364.75,13206.92,"Epitheliochorial","Villous","Primates"
"vicugna_vicugna",547.38,22435.33,"Epitheliochorial","Villous","Artiodactyla"
"viverricula_indica",227.64,4675.04,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_lagopus",364.75,5949.5,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_macrotis",364.75,7300,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_velox",364.75,7300,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_vulpes",364.75,7774.5,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_zerda",364.75,5949.5,"Endotheliochorial","Labyrinthine","Carnivora"
"xerus_inauris",283.39,4745,"Hemochorial","Labyrinthine","Rodentia"
"zalophus_californianus",729.5,13030.5,"Endotheliochorial","Labyrinthine","Carnivora"
