"species","interbirth_interval","longevity","invasiveness","interdigitation","taxonomic_order"
"caracal_caracal",364.75,7409.5,"Endotheliochorial","Labyrinthine","Carnivora"
"carollia_perspicillata",158.89,6205,"Endotheliochorial","Labyrinthine","Chiroptera"
"castor_canadensis",364.75,8541,"Hemochorial","Labyrinthine","Rodentia"
"catagonus_wagneri",325.08,5344.21,"Epitheliochorial","Villous","Artiodactyla"
"cavia_fulgida",85.01,2401.99,"Hemochorial","Labyrinthine","Rodentia"
"cavia_tschudii",73.65,3650,"Hemochorial","Labyrinthine","Rodentia"
"cebus_albifrons",546.88,16060,"Hemochorial","Trabecular","Primates"
"cebus_capucinus",796.37,20075,"Hemochorial","Trabecular","Primates"
"cephalophus_dorsalis",310.77,6387.5,"Epitheliochorial","Villous","Artiodactyla"
"cephalophus_jentinki",271.42,7771.46,"Epitheliochorial","Villous","Artiodactyla"
"cephalophus_niger",231.41,5402,"Epitheliochorial","Villous","Artiodactyla"
"cephalophus_rufilatus",246.4,5548,"Epitheliochorial","Villous","Artiodactyla"
"cephalophus_silvicultor",305.79,8212.5,"Epitheliochorial","Villous","Artiodactyla"
"cephalorhynchus_commersonii",702.43,9417,"Epitheliochorial","Villous","Artiodactyla"
"ceratotherium_simum",987.45,18250,"Epitheliochorial","Villous","Perissodactyla"
"cercocebus_agilis",445.37,16790,"Hemochorial","Trabecular","Primates"
"cercocebus_chrysogaster",445.37,16790,"Hemochorial","Trabecular","Primates"
"cercocebus_torquatus",445.37,16790,"Hemochorial","Trabecular","Primates"
"cercopithecus_cephus",820.44,13140,"Hemochorial","Trabecular","Primates"
"cercopithecus_diana",364.75,13614.5,"Hemochorial","Trabecular","Primates"
"cercopithecus_hamlyni",471.7,10439,"Hemochorial","Trabecular","Primates"
"cercopithecus_mitis",540.01,13797,"Hemochorial","Trabecular","Primates"
"cercopithecus_mona",608.22,11202.46,"Hemochorial","Trabecular","Primates"
"cercopithecus_neglectus",474.18,11242,"Hemochorial","Trabecular","Primates"
"cervus_elaphus",459.33,11497.5,"Epitheliochorial","Villous","Artiodactyla"
"cervus_nippon",362.31,9599.5,"Epitheliochorial","Villous","Artiodactyla"
"chaerephon_plicatus",272.18,2467,"Hemochorial","Labyrinthine","Chiroptera"
"chaetodipus_fallax",203.39,3041.67,"Hemochorial","Labyrinthine","Rodentia"
"chaetophractus_vellerosus",250.17,5919.08,"Hemochorial","Trabecular","Cingulata"
"chaetophractus_villosus",314.53,9198,"Hemochorial","Trabecular","Cingulata"
"cheirogaleus_medius",364.75,8471.04,"Epitheliochorial","Villous","Primates"
"chinchilla_lanigera",123.77,7300,"Hemochorial","Labyrinthine","Rodentia"
"chlorocebus_aethiops",434.05,16790,"Hemochorial","Trabecular","Primates"
"chlorocebus_pygerythrus",434.05,16790,"Hemochorial","Trabecular","Primates"
"chlorocebus_sabaeus",434.05,16790,"Hemochorial","Trabecular","Primates"
"choloepus_didactylus",705.22,13432,"Endotheliochorial","Trabecular","Pilosa"
"choloepus_hoffmanni",455.81,13505,"Endotheliochorial","Trabecular","Pilosa"
"chrotopterus_auritus",355.2,5894.62,"Endotheliochorial","Labyrinthine","Chiroptera"
"chrysochloris_asiatica",245.54,879.04,"Hemochorial","Labyrinthine","Afrosoricida"
"chrysocyon_brachyurus",286.19,6132,"Endotheliochorial","Labyrinthine","Carnivora"
"coendou_mexicanus",220.21,6095.5,"Hemochorial","Labyrinthine","Rodentia"
"coendou_prehensilis",393.64,9709,"Hemochorial","Labyrinthine","Rodentia"
"colobus_angolensis",441.9,12884.5,"Hemochorial","Trabecular","Primates"
"colobus_guereza",441.9,12775,"Hemochorial","Trabecular","Primates"
"connochaetes_gnou",365,7957,"Epitheliochorial","Villous","Artiodactyla"
"connochaetes_taurinus",364.75,9015.5,"Epitheliochorial","Villous","Artiodactyla"
"crateromys_heaneyi",86.89,3218.08,"Hemochorial","Labyrinthine","Rodentia"
"cricetomys_gambianus",68.77,3066,"Hemochorial","Labyrinthine","Rodentia"
"cricetulus_barabensis",39.76,1934.5,"Hemochorial","Labyrinthine","Rodentia"
"cricetulus_longicaudatus",49.93,60.83,"Hemochorial","Labyrinthine","Rodentia"
"crocuta_crocuta",444.72,15001.5,"Hemochorial","Labyrinthine","Carnivora"
"crossarchus_obscurus",121.58,4854.5,"Endotheliochorial","Labyrinthine","Carnivora"
"cryptoprocta_ferox",399.3,8431.5,"Endotheliochorial","Labyrinthine","Carnivora"
"ctenodactylus_gundi",69.65,2117,"Hemochorial","Labyrinthine","Rodentia"
"cuniculus_paca",190.87,6132,"Hemochorial","Labyrinthine","Rodentia"
"cyclopes_didactylus",360.86,839.5,"Hemochorial","Trabecular","Pilosa"
"cynocephalus_volans",353.59,6387.5,"Hemochorial","Labyrinthine","Dermoptera"
"cynomys_ludovicianus",820.69,6570,"Hemochorial","Labyrinthine","Rodentia"
"cynopterus_sphinx",224.84,3686.5,"Hemochorial","Labyrinthine","Chiroptera"
"cystophora_cristata",364.75,12775,"Endotheliochorial","Labyrinthine","Carnivora"
"dama_dama",364.75,9125,"Epitheliochorial","Villous","Artiodactyla"
"damaliscus_lunatus",447.98,8614,"Epitheliochorial","Villous","Artiodactyla"
"dasyprocta_leporina",136.2,5803.5,"Hemochorial","Labyrinthine","Rodentia"
"dasyprocta_punctata",126.91,5037,"Hemochorial","Labyrinthine","Rodentia"
"dasypus_hybridus",265.59,4950.86,"Hemochorial","Trabecular","Cingulata"
"dasypus_novemcinctus",343.33,8151.67,"Hemochorial","Trabecular","Cingulata"
"daubentonia_madagascariensis",835.63,8869.5,"Epitheliochorial","Villous","Primates"
"delphinapterus_leucas",1003.19,14600,"Epitheliochorial","Villous","Artiodactyla"
"delphinus_delphis",871.94,10594.12,"Epitheliochorial","Villous","Artiodactyla"
"dendrogale_murina",44.97,4380,"Endotheliochorial","Labyrinthine","Scandentia"
"desmodus_rotundus",288.78,10658,"Endotheliochorial","Labyrinthine","Chiroptera"
"dicerorhinus_sumatrensis",1276.63,12775,"Epitheliochorial","Villous","Perissodactyla"
"diceros_bicornis",1053.46,17973.21,"Epitheliochorial","Villous","Perissodactyla"
"dicrostonyx_groenlandicus",25.23,1204.5,"Hemochorial","Labyrinthine","Rodentia"
"dinomys_branickii",201.8,4745,"Hemochorial","Labyrinthine","Rodentia"
"dipodomys_deserti",96.04,3285,"Hemochorial","Labyrinthine","Rodentia"
"dipodomys_merriami",53.96,3540.5,"Endotheliochorial","Labyrinthine","Rodentia"
"dipodomys_ordii",142.88,3613.5,"Endotheliochorial","Labyrinthine","Rodentia"
"dipodomys_panamintinus",182.49,1974.04,"Endotheliochorial","Labyrinthine","Rodentia"
"dolichotis_patagonum",99.74,5256,"Hemochorial","Labyrinthine","Rodentia"
"echinops_telfairi",316.61,6935,"Hemochorial","Labyrinthine","Afrosoricida"
"eira_barbara",228.94,8139.5,"Endotheliochorial","Labyrinthine","Carnivora"
"elaphodus_cephalophus",357.73,8285.5,"Epitheliochorial","Villous","Artiodactyla"
"elaphurus_davidianus",359.5,10037.5,"Epitheliochorial","Villous","Artiodactyla"
"elephantulus_brachyrhynchus",74.95,1517.79,"Hemochorial","Labyrinthine","Macroscelidea"
"elephantulus_myurus",48.97,1517.79,"Hemochorial","Labyrinthine","Macroscelidea"
"elephantulus_rufescens",88.24,2883.5,"Hemochorial","Labyrinthine","Macroscelidea"
"elephas_maximus",1162.83,29200,"Endotheliochorial","Labyrinthine","Proboscidea"
"enhydra_lutris",364.75,10950,"Endotheliochorial","Labyrinthine","Carnivora"
"epomophorus_wahlbergi",277.08,3686.5,"Hemochorial","Labyrinthine","Chiroptera"
"equus_grevyi",574.61,11384.96,"Epitheliochorial","Villous","Perissodactyla"
"equus_hemionus",502.41,14162,"Epitheliochorial","Villous","Perissodactyla"
"equus_kiang",547.13,14162,"Epitheliochorial","Trabecular","Perissodactyla"
"equus_zebra",661.52,12118,"Epitheliochorial","Villous","Perissodactyla"
"erethizon_dorsatum",386.6,8541,"Hemochorial","Labyrinthine","Rodentia"
"erinaceus_europaeus",215.14,5110,"Hemochorial","Labyrinthine","Eulipotyphla"
"erythrocebus_patas",360.75,10329.5,"Hemochorial","Trabecular","Primates"
"eudorcas_thomsonii",193.77,7300,"Epitheliochorial","Villous","Artiodactyla"
"eulemur_albifrons",450.69,14235,"Epitheliochorial","Villous","Primates"
"eulemur_collaris",541.88,13505,"Epitheliochorial","Villous","Primates"
"eulemur_coronatus",363.7,10950,"Epitheliochorial","Villous","Primates"
"eulemur_mongoz",364.75,13213,"Epitheliochorial","Villous","Primates"
"eulemur_rubriventer",359.23,7497.71,"Epitheliochorial","Villous","Primates"
"eulemur_rufus",541.88,13505,"Epitheliochorial","Villous","Primates"
"eulemur_sanfordi",541.88,13505,"Epitheliochorial","Villous","Primates"
"eumetopias_jubatus",364.75,11972,"Endotheliochorial","Labyrinthine","Carnivora"
"euphractus_sexcinctus",238.79,8066.5,"Hemochorial","Trabecular","Cingulata"
"felis_chaus",120.92,7300,"Endotheliochorial","Labyrinthine","Carnivora"
"felis_margarita",197.57,5073.5,"Endotheliochorial","Labyrinthine","Carnivora"
"felis_nigripes",227.96,5694,"Endotheliochorial","Labyrinthine","Carnivora"
"felis_silvestris",131.04,10220,"Endotheliochorial","Labyrinthine","Carnivora"
"fukomys_damarensis",239.15,5657.5,"Hemochorial","Villous","Rodentia"
"funambulus_pennantii",151.98,1852.38,"Hemochorial","Labyrinthine","Rodentia"
"furipterus_horrens",318.61,5768.69,"Hemochorial","Labyrinthine","Chiroptera"
"galago_moholi",200.61,6874.17,"Epitheliochorial","Villous","Primates"
"galago_senegalensis",221.85,6874.17,"Epitheliochorial","Villous","Primates"
"galea_musteloides",53.01,1277.5,"Hemochorial","Labyrinthine","Rodentia"
"gazella_cuvieri",273.81,6533.5,"Epitheliochorial","Villous","Artiodactyla"
"gazella_dorcas",351.26,8650.5,"Epitheliochorial","Villous","Artiodactyla"
"gazella_leptoceros",220.78,5329,"Epitheliochorial","Villous","Artiodactyla"
"gazella_marica",349.57,7300,"Epitheliochorial","Villous","Artiodactyla"
"gazella_spekei",206.36,5405.04,"Epitheliochorial","Villous","Artiodactyla"
"gazella_subgutturosa",353.49,7300,"Epitheliochorial","Villous","Artiodactyla"
"genetta_tigrina",303.95,7774.5,"Endotheliochorial","Labyrinthine","Carnivora"
"geomys_bursarius",206.13,4380,"Hemochorial","Labyrinthine","Rodentia"
"giraffa_camelopardalis",613.75,14417.5,"Epitheliochorial","Villous","Artiodactyla"
"glaucomys_sabrinus",271.39,5183,"Hemochorial","Labyrinthine","Rodentia"
"glaucomys_volans",125.29,6935,"Hemochorial","Labyrinthine","Rodentia"
"glossophaga_soricina",243.99,4015,"Endotheliochorial","Labyrinthine","Chiroptera"
"gorilla_gorilla",1412.93,20221,"Hemochorial","Villous","Primates"
"gulo_gulo",729.63,7117.5,"Endotheliochorial","Labyrinthine","Carnivora"
"halichoerus_grypus",364.75,17035.46,"Endotheliochorial","Labyrinthine","Carnivora"
"hapalemur_griseus",332.56,8504.5,"Epitheliochorial","Villous","Primates"
"helarctos_malayanus",588.72,13103.5,"Endotheliochorial","Labyrinthine","Carnivora"
"helogale_hirtula",191.18,3522.25,"Endotheliochorial","Labyrinthine","Carnivora"
"hemicentetes_semispinosus",184.01,1000.71,"Hemochorial","Labyrinthine","Afrosoricida"
"hemigalus_derbyanus",241.93,6570,"Endotheliochorial","Labyrinthine","Carnivora"
"hemitragus_jemlahicus",364.75,7957,"Epitheliochorial","Villous","Artiodactyla"
"heterocephalus_glaber",81.04,10329.5,"Hemochorial","Labyrinthine","Rodentia"
"heterohyrax_brucei",364.75,5110,"Hemochorial","Labyrinthine","Hyracoidea"
"hippopotamus_amphibius",629.34,22338,"Epitheliochorial","Villous","Artiodactyla"
"hippotragus_equinus",323.78,9453.5,"Epitheliochorial","Villous","Artiodactyla"
"hippotragus_niger",364.75,8121.25,"Epitheliochorial","Villous","Artiodactyla"
"hyaena_hyaena",236.96,9125,"Endotheliochorial","Labyrinthine","Carnivora"
"hydrictis_maculicollis",364.75,8358.5,"Endotheliochorial","Labyrinthine","Carnivora"
"hydrochoerus_hydrochaeris",244.83,5511.5,"Hemochorial","Labyrinthine","Rodentia"
"hydropotes_inermis",241.89,5079.58,"Epitheliochorial","Villous","Artiodactyla"
"hydrurga_leptonyx",364.75,9490,"Endotheliochorial","Labyrinthine","Carnivora"
"hylobates_agilis",1094.25,20805,"Hemochorial","Villous","Primates"
"hylobates_lar",1038.62,20805,"Hemochorial","Villous","Primates"
"hylobates_pileatus",1038.62,20805,"Hemochorial","Villous","Primates"
"hystrix_africaeaustralis",376.74,8431.5,"Hemochorial","Labyrinthine","Rodentia"
"hystrix_cristata",262.06,10411.63,"Hemochorial","Labyrinthine","Rodentia"
"ictidomys_tridecemlineatus",318.76,2883.5,"Hemochorial","Labyrinthine","Rodentia"
"indri_indri",911.88,9231.94,"Epitheliochorial","Villous","Primates"
"inia_geoffrensis",644.2,11424.5,"Epitheliochorial","Villous","Artiodactyla"
"jaculus_jaculus",91.06,2664.5,"Hemochorial","Labyrinthine","Rodentia"
"kerodon_rupestris",86.09,4708.5,"Hemochorial","Labyrinthine","Rodentia"
"kobus_ellipsiprymnus",364.75,11080.79,"Epitheliochorial","Villous","Artiodactyla"
"kobus_leche",369.27,9271,"Epitheliochorial","Villous","Artiodactyla"
"kobus_megaceros",352.76,7701.5,"Epitheliochorial","Villous","Artiodactyla"
"lagostomus_maximus",144.25,3942,"Hemochorial","Labyrinthine","Rodentia"
"lama_guanicoe",547.38,22435.33,"Epitheliochorial","Villous","Artiodactyla"
"lemmus_lemmus",23.48,1213.63,"Hemochorial","Labyrinthine","Rodentia"
"lemur_catta",416.42,13614.5,"Epitheliochorial","Villous","Artiodactyla"
"leontopithecus_chrysomelas",185.62,11534,"Hemochorial","Trabecular","Primates"
"leontopithecus_rosalia",185.62,11534,"Hemochorial","Trabecular","Primates"
"leopardus_geoffroyi",239.84,8471.04,"Endotheliochorial","Labyrinthine","Carnivora"
"leopardus_pardalis",406.17,10293,"Endotheliochorial","Labyrinthine","Carnivora"
"leopardus_wiedii",239.38,8775.21,"Endotheliochorial","Labyrinthine","Carnivora"
"leptailurus_serval",179.13,8395,"Endotheliochorial","Labyrinthine","Carnivora"
"leptonychotes_weddellii",364.75,9125,"Endotheliochorial","Labyrinthine","Carnivora"
"leptonycteris_nivalis",330.98,3650,"Endotheliochorial","Labyrinthine","Chiroptera"
"leptonycteris_yerbabuenae",333.1,3686.5,"Endotheliochorial","Labyrinthine","Chiroptera"
"lepus_americanus",36.98,2920,"Hemochorial","Labyrinthine","Lagomorpha"
"limnogale_mergulus",331.19,2210.79,"Hemochorial","Labyrinthine","Afrosoricida"
"lissodelphis_borealis",730,15330,"Epitheliochorial","Villous","Artiodactyla"
"litocranius_walleri",240.61,6314.5,"Epitheliochorial","Villous","Artiodactyla"
