"species","litter_size","longevity","invasiveness","interdigitation","taxonomic_order"
"otolemur_garnettii",1.26,6874.17,"Epitheliochorial","Villous","Primates"
"otospermophilus_beecheyi",6.71,1974.04,"Hemochorial","Labyrinthine","Rodentia"
"ovibos_moschatus",1.01,10001,"Epitheliochorial","Villous","Artiodactyla"
"ovis_canadensis",1.03,8760,"Epitheliochorial","Villous","Artiodactyla"
"ovis_dalli",1.06,8760,"Epitheliochorial","Villous","Artiodactyla"
"ovis_vignei",1.22,8322,"Epitheliochorial","Villous","Artiodactyla"
"pan_paniscus",1,20075,"Hemochorial","Villous","Primates"
"pan_troglodytes",1.08,27010,"Hemochorial","Villous","Primates"
"panthera_leo",2.83,10950,"Endotheliochorial","Labyrinthine","Carnivora"
"panthera_onca",2,10353.83,"Endotheliochorial","Labyrinthine","Carnivora"
"panthera_tigris",2.57,9599.5,"Endotheliochorial","Labyrinthine","Carnivora"
"panthera_uncia",2.12,7738,"Endotheliochorial","Labyrinthine","Carnivora"
"papio_anubis",1.01,16425,"Hemochorial","Trabecular","Primates"
"papio_hamadryas",1,16425,"Hemochorial","Villous","Primates"
"papio_papio",1.01,16425,"Hemochorial","Trabecular","Primates"
"paradoxurus_hermaphroditus",3.29,9125,"Endotheliochorial","Labyrinthine","Carnivora"
"paraxerus_cepapi",2.01,3491.83,"Hemochorial","Labyrinthine","Rodentia"
"pecari_tajacu",1.82,11497.5,"Epitheliochorial","Villous","Artiodactyla"
"pedetes_capensis",1,7315.21,"Hemochorial","Labyrinthine","Rodentia"
"perodicticus_potto",1.03,9782,"Epitheliochorial","Villous","Primates"
"perognathus_parvus",4.8,2117,"Hemochorial","Labyrinthine","Rodentia"
"peromyscus_eremicus",2.6,2701,"Hemochorial","Labyrinthine","Rodentia"
"peromyscus_leucopus",4.35,2920,"Hemochorial","Labyrinthine","Rodentia"
"peromyscus_maniculatus",4.62,3041.67,"Hemochorial","Labyrinthine","Rodentia"
"peromyscus_polionotus",3.6,2007.5,"Hemochorial","Labyrinthine","Rodentia"
"petrodromus_tetradactylus",1.17,2609.75,"Hemochorial","Labyrinthine","Macroscelidea"
"petromus_typicus",1.69,2579.33,"Hemochorial","Labyrinthine","Rodentia"
"phacochoerus_aethiopicus",3.37,6862,"Epitheliochorial","Villous","Artiodactyla"
"phacochoerus_africanus",3,7628.5,"Epitheliochorial","Villous","Artiodactyla"
"philantomba_monticola",1,5803.5,"Epitheliochorial","Villous","Artiodactyla"
"phoca_largha",1,17374,"Endotheliochorial","Labyrinthine","Carnivora"
"phoca_vitulina",1,17374,"Endotheliochorial","Labyrinthine","Carnivora"
"phocoena_phocoena",1,7446,"Epitheliochorial","Villous","Artiodactyla"
"phodopus_campbelli",5.48,1426.54,"Hemochorial","Labyrinthine","Rodentia"
"phodopus_sungorus",5.24,1426.54,"Hemochorial","Labyrinthine","Rodentia"
"phyllostomus_discolor",1,3285,"Endotheliochorial","Labyrinthine","Chiroptera"
"pithecia_pithecia",1,13206.92,"Hemochorial","Villous","Primates"
"platanista_gangetica",1,10220,"Epitheliochorial","Villous","Artiodactyla"
"poecilogale_albinucha",2.22,2278.21,"Endotheliochorial","Labyrinthine","Carnivora"
"pongo_abelii",1.14,21900,"Hemochorial","Villous","Primates"
"pongo_pygmaeus",1.14,21900,"Hemochorial","Villous","Primates"
"potamochoerus_porcus",3,8227.71,"Epitheliochorial","Villous","Artiodactyla"
"potamogale_velox",2.07,3004.09,"Hemochorial","Labyrinthine","Afrosoricida"
"potos_flavus",1,14016,"Endotheliochorial","Labyrinthine","Carnivora"
"prionailurus_bengalensis",2.5,6314.5,"Endotheliochorial","Labyrinthine","Carnivora"
"prionailurus_viverrinus",2,6278,"Endotheliochorial","Labyrinthine","Carnivora"
"procavia_capensis",2.44,5405.04,"Hemochorial","Villous","Hyracoidea"
"procyon_lotor",3.39,7665,"Endotheliochorial","Labyrinthine","Carnivora"
"propithecus_coquereli",1.01,11132.5,"Epitheliochorial","Villous","Primates"
"propithecus_diadema",1.01,4036.29,"Hemochorial","Villous","Primates"
"propithecus_tattersalli",1.04,7467.29,"Hemochorial","Villous","Primates"
"propithecus_verreauxi",1.02,11132.5,"Epitheliochorial","Villous","Primates"
"pseudois_nayaur",1.5,8760,"Epitheliochorial","Villous","Artiodactyla"
"pteronotus_davyi",1,2682.75,"Hemochorial","Labyrinthine","Chiroptera"
"pteronotus_parnellii",1,5135.41,"Hemochorial","Labyrinthine","Chiroptera"
"pteronura_brasiliensis",1.94,6314.5,"Endotheliochorial","Labyrinthine","Carnivora"
"pteropus_giganteus",1,14907.21,"Hemochorial","Labyrinthine","Chiroptera"
"pteropus_hypomelanus",1,7409.5,"Hemochorial","Labyrinthine","Chiroptera"
"pteropus_poliocephalus",1,8614,"Hemochorial","Labyrinthine","Chiroptera"
"pteropus_rodricensis",1,10950,"Hemochorial","Labyrinthine","Chiroptera"
"pudu_puda",1.03,7665,"Epitheliochorial","Villous","Artiodactyla"
"puma_concolor",2.76,8687,"Endotheliochorial","Labyrinthine","Carnivora"
"pusa_hispida",1,16790,"Endotheliochorial","Labyrinthine","Carnivora"
"pygathrix_nemaeus",1,9775.92,"Hemochorial","Trabecular","Primates"
"rangifer_tarandus",1.1,7920.5,"Epitheliochorial","Villous","Artiodactyla"
"raphicerus_campestris",1,5110,"Epitheliochorial","Villous","Artiodactyla"
"rattus_norvegicus",8.86,1825,"Hemochorial","Labyrinthine","Rodentia"
"ratufa_affinis",1.63,3522.25,"Hemochorial","Labyrinthine","Rodentia"
"rhinoceros_unicornis",1,17885,"Epitheliochorial","Villous","Perissodactyla"
"rhinolophus_rouxii",0.99,1825,"Endotheliochorial","Labyrinthine","Chiroptera"
"rhinopoma_hardwickii",1,4935.28,"Endotheliochorial","Labyrinthine","Chiroptera"
"rhynchocyon_petersi",1.93,1639.46,"Hemochorial","Labyrinthine","Macroscelidea"
"rousettus_aegyptiacus",1.04,8358.5,"Hemochorial","Labyrinthine","Chiroptera"
"rousettus_leschenaultii",1.01,5110,"Hemochorial","Labyrinthine","Chiroptera"
"rucervus_duvaucelii",1,8942.5,"Epitheliochorial","Villous","Artiodactyla"
"rucervus_eldii",1.01,7482.5,"Epitheliochorial","Villous","Artiodactyla"
"saccopteryx_bilineata",1,2190,"Endotheliochorial","Labyrinthine","Chiroptera"
"saguinus_bicolor",1.63,6935,"Hemochorial","Trabecular","Primates"
"saguinus_geoffroyi",1.95,9563,"Hemochorial","Trabecular","Primates"
"saguinus_imperator",2,8650.5,"Hemochorial","Trabecular","Primates"
"saguinus_midas",2,7665,"Hemochorial","Trabecular","Primates"
"saguinus_oedipus",1.9,9563,"Hemochorial","Trabecular","Primates"
"saiga_tatarica",1.58,4380,"Epitheliochorial","Villous","Artiodactyla"
"saimiri_boliviensis",1,11059.5,"Hemochorial","Trabecular","Primates"
"scalopus_aquaticus",3.75,2263,"Hemochorial","Labyrinthine","Eulipotyphla"
"sciurus_carolinensis",3,8760,"Hemochorial","Labyrinthine","Rodentia"
"sciurus_niger",3,5840,"Hemochorial","Labyrinthine","Rodentia"
"sciurus_vulgaris",4.43,5402,"Hemochorial","Labyrinthine","Rodentia"
"sekeetamys_calurus",2.9,2664.5,"Hemochorial","Labyrinthine","Rodentia"
"semnopithecus_entellus",1.02,10685.38,"Hemochorial","Trabecular","Primates"
"setifer_setosus",3.04,5146.5,"Hemochorial","Labyrinthine","Afrosoricida"
"solenodon_paradoxus",1.86,4416.5,"Hemochorial","Labyrinthine","Eulipotyphla"
"sorex_araneus",6.56,1168,"Hemochorial","Labyrinthine","Eulipotyphla"
"sorex_fumeus",5.25,517.08,"Hemochorial","Labyrinthine","Eulipotyphla"
"sorex_minutus",5.91,730,"Hemochorial","Labyrinthine","Eulipotyphla"
"sotalia_fluviatilis",0.99,12775,"Epitheliochorial","Villous","Artiodactyla"
"speothos_venaticus",4.13,5146.5,"Endotheliochorial","Labyrinthine","Carnivora"
"spermophilus_citellus",6,2445.5,"Hemochorial","Labyrinthine","Rodentia"
"stenella_coeruleoalba",1.5,20987.5,"Epitheliochorial","Villous","Artiodactyla"
"suncus_murinus",3.05,1183.21,"Hemochorial","Labyrinthine","Eulipotyphla"
"suricata_suricatta",3.86,7519,"Endotheliochorial","Labyrinthine","Carnivora"
"sus_cebifrons",5.03,6205,"Epitheliochorial","Villous","Artiodactyla"
"sus_scrofa",5.57,9855,"Epitheliochorial","Villous","Artiodactyla"
"sylvilagus_aquaticus",3.07,3250.1,"Hemochorial","Labyrinthine","Lagomorpha"
"sylvilagus_audubonii",3,2853.08,"Hemochorial","Labyrinthine","Lagomorpha"
"sylvilagus_floridanus",5,3577,"Epitheliochorial","Labyrinthine","Lagomorpha"
"sylvilagus_transitionalis",4.78,3577,"Hemochorial","Labyrinthine","Lagomorpha"
"symphalangus_syndactylus",1.02,15695,"Hemochorial","Villous","Primates"
"syncerus_caffer",1.08,10877,"Epitheliochorial","Villous","Artiodactyla"
"tadarida_brasiliensis",1.06,5475,"Endotheliochorial","Labyrinthine","Chiroptera"
"talpa_europaea",3.99,2555,"Endotheliochorial","Labyrinthine","Eulipotyphla"
"tamandua_tetradactyla",1,7135.75,"Hemochorial","Trabecular","Pilosa"
"tamias_striatus",4.22,3467.5,"Hemochorial","Labyrinthine","Rodentia"
"tamiasciurus_hudsonicus",4.2,4380,"Hemochorial","Labyrinthine","Rodentia"
"taphozous_melanopogon",1,7300,"Endotheliochorial","Labyrinthine","Chiroptera"
"tapirus_bairdii",1,10804,"Epitheliochorial","Villous","Perissodactyla"
"tapirus_indicus",1,13322.5,"Epitheliochorial","Villous","Perissodactyla"
"tapirus_pinchaque",1,10402.5,"Epitheliochorial","Villous","Perissodactyla"
"tapirus_terrestris",1,14454,"Epitheliochorial","Trabecular","Perissodactyla"
"tasmacetus_shepherdi",1,20382.01,"Epitheliochorial","Villous","Artiodactyla"
"taxidea_taxus",3,9490,"Endotheliochorial","Labyrinthine","Carnivora"
"tenrec_ecaudatus",16.89,3175.5,"Hemochorial","Labyrinthine","Afrosoricida"
"theropithecus_gelada",1,13140,"Hemochorial","Trabecular","Primates"
"thomomys_bottae",4.33,2226.5,"Hemochorial","Labyrinthine","Rodentia"
"thyroptera_tricolor",0.98,5421.74,"Hemochorial","Labyrinthine","Chiroptera"
"tolypeutes_tricinctus",0.93,2427.25,"Endotheliochorial","Trabecular","Cingulata"
"trachypithecus_auratus",1.06,11351.5,"Hemochorial","Villous","Primates"
"trachypithecus_cristatus",1,12373.5,"Hemochorial","Villous","Primates"
"trachypithecus_delacouri",1.5,9599.5,"Hemochorial","Villous","Primates"
"trachypithecus_francoisi",1.26,9599.5,"Hemochorial","Villous","Primates"
"trachypithecus_germaini",1,12373.5,"Hemochorial","Villous","Primates"
"trachypithecus_obscurus",1,12373.5,"Hemochorial","Villous","Primates"
"trachypithecus_vetulus",1,9526.5,"Hemochorial","Villous","Primates"
"tragelaphus_angasii",1,6752.5,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_eurycerus",1,7993.5,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_imberbis",1,7227,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_oryx",1,9526.5,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_scriptus",1,5584.5,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_spekii",1,8249,"Epitheliochorial","Villous","Artiodactyla"
"tragelaphus_strepsiceros",1,8577.5,"Epitheliochorial","Villous","Artiodactyla"
"tragulus_javanicus",1,5110,"Epitheliochorial","Villous","Artiodactyla"
"tragulus_napu",1,6095.5,"Epitheliochorial","Villous","Artiodactyla"
"tremarctos_ornatus",1.5,14329.29,"Endotheliochorial","Labyrinthine","Carnivora"
"trichechus_manatus",1,20440,"Endotheliochorial","Labyrinthine","Sirenia"
"tupaia_belangeri",2,4532.08,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_glis",2.22,4532.08,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_gracilis",2.42,1274.46,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_javanica",2.95,2438.96,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_longipes",2.11,4532.08,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_minor",1.99,4453,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_montana",1.76,577.92,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_palawanensis",2.6,2570.93,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_picta",2.41,2310.43,"Endotheliochorial","Labyrinthine","Scandentia"
"tupaia_tana",2.19,5110,"Hemochorial","Labyrinthine","Scandentia"
"tursiops_truncatus",1,19345,"Epitheliochorial","Villous","Artiodactyla"
"urocitellus_columbianus",3.54,1548.21,"Hemochorial","Labyrinthine","Rodentia"
"urocitellus_richardsonii",7.23,2190,"Hemochorial","Labyrinthine","Rodentia"
"urocyon_cinereoargenteus",3.9,5913,"Endotheliochorial","Labyrinthine","Carnivora"
"ursus_americanus",2.47,12410,"Endotheliochorial","Labyrinthine","Carnivora"
"ursus_arctos",2.27,18250,"Endotheliochorial","Labyrinthine","Carnivora"
"ursus_maritimus",1.66,16425,"Endotheliochorial","Labyrinthine","Carnivora"
"ursus_thibetanus",1.67,14308,"Endotheliochorial","Labyrinthine","Carnivora"
"varecia_rubra",2.2,13206.92,"Epitheliochorial","Villous","Primates"
"vicugna_vicugna",1,22435.33,"Epitheliochorial","Villous","Artiodactyla"
"viverricula_indica",3.81,4675.04,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_lagopus",8.12,5949.5,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_macrotis",4.44,7300,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_velox",4.44,7300,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_vulpes",4.73,7774.5,"Endotheliochorial","Labyrinthine","Carnivora"
"vulpes_zerda",2.36,5949.5,"Endotheliochorial","Labyrinthine","Carnivora"
"xerus_inauris",2.12,4745,"Hemochorial","Labyrinthine","Rodentia"
"zalophus_californianus",1.1,13030.5,"Endotheliochorial","Labyrinthine","Carnivora"
