"species","litter_size","longevity","invasiveness","interdigitation","taxonomic_order"
"castor_canadensis",3.58,8541,"Hemochorial","Labyrinthine","Rodentia"
"catagonus_wagneri",2.45,5344.21,"Epitheliochorial","Villous","Artiodactyla"
"cavia_fulgida",1.34,2401.99,"Hemochorial","Labyrinthine","Rodentia"
"cavia_tschudii",2.02,3650,"Hemochorial","Labyrinthine","Rodentia"
"cebus_albifrons",1,16060,"Hemochorial","Trabecular","Primates"
"cebus_capucinus",1,20075,"Hemochorial","Trabecular","Primates"
"cephalophus_dorsalis",1,6387.5,"Epitheliochorial","Villous","Artiodactyla"
"cephalophus_jentinki",1,7771.46,"Epitheliochorial","Villous","Artiodactyla"
"cephalophus_niger",1,5402,"Epitheliochorial","Villous","Artiodactyla"
"cephalophus_rufilatus",1,5548,"Epitheliochorial","Villous","Artiodactyla"
"cephalophus_silvicultor",1,8212.5,"Epitheliochorial","Villous","Artiodactyla"
"cephalorhynchus_commersonii",1,9417,"Epitheliochorial","Villous","Artiodactyla"
"ceratotherium_simum",1,18250,"Epitheliochorial","Villous","Perissodactyla"
"cercocebus_agilis",1,16790,"Hemochorial","Trabecular","Primates"
"cercocebus_chrysogaster",1,16790,"Hemochorial","Trabecular","Primates"
"cercocebus_torquatus",1,16790,"Hemochorial","Trabecular","Primates"
"cercopithecus_cephus",1,13140,"Hemochorial","Trabecular","Primates"
"cercopithecus_diana",1,13614.5,"Hemochorial","Trabecular","Primates"
"cercopithecus_hamlyni",1,10439,"Hemochorial","Trabecular","Primates"
"cercopithecus_mitis",1,13797,"Hemochorial","Trabecular","Primates"
"cercopithecus_mona",1,11202.46,"Hemochorial","Trabecular","Primates"
"cercopithecus_neglectus",1,11242,"Hemochorial","Trabecular","Primates"
"cervus_elaphus",1.04,11497.5,"Epitheliochorial","Villous","Artiodactyla"
"cervus_nippon",1,9599.5,"Epitheliochorial","Villous","Artiodactyla"
"chaerephon_plicatus",0.99,2467,"Hemochorial","Labyrinthine","Chiroptera"
"chaetodipus_fallax",3.23,3041.67,"Hemochorial","Labyrinthine","Rodentia"
"chaetophractus_vellerosus",1.5,5919.08,"Hemochorial","Trabecular","Cingulata"
"chaetophractus_villosus",1.65,9198,"Hemochorial","Trabecular","Cingulata"
"cheirogaleus_medius",2.2,8471.04,"Epitheliochorial","Villous","Primates"
"chinchilla_lanigera",1.69,7300,"Hemochorial","Labyrinthine","Rodentia"
"chlorocebus_aethiops",1,16790,"Hemochorial","Trabecular","Primates"
"chlorocebus_pygerythrus",1,16790,"Hemochorial","Trabecular","Primates"
"chlorocebus_sabaeus",1,16790,"Hemochorial","Trabecular","Primates"
"choloepus_didactylus",1,13432,"Endotheliochorial","Trabecular","Pilosa"
"choloepus_hoffmanni",1,13505,"Endotheliochorial","Trabecular","Pilosa"
"chrotopterus_auritus",1,5894.62,"Endotheliochorial","Labyrinthine","Chiroptera"
"chrysochloris_asiatica",3.12,879.04,"Hemochorial","Labyrinthine","Afrosoricida"
"chrysocyon_brachyurus",3,6132,"Endotheliochorial","Labyrinthine","Carnivora"
"coendou_mexicanus",1,6095.5,"Hemochorial","Labyrinthine","Rodentia"
"coendou_prehensilis",1,9709,"Hemochorial","Labyrinthine","Rodentia"
"colobus_angolensis",1,12884.5,"Hemochorial","Trabecular","Primates"
"colobus_guereza",1,12775,"Hemochorial","Trabecular","Primates"
"connochaetes_gnou",1,7957,"Epitheliochorial","Villous","Artiodactyla"
"connochaetes_taurinus",1,9015.5,"Epitheliochorial","Villous","Artiodactyla"
"crateromys_heaneyi",2.04,3218.08,"Hemochorial","Labyrinthine","Rodentia"
"cricetomys_gambianus",3.33,3066,"Hemochorial","Labyrinthine","Rodentia"
"cricetulus_barabensis",5.33,1934.5,"Hemochorial","Labyrinthine","Rodentia"
"cricetulus_longicaudatus",5.71,60.83,"Hemochorial","Labyrinthine","Rodentia"
"crocuta_crocuta",2,15001.5,"Hemochorial","Labyrinthine","Carnivora"
"crossarchus_obscurus",4,4854.5,"Endotheliochorial","Labyrinthine","Carnivora"
"cryptoprocta_ferox",3,8431.5,"Endotheliochorial","Labyrinthine","Carnivora"
